angular/angular.js 16560 : [(16251, 0.9918736332199439), (12777, 0.9850814635090911), (15601, 0.9832903541146066), (16515, 0.9824568660149353), (4956, 0.9795941099740778), (8352, 0.9783198225380513), (6412, 0.9679605177705716), (12919, 0.9659910822738949), (16150, 0.9612980146070342), (3695, 0.9517176299752256)]
angular/angular.js 16553 : [(15782, 0.9607374191351133), (15095, 0.9599571560894388), (12236, 0.932555733991849), (14513, 0.9321891911412286), (9725, 0.9309021075660385), (9202, 0.9306850472910991), (14580, 0.930656612729128), (16025, 0.9179576927747136), (3437, 0.9086073339037586), (13828, 0.9047660070878012)]
angular/angular.js 16544 : [(10530, 0.9670620807094973), (7279, 0.9646550177458653), (16420, 0.9582458532797573), (8828, 0.9573620930324345), (16364, 0.9364994139094464), (16478, 0.9316379853429498), (11222, 0.9215510936857763), (16387, 0.9206005503416816), (15361, 0.9191339254602978), (16436, 0.9190151151642463)]
angular/angular.js 16511 : [(14080, 0.9970736244202494), (16400, 0.9464169693079013), (16399, 0.9464169693079013), (16420, 0.8755020109839026), (14302, 0.8735446021305672), (16544, 0.8489814925448234), (16552, 0.8468041786694945), (15433, 0.8372413916684294), (12138, 0.8371736809015928), (16541, 0.8339387188026228)]
angular/angular.js 16506 : [(16502, 0.944233765649291), (12729, 0.8886139443222016), (12736, 0.8438521430585195), (14976, 0.799685240855668), (15541, 0.7841972798818719), (7588, 0.7709504116309783), (1043, 0.7495658449959118), (10822, 0.7388222170326837), (10823, 0.73836853133954), (6341, 0.7217891199010639)]
angular/angular.js 16502 : [(2398, 0.9827669450349734), (15865, 0.9738703609839784), (12964, 0.9599642974937912), (1043, 0.9564282670662339), (11302, 0.9543460815883449), (6167, 0.9538026975167784), (7245, 0.9531290431670362), (12729, 0.9507404147199379), (16506, 0.944233765649291), (6341, 0.9415961494837101)]
angular/angular.js 16479 : [(1996, 0.9836598336562814), (6773, 0.9805847359993881), (2083, 0.9797693563557655), (1547, 0.9792296180558034), (6344, 0.9785316628429346), (6299, 0.9779498965543215), (5560, 0.976752462242965), (12201, 0.9756571424800343), (13210, 0.975469840297027), (5613, 0.9736618419338171)]
angular/angular.js 16471 : [(16150, 0.9359552440211889), (8067, 0.933954505573779), (15818, 0.9190233203729642), (15946, 0.884588010131983), (15044, 0.8796342472976684), (3535, 0.86432590819467), (16336, 0.8577987862235805), (16457, 0.8517028833634394), (8708, 0.8441823737953458), (15686, 0.8422952714748041)]
angular/angular.js 16299 : [(15433, 0.9935793555509705), (15707, 0.9880338236169716), (15881, 0.9852048401440612), (15770, 0.9756221450185466), (15225, 0.9481417953085445), (15872, 0.946233537961675), (15439, 0.9105433903542924), (16491, 0.9062461974492646), (15828, 0.8856799761509806), (15818, 0.880441074260434)]
angular/angular.js 16283 : [(15707, 0.9999910519995924), (15770, 0.9999840526345597), (15881, 0.9919165223460341), (15433, 0.9866159869961725), (16491, 0.977082253470028), (15439, 0.9258267187280035), (15828, 0.8981058251734715), (14190, 0.8924872898462354), (15818, 0.8919208002195507), (15940, 0.8880571998928052)]
angular/angular.js 16251 : [(16560, 0.9918736332199439), (5335, 0.9895097092085594), (12777, 0.9832063300392584), (4956, 0.9824663503439394), (15921, 0.9821341624631333), (8443, 0.980713267903062), (14576, 0.9796305163808294), (14346, 0.9770276608598203), (12406, 0.9716766131765351), (9321, 0.9714577210972549)]
angular/angular.js 16192 : [(6540, 0.9922777262420361), (6542, 0.959596019257443), (16149, 0.9450058763377307), (6743, 0.9178409886957425), (11628, 0.9055438882171789), (12106, 0.8831575245943176), (10720, 0.8825574570035712), (15512, 0.8718441975703406), (15744, 0.8678219574973467), (6177, 0.852763414137104)]
