ansible/ansible 40255 : [(23369, 0.9999922038165499), (23278, 0.9877562006124239), (19648, 0.9858167178638422), (35176, 0.9800444528503952), (22153, 0.9781882571999162), (39922, 0.9707872461505227), (36882, 0.9705512045478417), (39872, 0.9693123943548155), (36105, 0.9642970375068214), (34791, 0.9628668446940659)]
ansible/ansible 40254 : [(36155, 0.9653322694768978), (36840, 0.9485638906195738), (33857, 0.9268184755593384), (22962, 0.9008854458381789), (26736, 0.8996969933694084), (31565, 0.8752403606358912), (21787, 0.8504570975749861), (32370, 0.7830077013569304), (31401, 0.777001442357064), (33420, 0.7619229988229125)]
ansible/ansible 40253 : [(40021, 0.9960791141318338), (34201, 0.9759121526247505), (4230, 0.947262324806977), (33714, 0.8810410838558468), (27117, 0.8255380238662208), (15992, 0.8236382680475378), (20323, 0.8107526464475263), (35007, 0.8012747583179687), (35054, 0.7957268020908506), (31151, 0.7949472499189767)]
ansible/ansible 40252 : [(37461, 0.9999840287947289), (37733, 0.9736359159803605), (39093, 0.9721783213871393), (39091, 0.9688188808773018), (39088, 0.9687115929438267), (33166, 0.968579904250462), (39090, 0.9683824025655017), (38602, 0.9663148372591621), (39735, 0.9628090492931229), (37213, 0.9598298733385827)]
ansible/ansible 40245 : [(24323, 0.9917709193914506), (23199, 0.988913239020525), (22429, 0.988469170765424), (15410, 0.9613384480587435), (20743, 0.9584945679234814), (39869, 0.9574251994259926), (39130, 0.9467317399626675), (21685, 0.9229069246862093), (38240, 0.9140818618939627), (20636, 0.9081471077287829)]
ansible/ansible 40242 : [(35215, 0.9957759772080825), (32298, 0.9918974651965781), (33059, 0.9850764224196757), (36778, 0.9821255527565291), (35193, 0.9546664847534241), (36740, 0.8528392512703118), (15002, 0.8397818101181592), (33703, 0.8244841699781867), (35700, 0.8122519878212734), (35440, 0.8075871024501857)]
ansible/ansible 40240 : [(39773, 0.9844602107022926), (26271, 0.9799670733999768), (35901, 0.979561289947732), (35184, 0.9793479514335407), (27994, 0.9769183661359495), (27086, 0.9730966602660206), (39772, 0.971255798072561), (29119, 0.9711461885178273), (35229, 0.9694202045232085), (34416, 0.9689234413843866)]
ansible/ansible 40235 : [(17994, 0.9927667536470653), (39501, 0.9909196579036248), (38344, 0.987892792189448), (21888, 0.9865019580318687), (28395, 0.9862057986846591), (30673, 0.9860884095681376), (26474, 0.9850016612334356), (37575, 0.9849834153103025), (32444, 0.9812267811865829), (34781, 0.9761100798822738)]
ansible/ansible 40234 : [(24257, 0.9641787421300926), (31313, 0.9255086418873506), (39026, 0.9125265487103321), (20055, 0.8230169863319544), (12001, 0.810143389264622), (36651, 0.7926902104997805), (24133, 0.7662700125031539), (31895, 0.7335882299180093), (17967, 0.7334288110828413), (12082, 0.7205876152675055)]
ansible/ansible 40233 : [(19331, 0.9818391529718457), (34669, 0.9044562347942174), (33504, 0.8742908113850425), (21159, 0.871573555326976), (22627, 0.8640181687492818), (34260, 0.8256971408774328), (22092, 0.8253145064186013), (18467, 0.8223556580453573), (37122, 0.8070727043179796), (33601, 0.7921794279820981)]
