42cc/FortyTwoTestTask	meako689/FortyTwoTestTask
debkwon/selleb	FullstackAcademy/bones
palantir/spark	apache/spark
peercoin/peercoin	bitcoin/bitcoin
energia/Energia	arduino/Arduino
ddugovic/Stockfish	official-stockfish/Stockfish
flyvictor/fortune	fortunejs/fortune
agco/harvesterjs	fortunejs/fortune
Igalia/snabb	SnabbCo/snabb
CyanFox-OLD2/android_packages_apps_Settings	CyanogenMod/android_packages_apps_Settings
lobo-studio/brimir	ivaldi/brimir
james-proxy/james-browser-launcher	benderjs/browser-launcher2
ExpediaInc/seyren-1	scobal/seyren
airbrake/slate	tripit/slate
