ArduPilot/ardupilot 8955 : [(6487, 0.3540603607228301), (5964, 0.13813845454487467), (2660, 0.13393203897779973), (3931, 0.1319836035761756), (5879, 0.1214528199783474), (4883, 0.11569064692616773), (5397, 0.1102766641039124), (3063, 0.10510453382310443), (8173, 0.10054480267743786), (2083, 0.0989983429316417)]
ArduPilot/ardupilot 8954 : [(6092, 0.907168450690148), (6082, 0.8885715239791643), (1620, 0.8497966867448176), (6910, 0.7905806010250049), (6013, 0.7497781861985581), (2576, 0.7437847154739204), (6110, 0.6935964498916581), (4465, 0.6337883795514544), (6340, 0.6296174143070988), (6012, 0.6150428901112063)]
ArduPilot/ardupilot 8952 : [(7681, 0.9500993717992461), (5726, 0.3304685089842877), (8095, 0.28638166970016), (6784, 0.27283910156090585), (7800, 0.26251124884817456), (8176, 0.24158885097519975), (8252, 0.23583769780239192), (7835, 0.23003476656664568), (3889, 0.2288755795530473), (4176, 0.2256516554527913)]
ArduPilot/ardupilot 8948 : [(2802, 0.4698708395583151), (7973, 0.35413461901043447), (5165, 0.2936492483745312), (7392, 0.19307090874335356), (5598, 0.09455856549921202), (6310, 0.09158614047836398), (5162, 0.08991914035901555), (7237, 0.08871266259472123), (5012, 0.08854930218534227), (4970, 0.08854930218534227)]
ArduPilot/ardupilot 8946 : [(4992, 0.5399954350702483), (8691, 0.09750137616720327), (8689, 0.09750137616720327), (8688, 0.09750137616720327), (4765, 0.07820973475538422), (4991, 0.07765622171048957), (3674, 0.07201067924377436), (7251, 0.06613713278743365), (7109, 0.06370214370389046), (8814, 0.06251457661164128)]
ArduPilot/ardupilot 8944 : [(7727, 0.7475149367172309), (7474, 0.34717420619495165), (8412, 0.3395753193495073), (6728, 0.28465314153309534), (141, 0.21521835353094948), (5945, 0.20038979580098115), (4979, 0.19310638359423252), (1248, 0.1900343175239027), (528, 0.17990023213605222), (8335, 0.16524974151123842)]
ArduPilot/ardupilot 8942 : [(8929, 0.2174766057823844), (6759, 0.1769650842284319), (2930, 0.10901251965286492), (1513, 0.10784135277767448), (5180, 0.10152712399896022), (7249, 0.0901353482754522), (4030, 0.08582831736204523), (2660, 0.0823548249633195), (6856, 0.07501812796257414), (3954, 0.07382320806452412)]
ArduPilot/ardupilot 8934 : [(7930, 0.9963890713873109), (8435, 0.41715098641465514), (7674, 0.38071788516125205), (8350, 0.311226870353135), (4900, 0.29329716177015047), (559, 0.2146400980408045), (703, 0.1735058913615784), (1674, 0.1565552437615928), (4735, 0.15307876156518146), (5054, 0.14612298469948004)]
ArduPilot/ardupilot 8932 : [(4360, 0.9777231763675276), (4437, 0.9397015096695613), (8588, 0.9317037856704455), (3663, 0.8874714669634284), (3520, 0.841187489412296), (4445, 0.7316738800342849), (5885, 0.40868626564432786), (5491, 0.3294474489230717), (2383, 0.3283299449753574), (3446, 0.32262276758309977)]
ArduPilot/ardupilot 8928 : [(8919, 0.9840453304706754), (8807, 0.8801030560909341), (8781, 0.8359516687590431), (8905, 0.8169975165370458), (8777, 0.8056385513278118), (8760, 0.7279864438316298), (8780, 0.6583861221588134), (8835, 0.6352990826100056), (8847, 0.36555837516515044), (8794, 0.29209139704600645)]
ArduPilot/ardupilot 8919 : [(8807, 0.9961211077915575), (8928, 0.9840453304706754), (8780, 0.5790479147211139), (8781, 0.5), (8835, 0.4699975134328523), (8777, 0.4681425098753971), (8847, 0.4246006547204237), (8810, 0.42259185400848054), (8817, 0.3751179262889536), (2302, 0.3723323202204721)]
ArduPilot/ardupilot 8917 : [(8494, 0.6850580885213269), (8116, 0.6180045682709199), (2866, 0.6124392235188076), (7044, 0.5207053432004403), (6169, 0.4733704074174092), (6173, 0.4687590995341029), (6176, 0.45260444978767483), (4310, 0.4413880353975347), (7140, 0.4407945473864376), (2459, 0.4370126125676239)]
ArduPilot/ardupilot 8908 : [(6806, 0.6632522851837556), (8671, 0.5), (6604, 0.4380526975047313), (6744, 0.34984932813759007), (8161, 0.26387400933873956), (8275, 0.25961818817464943), (8949, 0.22206373328005724), (6734, 0.1987161314802813), (7292, 0.19530703868605573), (7306, 0.15651358995316475)]
ArduPilot/ardupilot 8904 : [(7681, 0.996248287306294), (7783, 0.7389675333051476), (8095, 0.6112317263147808), (8771, 0.5), (8868, 0.47917894017912344), (7800, 0.4464570277745385), (7695, 0.4068559064503465), (8111, 0.4060030033382006), (8502, 0.36434929434165164), (7676, 0.34322363925105764)]
ArduPilot/ardupilot 8903 : [(8433, 0.823288548778587), (8868, 0.6020857750571685), (7800, 0.4112700485072761), (7676, 0.4072286113811085), (7783, 0.4072226170634691), (7681, 0.3685078830191504), (8017, 0.36200754739984187), (8898, 0.34389897656178503), (8833, 0.30754256021199416), (8823, 0.3040031119287028)]
ArduPilot/ardupilot 8900 : [(7174, 0.9395406440298413), (7881, 0.9315534533981749), (7440, 0.8793766183573319), (5309, 0.8726722310193737), (7002, 0.5949868278941463), (4122, 0.5810044942486955), (8430, 0.5616900255572083), (915, 0.5362423446830042), (1287, 0.43994225034363843), (7078, 0.3844058166557809)]
ArduPilot/ardupilot 8899 : [(8252, 0.7821543945231815), (7800, 0.28119986358077204), (7681, 0.2478902365260454), (8017, 0.22961193783669318), (8856, 0.22388628459486973), (8183, 0.2212536860240314), (8597, 0.2189393454966838), (8433, 0.20014220752317857), (8903, 0.19704048175246322), (7835, 0.19082994667632908)]
ArduPilot/ardupilot 8893 : [(5967, 0.9943495096644778), (5727, 0.3229304275897685), (6741, 0.3020094931474311), (5572, 0.25736409030346985), (6733, 0.25391081547814287), (8462, 0.21633925378766397), (4539, 0.19832282680090915), (6710, 0.19679546663041278), (525, 0.17970586610201236), (4548, 0.17821748014566213)]
ArduPilot/ardupilot 8892 : [(5491, 0.9518960081804033), (5885, 0.939539177089134), (4543, 0.7877824217107549), (2994, 0.7252627321159938), (4437, 0.7142854622202057), (5414, 0.7099403883346496), (3387, 0.5642679244441928), (8077, 0.5069281520070539), (8127, 0.4834368685675687), (2131, 0.4056834543823614)]
ArduPilot/ardupilot 8883 : [(7395, 0.8783128142606962), (6970, 0.5785878860633342), (4937, 0.5367677005257031), (8613, 0.5323620728156311), (6696, 0.5228764788989323), (6971, 0.5197972903369488), (7611, 0.5146148753436407), (5075, 0.5138723025541106), (7493, 0.5108253733371444), (8231, 0.5)]
ArduPilot/ardupilot 8882 : [(6527, 0.8847889451395721), (3141, 0.5185119799185844), (1308, 0.3864899772612824), (1789, 0.3708141175698625), (8025, 0.36129710723952957), (2430, 0.3453323776233135), (3449, 0.3015034842313654), (7177, 0.28362307874285686), (1869, 0.27249795896874307), (5697, 0.26940626465846557)]
ArduPilot/ardupilot 8879 : [(7208, 0.8626326523497838), (8295, 0.5082602585849542), (4563, 0.37471074367018076), (6730, 0.35985095555382735), (4558, 0.3361057122622213), (3793, 0.2859660096841256), (4175, 0.25818135619360305), (4209, 0.24408138504901963), (4147, 0.224848405464223), (3928, 0.20604789946235155)]
ArduPilot/ardupilot 8878 : [(7768, 0.7872029575040711), (7886, 0.7097837529050995), (7678, 0.6797860914836257), (8531, 0.6709937311914559), (7790, 0.6671931385281468), (7545, 0.663300641035809), (6528, 0.46187359269629397), (7831, 0.4603990616703078), (7827, 0.4118001830288536), (7870, 0.4005343075771268)]
ArduPilot/ardupilot 8876 : [(7951, 0.7848014518220383), (5116, 0.7398101635841785), (8497, 0.7008966963841591), (6880, 0.659791103939128), (3984, 0.6588774130380566), (5108, 0.60159225639222), (8860, 0.5203163971006113), (7731, 0.48495357634901876), (6873, 0.4155619006051978), (5516, 0.36733016837044397)]
ArduPilot/ardupilot 8863 : [(7735, 0.9838300763539743), (1404, 0.8807182113450249), (3268, 0.8742672567534358), (4636, 0.8512795659822942), (5389, 0.8383606674715797), (1400, 0.8306465535504717), (7293, 0.7823223347777006), (5621, 0.7774008428097512), (6619, 0.7503198754602557), (7720, 0.7481448211927643)]
ArduPilot/ardupilot 8862 : [(8657, 0.829449619610917), (6749, 0.8152071951779689), (8339, 0.8130903953026737), (7063, 0.8122810058106934), (7288, 0.8105244407615675), (8181, 0.7959312830989127), (4312, 0.7904744161019264), (8534, 0.7797992068916715), (4357, 0.7741121824651903), (7669, 0.7719399346313498)]
ArduPilot/ardupilot 8861 : [(2599, 0.8785915390553537), (4735, 0.7278938896798798), (8290, 0.4256078583523892), (8500, 0.3597816433086623), (7390, 0.3597816433086623), (6970, 0.27325877818365796), (5954, 0.2615989554793954), (7933, 0.21874481748990984), (2475, 0.20384195732669583), (6820, 0.19893605030654668)]
ArduPilot/ardupilot 8860 : [(5761, 0.8673983966416713), (3320, 0.8566841047066122), (8283, 0.8461502176790971), (5116, 0.8300142866859321), (8497, 0.8295401345541487), (5108, 0.824696450678176), (6873, 0.7393468490398328), (8432, 0.7197553912075503), (5516, 0.708716501527166), (3261, 0.6130055882552944)]
ArduPilot/ardupilot 8858 : [(6575, 0.880846211366205), (7332, 0.8588222197739512), (6628, 0.7748745714113694), (7326, 0.7488916721312221), (7498, 0.7424458780732752), (8286, 0.7285292010497061), (7314, 0.7022886437651581), (8916, 0.6154915413672171), (7588, 0.5806394415751913), (8521, 0.4476266445190441)]
ArduPilot/ardupilot 8848 : [(8768, 0.970136781938877), (7680, 0.9639673158814666), (8015, 0.7315387111161713), (3721, 0.684981009835619), (2791, 0.6603420038806687), (6092, 0.610987170577279), (6186, 0.6099588422481416), (5880, 0.5645923954487441), (6910, 0.5210022011281851), (7556, 0.5)]
ArduPilot/ardupilot 8846 : [(6686, 0.9419584844761676), (3007, 0.9419392961734337), (8723, 0.9348023132256836), (8197, 0.9340659532276897), (6693, 0.9247869327095869), (4719, 0.816111799689337), (3604, 0.7924172829543484), (3358, 0.7734473753460063), (8653, 0.7571855774094488), (6746, 0.6481806563467503)]
ArduPilot/ardupilot 8839 : [(6975, 0.9060765705763048), (3889, 0.5906543907408296), (8610, 0.48948417804455857), (3590, 0.3461299788219867), (3909, 0.2753764305303887), (6083, 0.27385311518388317), (5888, 0.21488872786931404), (3688, 0.19149141017583673), (1008, 0.1849179996895783), (7716, 0.18170727981591453)]
ArduPilot/ardupilot 8836 : [(8713, 0.6718452479642982), (8391, 0.30539530389696307), (8315, 0.27161640186328195), (2404, 0.23704480019873603), (2744, 0.22673628094728435), (2142, 0.18827161253086844), (2351, 0.18772654776418254), (2607, 0.18141592793883782), (3196, 0.17280945141499685), (2804, 0.16232752520088237)]
ArduPilot/ardupilot 8827 : [(8869, 0.6890072415254801), (7635, 0.24007428646178083), (7086, 0.23858119089303823), (7085, 0.23858119089303823), (6967, 0.16559022728493886), (8609, 0.1577954709205319), (3667, 0.1541801081629221), (4392, 0.1539119722221537), (4483, 0.1534808385412454), (1588, 0.15207380318483738)]
ArduPilot/ardupilot 8816 : [(6733, 0.9630321263186029), (5967, 0.9026322353514027), (5727, 0.8974025973932525), (8462, 0.895641988504359), (3948, 0.8452964054933603), (2813, 0.7655819886874075), (8698, 0.7615227600399528), (4548, 0.7559811180133519), (5231, 0.7541456490710429), (7423, 0.726183298751155)]
ArduPilot/ardupilot 8814 : [(6791, 0.818631446201402), (7251, 0.773625505520925), (7109, 0.6435403048228798), (2305, 0.5514677554253493), (5237, 0.39697030038050274), (7270, 0.31309662743054395), (7294, 0.30509431934109243), (6725, 0.2838145292162734), (3859, 0.2799956851736065), (7250, 0.25176643892061046)]
ArduPilot/ardupilot 8803 : [(8756, 0.38975264732051007), (4839, 0.3330253586615074), (6752, 0.29914474741752384), (4121, 0.2869527924566909), (3979, 0.2846775332354302), (5968, 0.16778613412988058), (5993, 0.16616992246990672), (2248, 0.16323579359530888), (8036, 0.15834244612615336), (6173, 0.15253886192579014)]
ArduPilot/ardupilot 8790 : [(7846, 0.9731210344699937), (4813, 0.8940678734696824), (4920, 0.7942650602944696), (8201, 0.7415689137350245), (4829, 0.4109084661985221), (7411, 0.34426953398512666), (6634, 0.23840776169530536), (4364, 0.22352783092647271), (7373, 0.21983828427655933), (7155, 0.19935094642748605)]
ArduPilot/ardupilot 8789 : [(8122, 0.2981842687984012), (7705, 0.27781530953572736), (6608, 0.2058786294516619), (5136, 0.20554735288302467), (7117, 0.18950882529086724), (8218, 0.18147890636223835), (7449, 0.17531878031195117), (6752, 0.1666951421219607), (5068, 0.1644661244529196), (956, 0.15953798106511655)]
ArduPilot/ardupilot 8783 : [(3521, 0.9275421522669567), (3529, 0.9161096461817597), (4598, 0.6332281982425177), (2208, 0.5466362539883439), (5599, 0.4569025026809167), (2519, 0.45162363047776105), (8042, 0.3199506698630472), (5727, 0.31827582316489583), (5572, 0.3090711191096796), (2813, 0.2920529727326837)]
ArduPilot/ardupilot 8766 : [(6628, 0.4661752085862147), (6722, 0.41747263526351114), (7389, 0.34366377260966646), (7964, 0.30456436122797964), (7926, 0.2227687762346673), (6575, 0.2156744965826748), (3989, 0.1745566132143546), (8858, 0.17069494409320743), (7781, 0.1674458754400856), (312, 0.16660489583421265)]
ArduPilot/ardupilot 8763 : [(3129, 0.6055478039512201), (5405, 0.5957553856291032), (3487, 0.5105019819035653), (5642, 0.45985153331949624), (3161, 0.43178852296594433), (7735, 0.42701125834790205), (4155, 0.40367807453090016), (3180, 0.3709861101303778), (5509, 0.36665828748787516), (3465, 0.340018268499805)]
ArduPilot/ardupilot 8758 : [(6818, 0.6209966365372376), (3633, 0.6209966365372376), (3192, 0.5811905415878648), (1048, 0.5159519958653327), (8872, 0.4521045081747013), (3423, 0.4498685941725925), (3359, 0.4289967228238887), (6178, 0.3842117082294784), (4500, 0.3752263942980625), (4049, 0.35447676208689255)]
ArduPilot/ardupilot 8751 : [(7171, 0.9836015942828809), (7335, 0.887538245148788), (5790, 0.8823908678349415), (6856, 0.8660207438618039), (5849, 0.6148202976408397), (8202, 0.5695993865461947), (6684, 0.3882439747547905), (6788, 0.36831490655160365), (8296, 0.27296099028232795), (5767, 0.2544043110244644)]
ArduPilot/ardupilot 8748 : [(3688, 0.6021544004716454), (7291, 0.3733020286505992), (7282, 0.3492561202166106), (3937, 0.3425366805368291), (4279, 0.3069608464443331), (6314, 0.28032405996157084), (1525, 0.2588062357763399), (5594, 0.2566616517134613), (3360, 0.23250252597949006), (8245, 0.2322912688364695)]
ArduPilot/ardupilot 8745 : [(7089, 0.8624206535095817), (4554, 0.6527402630901028), (6093, 0.6164097493784529), (8841, 0.491161416076377), (8917, 0.2677483182031565), (2459, 0.26623656081052444), (2207, 0.24704245404944744), (7150, 0.24462318958009982), (6982, 0.23737338366333055), (7676, 0.20484508948303248)]
ArduPilot/ardupilot 8740 : [(8683, 0.5264797275135075), (8254, 0.3117835176132015), (8769, 0.24600221698590805), (8511, 0.24279824308192785), (476, 0.22501264551181205), (3073, 0.22442577781342085), (6908, 0.22341901774229894), (4615, 0.18871399564954264), (7414, 0.18825700191717573), (2544, 0.18224470750742847)]
ArduPilot/ardupilot 8733 : [(6912, 0.4575300304591784), (6345, 0.38511892696045463), (6458, 0.34923849704886617), (1912, 0.31600673508090577), (6703, 0.2386750060819651), (7172, 0.23297413245298487), (2248, 0.23157841836865048), (8927, 0.2289380530932655), (6560, 0.20371484147667387), (8355, 0.201523621524999)]
ArduPilot/ardupilot 8732 : [(5657, 0.9999870556540569), (1750, 0.8542433758579454), (1751, 0.8273946271917593), (5207, 0.7937844662789372), (6552, 0.7444200045296954), (4712, 0.5682604871040695), (5446, 0.5645751916937277), (4377, 0.25430961798300833), (6842, 0.22331976633445377), (5727, 0.17038146501717186)]
ArduPilot/ardupilot 8730 : [(7546, 0.5), (7215, 0.48773603133872534), (5439, 0.42615836024888526), (7638, 0.36486166706111967), (7980, 0.2973427403632203), (7712, 0.28944037668698747), (7489, 0.2706874707695111), (5823, 0.22126376371276024), (8100, 0.2212016283754921), (6656, 0.18859479263818035)]
ArduPilot/ardupilot 8713 : [(8836, 0.6718452479642982), (4787, 0.5790267836697063), (3118, 0.17587054704984986), (3122, 0.17094606088704514), (6253, 0.12679213092394856), (5482, 0.12218368232055656), (5406, 0.12218368232055656), (5293, 0.12218368232055656), (5240, 0.12218368232055656), (5064, 0.12218368232055656)]
