NetEase/pomelo 975 : [(785, 0.7534989982856619), (482, 0.6108986548356043), (783, 0.029857040107255813), (868, 0.02937927895162194), (647, 0.02747102462137977), (448, 0.027448317157628545), (867, 0.026125704315481443), (286, 0.026050034285646877), (935, 0.02539231035285438), (912, 0.025062374414186912)]
NetEase/pomelo 968 : [(621, 0.6808470034792954), (176, 0.6187710559268363), (286, 0.45603301893265763), (882, 0.13485083014549407), (723, 0.061008210869113344), (892, 0.04463652700743161), (647, 0.03300844090213107), (973, 0.030430140941309778), (939, 0.029538690759996634), (912, 0.02362289739024921)]
NetEase/pomelo 960 : [(946, 0.1892713941293049), (882, 0.13570685762239001), (264, 0.08397292345702112), (785, 0.0796007197274778), (647, 0.06039997931888009), (739, 0.04785394498551501), (867, 0.017607932319091676), (591, 0.01749419594530326), (973, 0.01603432714430017), (939, 0.01603432714430017)]
NetEase/pomelo 957 : [(215, 0.9099170975329721), (882, 0.16721955537993224), (480, 0.15349003790370674), (479, 0.15349003790370674), (482, 0.059887480347668214), (286, 0.05057725601222505), (868, 0.04516238881010135), (892, 0.04319126275659605), (457, 0.03713464468060152), (777, 0.03641613879836071)]
NetEase/pomelo 946 : [(591, 0.28290550690635524), (264, 0.28250041365960965), (739, 0.24315661801717378), (785, 0.19399573046700025), (960, 0.1892713941293049), (647, 0.1716685913285866), (882, 0.07619747451255436), (431, 0.06780194728772906), (867, 0.020985012580388065), (620, 0.018628749160523216)]
NetEase/pomelo 935 : [(712, 0.4199348805254845), (553, 0.4199348805254845), (896, 0.4199348805254845), (882, 0.13485161637153167), (768, 0.05838349419047651), (892, 0.04470391484618427), (975, 0.02539231035285438), (912, 0.023427594875071636), (448, 0.022579073012617377), (480, 0.02235286059804784)]
NetEase/pomelo 912 : [(227, 0.7046999499189192), (882, 0.13578575475192353), (739, 0.08394631201662939), (647, 0.04596311641897576), (783, 0.04232340678385885), (431, 0.031283664166251356), (860, 0.025874067615631786), (868, 0.02556408023097025), (867, 0.025382519276488415), (975, 0.025062374414186912)]
NetEase/pomelo 896 : [(712, 0.4199348805254845), (553, 0.4199348805254845), (935, 0.4199348805254845), (882, 0.13485004259488206), (892, 0.04456908975633999), (768, 0.03558878529718651), (480, 0.01871111198102309), (479, 0.01871111198102309), (777, 0.016866194915647458), (973, 0.01603432714430017)]
NetEase/pomelo 888 : [(714, 0.9999884292499474), (928, 0.9944986640952906), (723, 0.6454589274356528), (628, 0.4199348805254845), (783, 0.4199348805254845), (743, 0.4199348805254845), (882, 0.13484528928694078), (553, 0.05636222747806787), (730, 0.05105657956709186), (689, 0.05105657956709186)]
NetEase/pomelo 868 : [(892, 0.24382291441841772), (882, 0.17454347126693603), (482, 0.08780299854574758), (957, 0.04516238881010135), (928, 0.04131311886772003), (431, 0.030766825598588062), (975, 0.02937927895162194), (647, 0.02794160407897402), (912, 0.02556408023097025), (783, 0.025538968149521182)]
NetEase/pomelo 860 : [(726, 0.7115933909362496), (882, 0.13578575475192353), (777, 0.07289769202889149), (768, 0.06980781177019112), (939, 0.055092080166973964), (783, 0.02980135757778794), (647, 0.02856887926531832), (901, 0.02804205388609685), (912, 0.025874067615631786), (480, 0.01871111198102309)]
NetEase/pomelo 813 : [(973, 0.01603432714430017), (939, 0.01603432714430017), (928, 0.01603432714430017), (905, 0.01603432714430017), (901, 0.01603432714430017), (899, 0.01603432714430017), (893, 0.01603432714430017), (892, 0.01603432714430017), (882, 0.01603432714430017), (879, 0.01603432714430017)]
NetEase/pomelo 808 : [(273, 0.09603019962008791), (286, 0.05150216486673533), (768, 0.022358785265331214), (867, 0.0197557639474298), (868, 0.019513836258972617), (957, 0.018896210241664047), (621, 0.018734073833083724), (395, 0.017604515137313006), (591, 0.017280414018539664), (905, 0.017053179345399107)]
NetEase/pomelo 785 : [(975, 0.7534989982856619), (482, 0.30373901882358645), (615, 0.20850519755215802), (946, 0.19399573046700025), (893, 0.19325298483887604), (892, 0.16642216388949074), (882, 0.15656745754491946), (264, 0.15145802416101276), (777, 0.1369397871483704), (739, 0.11810596367771972)]
NetEase/pomelo 783 : [(714, 0.5), (928, 0.43561805628559824), (628, 0.4309109851355247), (723, 0.4199348805254845), (888, 0.4199348805254845), (743, 0.4199348805254845), (882, 0.13485630609771995), (647, 0.08944796317162743), (879, 0.08397292345702112), (457, 0.0716581050878925)]
NetEase/pomelo 768 : [(905, 0.40579256537755604), (712, 0.19875330539337385), (726, 0.16722587639964415), (882, 0.16477993436252064), (860, 0.06980781177019112), (480, 0.059738146636224905), (479, 0.059738146636224905), (892, 0.05853092848109441), (935, 0.05838349419047651), (899, 0.03558878529718651)]
NetEase/pomelo 743 : [(628, 0.7998606510135677), (928, 0.4199348805254845), (723, 0.4199348805254845), (714, 0.4199348805254845), (888, 0.4199348805254845), (783, 0.4199348805254845), (879, 0.19188014064219588), (753, 0.16494119827083611), (882, 0.1348476719621389), (892, 0.043884914734222874)]
NetEase/pomelo 739 : [(946, 0.24315661801717378), (882, 0.13570685762239001), (647, 0.12517194868019932), (785, 0.11810596367771972), (264, 0.08397292345702112), (912, 0.08394631201662939), (893, 0.08330058536541575), (892, 0.06425788327065725), (960, 0.04785394498551501), (973, 0.01603432714430017)]
NetEase/pomelo 647 : [(672, 0.9538167832152193), (901, 0.620085896382921), (691, 0.6062183291480612), (689, 0.6062183291480612), (457, 0.5270170142624439), (707, 0.2194949889556719), (946, 0.1716685913285866), (892, 0.16187283188294846), (739, 0.12517194868019932), (882, 0.12198756098018045)]
NetEase/pomelo 591 : [(946, 0.28290550690635524), (905, 0.20385111217508572), (777, 0.13743558806610848), (882, 0.13578575475192353), (480, 0.055883362959141814), (479, 0.055883362959141814), (759, 0.052887235955111314), (928, 0.03479634808716261), (704, 0.029680489876518334), (973, 0.02371485938556622)]
NetEase/pomelo 448 : [(777, 0.137179048697978), (882, 0.11980258928148772), (641, 0.09130868663362364), (642, 0.04893752885142556), (717, 0.04785394498551501), (495, 0.04785394498551501), (387, 0.042713181222985674), (669, 0.03526634326121706), (612, 0.029547101330929432), (610, 0.028039387786609735)]
