SnapKit/Masonry 522 : [(62, 0.47580759746854956), (182, 0.2366768310074423), (322, 0.17611020191203133), (358, 0.13273690793990411), (212, 0.10489595679977994), (24, 0.07215702941833223), (105, 0.05953528376687702), (104, 0.056232663612003506), (287, 0.053195297184156894), (69, 0.04282585217046812)]
SnapKit/Masonry 521 : [(30, 0.9784588163295229), (519, 0.8842787423667204), (261, 0.4579552957988679), (408, 0.296049729569873), (63, 0.11824318371622444), (301, 0.11608138262642245), (52, 0.09815247216259336), (10, 0.09434129407770413), (378, 0.08149366919557552), (362, 0.06290318319730948)]
SnapKit/Masonry 519 : [(521, 0.8842787423667204), (30, 0.7883474304780579), (443, 0.12951048910609303), (408, 0.11723996521795138), (301, 0.09858069924276461), (52, 0.09815247216259336), (63, 0.09607989413930695), (261, 0.08875252366573921), (84, 0.0697161992248393), (362, 0.06290318319730948)]
SnapKit/Masonry 505 : [(403, 0.8539556851018173), (405, 0.8457135257767685), (404, 0.8457135257767685), (115, 0.29477444468460423), (65, 0.29477444468460423), (46, 0.29477444468460423), (21, 0.29477444468460423), (15, 0.29477444468460423), (377, 0.20571344179366788), (168, 0.1936955201471994)]
SnapKit/Masonry 502 : [(489, 0.8651018821732238), (100, 0.4396545058850193), (148, 0.09889546853696647), (77, 0.06385837644641297), (142, 0.048602945843665174), (68, 0.04787492137708509), (56, 0.04613400153929402), (225, 0.044099620494307816), (52, 0.04001927572736963), (163, 0.038523178199714736)]
SnapKit/Masonry 499 : [(388, 0.33715187743729474), (448, 0.29477444468460423), (429, 0.29477444468460423), (379, 0.29477444468460423), (302, 0.29477444468460423), (295, 0.29477444468460423), (194, 0.29477444468460423), (157, 0.29477444468460423), (93, 0.29477444468460423), (91, 0.29477444468460423)]
SnapKit/Masonry 490 : [(457, 0.9447582348674667), (456, 0.9341199585107038), (473, 0.7113697191933396), (163, 0.555143956933806), (301, 0.31704092892029107), (55, 0.23139126181133945), (18, 0.11827851326290505), (286, 0.0973047812636131), (408, 0.08373176596066367), (378, 0.08015668160364654)]
SnapKit/Masonry 489 : [(502, 0.8651018821732238), (100, 0.5862362603820086), (300, 0.12341276588083226), (261, 0.08068348216769092), (377, 0.06098199052570306), (405, 0.05598744530573074), (404, 0.05598744530573074), (403, 0.048832993973584704), (191, 0.03800532714862161), (30, 0.035767717196574574)]
SnapKit/Masonry 481 : [(212, 0.5991933040853551), (399, 0.239572592621426), (105, 0.1502515953814231), (194, 0.09553987099030212), (321, 0.06285055530865204), (107, 0.06145943472808051), (55, 0.048479986422476924), (163, 0.03682224102048989), (56, 0.031775180104838534), (300, 0.0317692954289074)]
SnapKit/Masonry 408 : [(63, 0.9447154733788725), (261, 0.7468749293598842), (55, 0.6785587765815524), (286, 0.6037992791522888), (163, 0.5912320178017769), (399, 0.4830881574512285), (378, 0.4568675804254437), (457, 0.3463557014524804), (456, 0.3463557014524804), (521, 0.296049729569873)]
SnapKit/Masonry 399 : [(286, 0.9416085978480946), (63, 0.9409705851090342), (42, 0.9406492117207871), (406, 0.9329406788555266), (163, 0.9254722514376684), (56, 0.9217374012272612), (62, 0.919840045479985), (261, 0.7981559130478022), (388, 0.5131374193502296), (189, 0.5101433930638234)]
SnapKit/Masonry 363 : [(225, 0.7311397865657174), (268, 0.5346555463244422), (325, 0.46914671056936674), (265, 0.3011763920569248), (408, 0.17206550779983146), (358, 0.12986194700383338), (63, 0.11716519307078661), (399, 0.1012173925706083), (30, 0.0893455386583313), (93, 0.06116467959744517)]
SnapKit/Masonry 189 : [(41, 0.9854513149022626), (388, 0.8352081500214857), (78, 0.6268047245907624), (286, 0.5854319150623961), (107, 0.5555095858209556), (42, 0.5505491786879636), (56, 0.5392642902155349), (293, 0.5386763404299111), (62, 0.5366225708192547), (399, 0.5101433930638234)]
