angular/angular.js 16560 : [(15601, 0.9964940944354078), (8352, 0.9942185822986727), (12919, 0.9926685854952755), (12777, 0.9917662092973731), (13124, 0.9884210491352444), (15928, 0.983453952566271), (4956, 0.9832396486546562), (5783, 0.9814768870892239), (11523, 0.9798488689848962), (5335, 0.9797421062282808)]
angular/angular.js 16553 : [(14580, 0.9932330200134775), (10191, 0.9926234394867478), (9725, 0.9895858111553472), (13928, 0.9889951968021923), (12236, 0.9835436711570094), (2617, 0.9763709296922893), (1889, 0.9655508135715468), (9077, 0.9604955019195058), (9202, 0.9595864925807936), (11628, 0.9581980541554835)]
angular/angular.js 16544 : [(7279, 0.8018757642917697), (8828, 0.7860131261201387), (13853, 0.738618398882183), (10530, 0.6869081451982918), (12264, 0.6864722883990817), (15361, 0.6685727825005545), (11897, 0.6323437956132629), (15362, 0.6256457658648492), (11222, 0.4890034956974172), (7345, 0.4078004844221941)]
angular/angular.js 16511 : [(6157, 0.8492211851805715), (8451, 0.8352275495016568), (2749, 0.7160387609784767), (16552, 0.7076653422442702), (2545, 0.7016122886880264), (9117, 0.6867502639067463), (14381, 0.6069113845980251), (14386, 0.6039715398161833), (16551, 0.5727417149472926), (11736, 0.5585982818066683)]
angular/angular.js 16506 : [(16502, 0.7940806702670216), (1535, 0.6838701298896813), (2729, 0.6802846028759033), (6235, 0.6765414355606578), (2522, 0.6713212521001303), (10822, 0.6477966326457264), (10823, 0.6477966326457264), (2715, 0.6397447661776916), (12729, 0.6212605563179255), (12346, 0.5261045534350325)]
angular/angular.js 16502 : [(6167, 0.9703739549261011), (6341, 0.9636788950384441), (2701, 0.9227984387603972), (15865, 0.8318084692173635), (7245, 0.8252586843282017), (16506, 0.7940806702670216), (2398, 0.7864215693898934), (12964, 0.7611976864906967), (12729, 0.7409667842178075), (11302, 0.7142874060888962)]
angular/angular.js 16479 : [(6299, 0.9600791571109039), (7396, 0.9380475716968923), (2607, 0.9379291426442361), (5649, 0.9376594712796134), (1547, 0.9362112190814683), (4899, 0.9358070040468487), (2083, 0.93005769049717), (13210, 0.9262650527605492), (5613, 0.9239678244535531), (12201, 0.9233406493914107)]
angular/angular.js 16471 : [(15818, 0.8187810030066821), (15946, 0.7647430984201863), (8823, 0.7092899931130048), (15064, 0.7036354668013971), (14294, 0.6972402569510272), (5315, 0.6416293392564649), (8437, 0.6265382622858975), (5999, 0.5785943391246469), (3697, 0.5706801268688836), (4632, 0.5259019570735493)]
angular/angular.js 16299 : [(15739, 0.940694305760099), (15433, 0.9374564298151397), (15225, 0.9173993023260693), (15872, 0.8972094215386756), (15439, 0.8691920247797015), (15707, 0.8566812065455468), (14056, 0.854416380713519), (15881, 0.8541525571402588), (15483, 0.8305091370425904), (2971, 0.8281383633815328)]
angular/angular.js 16283 : [(16491, 0.9709409121075503), (15770, 0.95413204467492), (15881, 0.9391943829251036), (15433, 0.9050025340648951), (10601, 0.7914060520601786), (10566, 0.7523245381905426), (10085, 0.42906063163539776), (14056, 0.38624563883830415), (5100, 0.3787211579636701), (15439, 0.33617175331352545)]
angular/angular.js 16251 : [(16560, 0.9974261489521749), (4956, 0.9960628569536735), (12919, 0.995014000036532), (12777, 0.9943547756838186), (5335, 0.9899589588149788), (4580, 0.9896081290397644), (8352, 0.9857910548017664), (5314, 0.9848728249524498), (10199, 0.97711564478142), (15601, 0.9767177154267588)]
angular/angular.js 16192 : [(6542, 0.9527242566661304), (6743, 0.9454762290012074), (6540, 0.933408381921926), (9577, 0.7051256346843946), (6691, 0.5727988942759111), (6437, 0.5492359698215561), (12619, 0.28766140775110477), (6508, 0.23359797658354792), (6733, 0.22435727996997415), (12347, 0.1959416467786818)]
