ansible/ansible 42786 : [(34897, 0.9999997523372536), (34962, 0.9999997451427995), (42695, 0.991834123291497), (29158, 0.9883643072774485), (37418, 0.7342625479031827), (39986, 0.7213032326654875), (17923, 0.7205745571979654), (42736, 0.719082417214395), (40208, 0.7156972485528829), (42430, 0.7144127371072654)]
ansible/ansible 42783 : [(14023, 0.9291919904720181), (15274, 0.9210484065207813), (24923, 0.9199830442648438), (26328, 0.9198371336761322), (32484, 0.9194139729120309), (18587, 0.817881703866887), (32576, 0.8074467519894841), (35310, 0.8002880594812598), (40507, 0.7941871520419548), (41703, 0.7897077131217631)]
ansible/ansible 42781 : [(42643, 0.7857398019562167), (41183, 0.7774576111169088), (35924, 0.7721323060294293), (40837, 0.7484278703952361), (42159, 0.7086733171342229), (40373, 0.7076597154196204), (38018, 0.6998743379796353), (37689, 0.6954287326858479), (41380, 0.6914688300563856), (40493, 0.690992338247047)]
ansible/ansible 42778 : [(36969, 0.9737352717430688), (26436, 0.8233886715937021), (26453, 0.8215059122423836), (19797, 0.7105906427688597), (31852, 0.6482591528647179), (10452, 0.6464914209114532), (34291, 0.5434234042745313), (15168, 0.5360189252330826), (7937, 0.4672616090933759), (11586, 0.4182785636377702)]
ansible/ansible 42777 : [(40568, 0.9308709885158172), (37246, 0.88141074069374), (40757, 0.8793102798152244), (40756, 0.8793102798152244), (35215, 0.8737340109684408), (40839, 0.8635242104758812), (41102, 0.8390514058949501), (36022, 0.8377341540288217), (41962, 0.8296575340360322), (35434, 0.8268882256899585)]
ansible/ansible 42776 : [(32080, 0.9018920916310089), (39578, 0.8942847182952434), (41038, 0.8919080715005037), (25110, 0.8870695972334145), (33722, 0.8785282525260841), (30904, 0.8759638859401179), (28064, 0.8558780754814997), (31578, 0.8352396759699239), (28873, 0.8261776651919854), (41052, 0.8249878915950378)]
ansible/ansible 42775 : [(40606, 0.9887610969573436), (34966, 0.9759856257542435), (37814, 0.9524524582834941), (36789, 0.9386346652965466), (36636, 0.8570413539209722), (35122, 0.7779569846957396), (42736, 0.6818219968758208), (23533, 0.6743269258060065), (37555, 0.6717817420997909), (40464, 0.6560530862050028)]
ansible/ansible 42774 : [(35218, 0.8438724132667318), (40770, 0.8030383346875787), (26784, 0.7872551108521361), (24957, 0.784847218972582), (41049, 0.762838233514013), (27992, 0.7617083478162198), (24716, 0.747027229948292), (25737, 0.7457617779731429), (37202, 0.7413287641979251), (30660, 0.7401627227391866)]
ansible/ansible 42773 : [(12836, 0.9264674239743883), (42709, 0.8349088135193167), (38901, 0.8186027850982572), (40527, 0.7662882915390857), (42370, 0.7655959898356649), (38136, 0.7652150768641034), (42736, 0.7622335343201427), (42257, 0.7618875025079717), (35433, 0.7590871418338205), (42543, 0.7534439430572232)]
ansible/ansible 42771 : [(41845, 0.9999883002388151), (42574, 0.9638607848232364), (37926, 0.7209047521743674), (32333, 0.6899082463475902), (16105, 0.6054758342301907), (26997, 0.5929286829428156), (42081, 0.549090199472258), (18426, 0.486460700502883), (27082, 0.46330828009624064), (36593, 0.42552111826477496)]
ansible/ansible 42770 : [(19537, 0.8971017160072661), (19541, 0.872032960079217), (17119, 0.7361450331664916), (40184, 0.7351588707877725), (18630, 0.7266967205790832), (30894, 0.6933595410212617), (15847, 0.6679749121464406), (475, 0.6475547836210409), (7076, 0.6165276285360529), (37410, 0.5800447384717132)]
ansible/ansible 42767 : [(35310, 0.8886204723781531), (40370, 0.8319732854206949), (35322, 0.8141485682005508), (36651, 0.8025917619436265), (38060, 0.7967984823317232), (40455, 0.7924989676599036), (35309, 0.7781078801152598), (17585, 0.7779227795551737), (37598, 0.7513418939689133), (42593, 0.7417256198765888)]
ansible/ansible 42766 : [(24582, 0.8905810459240825), (11591, 0.8815418776801033), (38689, 0.8258497428871434), (41005, 0.771597443234358), (9419, 0.7021900152325461), (25780, 0.689879251179208), (42685, 0.6557553666426804), (13166, 0.6451060540492294), (22698, 0.5768524268733163), (42679, 0.5627934104344218)]
ansible/ansible 42765 : [(36503, 0.9194781650814609), (20806, 0.7968227370725303), (31455, 0.7670024707003114), (26321, 0.7370757393929004), (36627, 0.6052326055085837), (25702, 0.5850699148504575), (19033, 0.5577452579924165), (31530, 0.5456752196869673), (19790, 0.5404522038768097), (19031, 0.5335979526531578)]
