cocos2d/cocos2d-x 18936 : [(11583, 0.9615064767476028), (11441, 0.9457525122964426), (10033, 0.9175107619542772), (16039, 0.9075108529115271), (14321, 0.9062492751724455), (16451, 0.8900894329754444), (14079, 0.8274749414398148), (12740, 0.6996837300246873), (17459, 0.5599385942957742), (6476, 0.5098751837687682)]
cocos2d/cocos2d-x 18935 : [(18871, 0.7271681701463413), (13832, 0.41504088400435574), (14197, 0.15561064558706322), (5275, 0.15532687223355576), (16955, 0.14965531890182518), (3069, 0.13412602561663356), (14929, 0.12021340353706925), (17761, 0.11635821807577026), (5042, 0.1110604225042777), (14530, 0.11077446092506808)]
cocos2d/cocos2d-x 18933 : [(15515, 0.9056751597031386), (17716, 0.4106568786725994), (15032, 0.3869227777743664), (8894, 0.36153865433166893), (15925, 0.33351589565190976), (8055, 0.33351589565190976), (14139, 0.23866918008630159), (17689, 0.20472942442889092), (90, 0.10635365153969707), (18209, 0.09423855580862607)]
cocos2d/cocos2d-x 18931 : [(5003, 0.9018278366120738), (18564, 0.9009688400085927), (5008, 0.900075192273245), (4014, 0.8989636793693627), (3981, 0.8427483675757145), (15290, 0.7872501931708223), (14867, 0.6604619265415266), (18643, 0.6493701045640938), (5496, 0.6349761098906326), (15135, 0.6254634432749877)]
cocos2d/cocos2d-x 18912 : [(14704, 0.9917610111858779), (14090, 0.8573759721835665), (7558, 0.7204283813142491), (11995, 0.5812619789780257), (15986, 0.5182656905188283), (17594, 0.4913263461700233), (13422, 0.4506743799483509), (9746, 0.286190452593407), (6454, 0.221926915501946), (7497, 0.20647815642608142)]
cocos2d/cocos2d-x 18904 : [(12827, 0.9321765185662491), (18239, 0.8948100380089268), (18885, 0.893411013353737), (18768, 0.893411013353737), (13048, 0.4840984176230779), (9073, 0.4362440596322246), (18252, 0.4002431415517075), (13786, 0.35397647717237685), (9692, 0.3040507231147582), (14929, 0.2644472613761769)]
cocos2d/cocos2d-x 18898 : [(18025, 0.686272973103562), (16369, 0.6518790424028988), (17952, 0.42609722261034016), (6756, 0.3939191110125131), (9667, 0.38286007649525394), (7879, 0.34639940999560986), (18352, 0.3395033999703839), (15885, 0.3375799987121295), (10695, 0.33696453169892354), (7030, 0.3347224249184611)]
cocos2d/cocos2d-x 18895 : [(9089, 0.9967310500906889), (9202, 0.9926352816612157), (9203, 0.5567253273304308), (8158, 0.19610994701557338), (6582, 0.0828565653537598), (11472, 0.07498899357753742), (6584, 0.07378173517654561), (11288, 0.06873022745839179), (1191, 0.0640320281750688), (16706, 0.061636425113059605)]
cocos2d/cocos2d-x 18871 : [(18935, 0.7271681701463413), (14197, 0.5708421198221229), (13832, 0.4480970091605174), (14265, 0.16758327904863204), (14530, 0.13713810696000503), (12308, 0.12307424587346678), (18806, 0.12138906795214845), (15689, 0.11498777341163237), (8946, 0.11435917100879515), (7522, 0.11026475182585521)]
cocos2d/cocos2d-x 18858 : [(8080, 0.264136573465281), (10069, 0.2327449659414755), (10539, 0.12761643607606732), (14419, 0.11836404586926778), (8923, 0.11323096696459464), (10546, 0.11042162328219433), (8941, 0.08829238932306682), (7068, 0.08510081905942624), (4085, 0.08506124708058897), (4821, 0.08333949081217411)]
