dotnet/corefx 30474 : [(29657, 0.9625355386781009), (350, 0.936882991942688), (468, 0.9261714657761008), (9074, 0.8691554355225968), (9081, 0.83412807494212), (12630, 0.7669027666047656), (321, 0.5099361081628921), (11779, 0.4585277870201425), (19672, 0.38728151265754013), (7607, 0.32249473258417866)]
dotnet/corefx 30469 : [(16561, 0.8842821779565176), (30083, 0.8601089771499824), (12250, 0.7813245445521144), (18699, 0.7427030821547511), (29877, 0.7356423253622749), (30386, 0.6843971948855525), (25716, 0.6651541933654715), (23338, 0.6480595438372699), (30119, 0.608881476733011), (26387, 0.5786208834692317)]
dotnet/corefx 30459 : [(15562, 0.11061119240892985), (29576, 0.10596795177049102), (16707, 0.08454256163573588), (21631, 0.08104466111750472), (16588, 0.080696351483134), (17881, 0.0773160558268832), (25164, 0.07405428116051438), (27826, 0.07098174751151858), (19113, 0.06789495701379936), (18366, 0.06642738750694537)]
dotnet/corefx 30448 : [(29992, 0.9494982784976586), (16618, 0.9281813354509255), (10653, 0.8927693943435522), (26090, 0.6238110848547113), (10680, 0.5225067960335306), (30229, 0.2360316943744556), (18529, 0.22705113322971024), (30179, 0.14023207848050576), (11060, 0.13996800219382394), (16681, 0.13665310241482495)]
dotnet/corefx 30447 : [(27522, 0.9934830021244698), (14641, 0.7029280034735685), (25994, 0.6186148441079109), (11640, 0.5689292373625103), (27085, 0.5623156333567277), (23589, 0.5465655439864241), (2839, 0.47006173567459214), (26017, 0.46288070146905913), (17268, 0.42650743505790345), (27531, 0.3532533419364098)]
dotnet/corefx 30442 : [(13184, 0.5361135795106681), (23987, 0.386725133163428), (10071, 0.26614117186597264), (22927, 0.22366502952380338), (336, 0.17886626469848646), (13776, 0.16742801513034192), (28397, 0.16658448636660828), (25867, 0.13462177685223176), (12682, 0.12196450980367815), (5808, 0.11733565975082191)]
dotnet/corefx 30441 : [(23478, 0.9999971505659665), (24612, 0.9999954999394822), (23477, 0.9957447153171022), (25394, 0.9948769092814967), (16001, 0.9943075960643636), (25321, 0.9933078092126151), (13097, 0.9921736902001445), (24622, 0.9872505687877194), (24625, 0.9099194707566877), (25740, 0.8944901324252392)]
dotnet/corefx 30440 : [(29319, 0.8889059699257664), (5070, 0.816653346774175), (5092, 0.7765971810750666), (8045, 0.4911118444795465), (19787, 0.4608390014190988), (11969, 0.37375074562134897), (11433, 0.31301389155136566), (5059, 0.29078884714479153), (5103, 0.24279425411315195), (2310, 0.2260348514800436)]
dotnet/corefx 30432 : [(29835, 0.9296014117312786), (29219, 0.9079450368536447), (10072, 0.8489953477499226), (9653, 0.8351429876597621), (9419, 0.8283239785540664), (9902, 0.8234887033654268), (10037, 0.7499541771956891), (9737, 0.7418946631502078), (9787, 0.715010752690697), (29408, 0.6860333824415181)]
dotnet/corefx 30431 : [(29374, 0.9535224694141368), (30229, 0.7605987620345604), (30192, 0.6663778460028155), (29876, 0.6099238073109924), (16652, 0.5975768179114374), (17484, 0.5875118900047706), (26431, 0.49018019201393676), (30179, 0.40481733534284436), (11957, 0.24263001782046298), (16543, 0.2409352956237467)]
dotnet/corefx 30427 : [(3380, 0.9324938376620252), (10135, 0.848747696804731), (4389, 0.7516462832902895), (5922, 0.7394896556458478), (18222, 0.7100101883398104), (2033, 0.6760312880590371), (22075, 0.6177995925596571), (3807, 0.6151987293773719), (26152, 0.5979330468914626), (8049, 0.5876686847942143)]
dotnet/corefx 30411 : [(26663, 0.5059237190925328), (17407, 0.4485633374968046), (27584, 0.4010268154660441), (29935, 0.39151282553678873), (26662, 0.35515121609159944), (26560, 0.3153951653944897), (17409, 0.27281819718447675), (29809, 0.26907028545532086), (25192, 0.263326129859426), (26726, 0.2571151474682541)]
dotnet/corefx 30410 : [(28443, 0.966612302540762), (28377, 0.9457624081085373), (27616, 0.9394680287759357), (26580, 0.9095156401615578), (28103, 0.8924437762407482), (27567, 0.28844225124853684), (9273, 0.14609574624969174), (26095, 0.14494048198642956), (26700, 0.1413025287145326), (26190, 0.1202587256047114)]
dotnet/corefx 30408 : [(13317, 0.27013172698472354), (2452, 0.26305261294420734), (3212, 0.18435261765086752), (20581, 0.18018493614431566), (2728, 0.17139267343683237), (13715, 0.15748695204584895), (2641, 0.1389191251975923), (14795, 0.13872469967356368), (22033, 0.08574692534950039), (2543, 0.08411741177036354)]
dotnet/corefx 30407 : [(29840, 0.9230727211680074), (26250, 0.8511840382087915), (12846, 0.6908818822532896), (21003, 0.6036553918775963), (5019, 0.3278455934576468), (26296, 0.2841045390775493), (27556, 0.24794054769562737), (5357, 0.1641457956914994), (22977, 0.15778955097686545), (4528, 0.15550551321296627)]
dotnet/corefx 30401 : [(20771, 0.9999939583242117), (15896, 0.9999939583242117), (14921, 0.9999909276936686), (13334, 0.9999890476100985), (16497, 0.9999835700033801), (20908, 0.99745546982363), (20663, 0.99745546982363), (20354, 0.99745546982363), (19879, 0.99745546982363), (18137, 0.99745546982363)]
dotnet/corefx 30398 : [(22702, 0.923018794408752), (22759, 0.9071667469070315), (28008, 0.8161291174016533), (7760, 0.7167697232756022), (9308, 0.6220690642838383), (3966, 0.5983277687887454), (25807, 0.5501648381835567), (26680, 0.5161443494463838), (19195, 0.5140771046759843), (27360, 0.46647228535876206)]
dotnet/corefx 30387 : [(12265, 0.9595767381429238), (17137, 0.9249722341603347), (15945, 0.8825918740196277), (15059, 0.8607545713994758), (19798, 0.795659391034782), (15240, 0.7508711481516988), (15918, 0.7508240745532652), (15239, 0.7220127449259128), (12227, 0.681451889421759), (15527, 0.5717740158091379)]
dotnet/corefx 30386 : [(29877, 0.7461056386567323), (30469, 0.6843971948855525), (8760, 0.6682448978767941), (29986, 0.6111121974399067), (16561, 0.5950241236613127), (30083, 0.5536242444804091), (16198, 0.5263193746447721), (16475, 0.48539688867746833), (30119, 0.4771350315318032), (18699, 0.4685388355960846)]
dotnet/corefx 30381 : [(29219, 0.7998190366633646), (9653, 0.5754688381652817), (29464, 0.5541994396232119), (9737, 0.518552220320542), (27867, 0.44854054292195084), (10037, 0.40397306011059936), (9787, 0.2149585600500458), (29835, 0.19185936120936026), (10622, 0.17382059930046734), (9419, 0.12121679426293688)]
dotnet/corefx 30379 : [(11461, 0.9844508103887015), (28526, 0.9712144336207665), (11700, 0.966892203286302), (11431, 0.9570188185425644), (22129, 0.9177053478045701), (11420, 0.7854760845024367), (3057, 0.6557407646070121), (20384, 0.3575007042349035), (5576, 0.3557943490554321), (7508, 0.30304579214936)]
dotnet/corefx 30376 : [(13885, 0.9457348502962177), (18529, 0.8797648077792726), (10607, 0.8310287912748303), (19053, 0.7522289891006465), (18033, 0.44232720982266893), (25642, 0.3946403285834864), (10680, 0.3553326095763914), (19505, 0.3535237836212724), (29992, 0.3462295598095517), (16538, 0.3413117490918026)]
dotnet/corefx 30374 : [(4753, 0.0604157639201866), (12533, 0.05493690529208826), (19034, 0.043374512890736426), (10174, 0.040977029854112376), (22112, 0.04097176603686709), (19065, 0.040066421561323555), (1311, 0.039728131028763145), (25361, 0.039478387927259335), (13141, 0.03853826019106927), (9532, 0.03820524004327015)]
dotnet/corefx 30371 : [(27011, 0.609015478141642), (29422, 0.5150338867174471), (16801, 0.4352335216232184), (23277, 0.43221882184835714), (6739, 0.40914379507791115), (4398, 0.385758572706682), (16154, 0.3722419928936729), (2985, 0.37025341497807346), (23872, 0.3680032518635028), (23692, 0.34809282135172215)]
dotnet/corefx 30370 : [(27821, 0.8144316539928566), (27265, 0.8069025993161706), (26989, 0.565061172445053), (26030, 0.5223572527340474), (27220, 0.4944314032770624), (28740, 0.4597805595843678), (27322, 0.3897881860700123), (27151, 0.3355132032336957), (26752, 0.2903513361869242), (27886, 0.25595150537348926)]
dotnet/corefx 30367 : [(2733, 0.47816416836867687), (7308, 0.38077880793632907), (21955, 0.220887894614886), (17913, 0.17273557282331095), (2272, 0.12720574668217827), (339, 0.12636852008840865), (17610, 0.11087271666443603), (8800, 0.10850367537036579), (28153, 0.09959168035275881), (2270, 0.09946678994397341)]
dotnet/corefx 30361 : [(23711, 0.31055053869165145), (29283, 0.20428813707183555), (24624, 0.14242098792293845), (13874, 0.13389178984469874), (16045, 0.1295092505876347), (30046, 0.12328159235532707), (15344, 0.12228045740452176), (12153, 0.12132300160968809), (29219, 0.11983024618969824), (12971, 0.11752774793474739)]
dotnet/corefx 30358 : [(24286, 0.7297567346672887), (24827, 0.7235698117929701), (24906, 0.6957401123971308), (26153, 0.6956331680784112), (24720, 0.6949685088337656), (24851, 0.6806941435935465), (25611, 0.6457865341198), (29281, 0.40291369164282376), (25853, 0.24062937581437527), (6023, 0.2393295606416268)]
dotnet/corefx 30342 : [(2985, 0.9100850982893218), (23526, 0.9098305411033067), (27766, 0.9058318118535118), (27645, 0.8905255112345357), (20116, 0.8513920748517957), (19968, 0.8500358992558558), (7498, 0.8317538072887136), (27311, 0.6476798490129742), (27857, 0.6386605832796496), (15742, 0.5307860783273466)]
dotnet/corefx 30324 : [(7089, 0.8848673467528109), (7102, 0.8230301568092283), (16544, 0.7890957589427268), (30000, 0.7305264284652051), (21462, 0.6866752085246443), (4624, 0.6654858029855035), (11725, 0.6092615332317288), (24021, 0.5923204369592382), (17158, 0.5540627984187613), (20713, 0.5221922754261755)]
dotnet/corefx 30304 : [(17503, 0.8002164625552526), (19242, 0.7383463209540575), (16139, 0.7218916184975923), (24129, 0.7199182606608071), (23536, 0.7199182606608071), (24489, 0.5151218818768032), (24512, 0.5143938516346688), (28465, 0.5074005664881889), (24294, 0.4700556123163101), (16581, 0.4127306482544152)]
dotnet/corefx 30301 : [(28875, 0.8930931465900515), (26560, 0.8922279870888858), (28347, 0.7113971751651448), (27193, 0.6738935489244333), (26467, 0.6331030949669523), (26880, 0.3683003635428588), (23728, 0.3672820463335667), (27623, 0.28175776999030283), (21740, 0.2790243609062861), (27694, 0.27310095777869436)]
dotnet/corefx 30297 : [(21678, 0.8696438090297821), (19421, 0.3402411039233538), (5213, 0.2239794148059858), (5099, 0.20417317246656363), (7029, 0.20248689632298583), (22421, 0.1808005604710146), (4843, 0.16033543972046146), (17784, 0.13677178728375927), (9591, 0.1361819041870513), (3666, 0.13535698676054145)]
dotnet/corefx 30291 : [(25417, 0.7033401391488872), (6297, 0.32741735399622235), (10728, 0.3151488546497663), (29099, 0.277957644614012), (11148, 0.2463463614149398), (27478, 0.21394838742468494), (12842, 0.1050852349936164), (15795, 0.0900908901928723), (3770, 0.08423268121776391), (26151, 0.07578563363249442)]
dotnet/corefx 30289 : [(14569, 0.9482563871931913), (13763, 0.6276150138447899), (28163, 0.6033749440787445), (21830, 0.5823774209006842), (13737, 0.5478555035333017), (12631, 0.5393002418073138), (26717, 0.5259730124083897), (20371, 0.5139186140598826), (22033, 0.46899052363657295), (17818, 0.45239454034730464)]
dotnet/corefx 30278 : [(20771, 0.9999994139455436), (15896, 0.9999994139455436), (14921, 0.9999991225917769), (20908, 0.9999981747954549), (20663, 0.9999981747954549), (20354, 0.9999981747954549), (19879, 0.9999981747954549), (18137, 0.9999981747954549), (18126, 0.9999981747954549), (17007, 0.9999981747954549)]
dotnet/corefx 30271 : [(9529, 0.9457348511947479), (29835, 0.9409218673962524), (4948, 0.9399695345951408), (14134, 0.9374653283963474), (13786, 0.936858835519568), (23252, 0.9336128898034723), (23076, 0.9263305331661948), (12621, 0.9225457375132307), (13740, 0.8967779800369066), (13734, 0.8948965798002553)]
dotnet/corefx 30244 : [(29630, 0.9210637370097905), (23577, 0.909569719251971), (24656, 0.7800526716180185), (23182, 0.6501209724657357), (21340, 0.5148867384413565), (23693, 0.5), (25922, 0.45313197214534795), (21864, 0.45239675659118966), (22298, 0.3693447945856431), (29424, 0.26272151097793467)]
dotnet/corefx 30237 : [(23577, 0.758315820605741), (21340, 0.7139318082904156), (29630, 0.7030213227126723), (24656, 0.5163599214359467), (22298, 0.43117389671978334), (23089, 0.2291384324499794), (23182, 0.18830063202967068), (29424, 0.13851242496856497), (23093, 0.12112289810606046), (22157, 0.10277746494554865)]
dotnet/corefx 30212 : [(6992, 0.4411114127533921), (12159, 0.34612824923013963), (28226, 0.29618195252222895), (27428, 0.2814628657468235), (6607, 0.2610004653540916), (28213, 0.19067284144910504), (7826, 0.17781261367986095), (29501, 0.16832475171796174), (2470, 0.16283779113744118), (7095, 0.14989837817699994)]
dotnet/corefx 30155 : [(5686, 0.757296114945191), (5692, 0.7495391472811359), (2806, 0.6986969011817868), (2637, 0.5842140506845019), (3947, 0.5757637207362035), (19945, 0.5748238010074843), (29438, 0.5381512559795313), (5779, 0.519629800589299), (9510, 0.4789817713720539), (26152, 0.38800635436359476)]
dotnet/corefx 30137 : [(19862, 0.8502095021229938), (17850, 0.8232681213276067), (27766, 0.7085747016884655), (23966, 0.666609957217073), (24491, 0.6070099148243475), (23949, 0.4233721135634357), (30260, 0.41965183165530323), (30250, 0.41965183165530323), (30239, 0.41965183165530323), (28268, 0.3929068965360938)]
dotnet/corefx 30134 : [(9179, 0.6028334021905518), (4633, 0.5943490828640795), (20947, 0.450058220382382), (17835, 0.44287462359106605), (7285, 0.24904802258815342), (4967, 0.2212343701210427), (12916, 0.19208538796179708), (8163, 0.189616330011416), (30080, 0.18803661921769704), (22895, 0.1868313988930391)]
dotnet/corefx 30112 : [(28740, 0.945653761207591), (27538, 0.9148767276521741), (12938, 0.857197459239504), (25556, 0.7480968102952844), (13016, 0.7280421383193695), (28578, 0.7179043665544593), (18007, 0.71336978950702), (23576, 0.6588190548423809), (17599, 0.605086432150608), (19584, 0.6050215943633024)]
dotnet/corefx 30104 : [(27865, 0.6702449313579951), (26005, 0.5393458083570951), (20947, 0.524237728699101), (21043, 0.46511050555964883), (7285, 0.43769985710422893), (24706, 0.3875188630069556), (7260, 0.2971169217545107), (7271, 0.2855153169543096), (20265, 0.24404848334575327), (18915, 0.220125196397369)]
dotnet/corefx 30092 : [(7866, 0.932196773109055), (12314, 0.9240514740126008), (5626, 0.9029530815780977), (5659, 0.8806976170505325), (8630, 0.8342930918056506), (7987, 0.8312672821121609), (17206, 0.8253792332164857), (21331, 0.8138916069250497), (11760, 0.7814427069631931), (14389, 0.781227386775558)]
