emberjs/ember.js 16825 : [(14538, 0.626477708176384), (15727, 0.5206434051090695), (1661, 0.4721693590664878), (5516, 0.47166322760850365), (10226, 0.46531355201683555), (11060, 0.4448929737448599), (5368, 0.4192722118714774), (13334, 0.4026510862078497), (10389, 0.4026510862078497), (4492, 0.37708469656083393)]
emberjs/ember.js 16806 : [(13710, 0.41969699475865846), (16443, 0.25880170531073965), (2174, 0.18899131948685022), (3964, 0.14501707292116897), (10198, 0.14265891970998462), (4360, 0.1202625062737992), (16777, 0.115964389910095), (16770, 0.115964389910095), (16626, 0.1134928942271844), (16757, 0.11329446055833618)]
emberjs/ember.js 16805 : [(13710, 0.41969699475865846), (16443, 0.2567088723582061), (2174, 0.18753806702962633), (3964, 0.1439827724482275), (10198, 0.14166077998637505), (4360, 0.11947595397638644), (16777, 0.11533513331724447), (16770, 0.11533513331724447), (16626, 0.1127560629454592), (16757, 0.11255947329557628)]
emberjs/ember.js 16801 : [(12432, 0.7060080578085579), (14768, 0.6848665760352298), (11440, 0.5252115958159663), (15442, 0.33351589565190976), (12339, 0.3025983842071889), (12157, 0.13570543068300514), (12337, 0.12157577082049635), (3347, 0.07332255494128262), (11875, 0.06713989708265182), (4438, 0.06146032486021783)]
emberjs/ember.js 16798 : [(16196, 0.43565827325473233), (11102, 0.2519608953516623), (15252, 0.1483322023041281), (2901, 0.1393128901681088), (14027, 0.11874594361180046), (3578, 0.11772227386889762), (4053, 0.11598293138964756), (2080, 0.11022937551917475), (2609, 0.10765974125157406), (12864, 0.10337748580742019)]
emberjs/ember.js 16795 : [(771, 0.9472256342008973), (13728, 0.9379461515885996), (5011, 0.8843861201913453), (11510, 0.8065375334470347), (16777, 0.6528776703681896), (13710, 0.6461797270955459), (16443, 0.5866427944855965), (9781, 0.49326509729018925), (3590, 0.45294398064053304), (14442, 0.44814225240011946)]
emberjs/ember.js 16777 : [(5011, 0.9524589688615016), (13728, 0.9447351524676375), (16184, 0.8760685854840229), (15594, 0.8134670203021668), (771, 0.7947801617444002), (16145, 0.7443273336050822), (13893, 0.6631180672311688), (16795, 0.6528776703681896), (13710, 0.631821969586946), (14403, 0.5252494745043838)]
emberjs/ember.js 16770 : [(13728, 0.9196743264065974), (16184, 0.8890474460839793), (5011, 0.8068347790657789), (16145, 0.7475465490554294), (13893, 0.6631180672311688), (13710, 0.631821969586946), (14403, 0.555163400539371), (15984, 0.5142184484732408), (14624, 0.5), (14383, 0.5)]
emberjs/ember.js 16768 : [(10285, 0.7999375902210196), (10518, 0.6571790758727633), (13893, 0.6386289640012178), (13710, 0.6022741013392482), (12517, 0.5095356391969725), (11116, 0.5067925596911326), (10193, 0.5), (14624, 0.4902703763272519), (12691, 0.4881273735619914), (10126, 0.4852531516514418)]
emberjs/ember.js 16741 : [(11470, 0.43137150370486393), (16791, 0.39752006559518277), (5421, 0.29981652358447375), (11462, 0.23795790050078228), (16668, 0.2092699210199936), (5523, 0.18925742073754268), (5418, 0.1367546477611103), (16264, 0.13458298694412588), (9952, 0.10485904054377865), (14138, 0.10211732193990339)]
