facebook/react 13233 : [(12325, 0.8839363797082944), (12383, 0.7110746708433241), (12425, 0.658577531068757), (537, 0.5), (7491, 0.4314346730335601), (11482, 0.43063747389191565), (13043, 0.3745705585872507), (12399, 0.10866817219358951), (3908, 0.09551534293253157), (4280, 0.09530222248014293)]
facebook/react 13232 : [(13174, 0.9105216253696757), (12909, 0.7324463755088747), (12672, 0.4725478470355433), (1724, 0.23057651538996918), (12289, 0.1788150170015307), (12725, 0.1410836486763879), (12151, 0.13480385967931713), (10138, 0.12375225757615603), (13058, 0.12268660793533041), (13080, 0.10116477986404884)]
facebook/react 13231 : [(12944, 0.962593159047443), (12289, 0.8957315423174254), (13164, 0.6573071293984488), (12151, 0.410063465503489), (13017, 0.3706228810220171), (2076, 0.3059556151711649), (12725, 0.2853343875793172), (1994, 0.26682560470119865), (338, 0.26546877947503694), (12392, 0.26210377371556653)]
facebook/react 13230 : [(8632, 0.5640049825307771), (13197, 0.5568557547134335), (9725, 0.5254358446052073), (8770, 0.5), (668, 0.5), (10860, 0.489314799163454), (5699, 0.47883514017524514), (5653, 0.45828298361907527), (11204, 0.45458851701803316), (7822, 0.4535338756444823)]
facebook/react 13216 : [(12325, 0.44261938280533425), (12942, 0.1998257172844317), (12526, 0.11507191186308194), (12399, 0.10653318686635284), (8694, 0.10531130365117419), (3552, 0.10251229072629903), (8216, 0.09627161348378505), (72, 0.09028546129273708), (8602, 0.07537339168949789), (13233, 0.07521772413003786)]
facebook/react 13211 : [(12863, 0.5981924316040029), (13092, 0.5700288391142897), (3896, 0.2645487172492814), (12508, 0.235220331372256), (11840, 0.22988398426352458), (12900, 0.16424117202866037), (13024, 0.1630373288290844), (12895, 0.14624398485766774), (12766, 0.13643968388571717), (7477, 0.11588379640943351)]
facebook/react 13210 : [(13225, 0.9707093121522613), (11332, 0.9130832091286131), (11837, 0.8715318021621846), (11525, 0.8701221363287835), (12207, 0.8103057653662283), (4206, 0.2603436568443713), (11714, 0.21428880517489346), (6005, 0.1929870780294312), (4944, 0.18959017979287124), (10237, 0.18587378345647088)]
facebook/react 13199 : [(7653, 0.7099339744348355), (11445, 0.6807223411243086), (7491, 0.6252964144524508), (12412, 0.6069278759002422), (7455, 0.587688868466598), (12618, 0.5135644686274098), (9714, 0.5), (7537, 0.4931613848142465), (6349, 0.48823004111634505), (13158, 0.48360312556594964)]
facebook/react 13178 : [(10351, 0.5945456946688839), (11504, 0.592498080400643), (870, 0.43425530510387844), (12037, 0.4223678040745031), (7558, 0.42003774749530987), (10426, 0.27182800893051673), (7180, 0.23366824546687337), (9262, 0.21164279536930328), (9044, 0.17511753965773333), (11517, 0.13515506931458465)]
facebook/react 13173 : [(10475, 0.4487485732409004), (12311, 0.41191105820632495), (8930, 0.23775129387509872), (11341, 0.2090265115846322), (11463, 0.1913962197743022), (6775, 0.17596415163460938), (6432, 0.1717274213183343), (7715, 0.17036897192934122), (4162, 0.16538664430600417), (12900, 0.14409170184924264)]
facebook/react 13169 : [(12760, 0.9928117264759245), (12347, 0.8316855214937694), (13012, 0.7923605704662895), (11395, 0.40995366660966753), (12084, 0.238152468224015), (3802, 0.22228340006244673), (12060, 0.17343904454590262), (11216, 0.17245787845073218), (12404, 0.1660624905621513), (12186, 0.1660076672962119)]
facebook/react 13139 : [(9314, 0.18653983965303683), (11364, 0.1388183297887175), (12892, 0.10284255829833013), (12151, 0.08971560876394134), (2853, 0.08064293995004794), (11603, 0.07989119010523367), (7631, 0.07652663584370926), (8590, 0.07457470045800367), (5125, 0.07385919795530345), (12057, 0.07369937185708986)]
facebook/react 13131 : [(12083, 0.5281019386827845), (11823, 0.45160039376827416), (12123, 0.38264814780896395), (12117, 0.3618664431617518), (12483, 0.358909672059734), (11523, 0.3460549335651308), (12204, 0.2702035575458421), (13198, 0.230762814765252), (9459, 0.23013549943644568), (7857, 0.22959091463396833)]
facebook/react 13125 : [(12863, 0.49288874316341996), (11249, 0.26759217429341947), (1132, 0.19009778425408086), (3161, 0.1358224720149561), (12405, 0.12537646684187756), (12189, 0.11415072472448033), (12801, 0.09853769705510962), (12265, 0.09456647024114417), (3505, 0.09318745639598049), (2462, 0.09318745639598049)]
facebook/react 13121 : [(12808, 0.5387319883677536), (9748, 0.37235127125978185), (9732, 0.3449780685294184), (9737, 0.32017284136725477), (7344, 0.23264191642134113), (9738, 0.22976167120309213), (9733, 0.21770070677462824), (9736, 0.2151705896940012), (12170, 0.20560498530967478), (13109, 0.20518108997323126)]
facebook/react 13120 : [(13172, 0.5519860844615899), (10644, 0.09389762644018082), (2405, 0.08163121158840334), (7416, 0.08109647391212879), (2745, 0.07172241685190611), (12539, 0.06812380100374411), (2350, 0.06740272618686896), (5004, 0.06351732616908658), (2465, 0.060737172003846394), (8214, 0.058938921834031544)]
