hashicorp/terraform 18448 : [(17195, 0.5133278037844382), (18400, 0.3689385117214059), (17781, 0.3585740214841187), (16280, 0.255873120691961), (8720, 0.10502033263462004), (17196, 0.08623405675484941), (17403, 0.08151250023017413), (1575, 0.07331663549719288), (16903, 0.0732943504128658), (11940, 0.07061420745639008)]
hashicorp/terraform 18446 : [(12173, 0.8702851959851683), (7127, 0.81769970984796), (1185, 0.6917513311482322), (8647, 0.6814543481023925), (16543, 0.5807939367805237), (16558, 0.522382509482766), (3164, 0.4889840083765873), (17531, 0.33036187353311375), (1629, 0.30206385130692714), (7459, 0.27632841695128996)]
hashicorp/terraform 18431 : [(17465, 0.938487333704354), (17036, 0.7481812398289517), (10055, 0.5693046570431765), (18206, 0.371822075499163), (13262, 0.3579115015002133), (8586, 0.34235098804714054), (13583, 0.34189663536199283), (942, 0.3357616998141554), (941, 0.3357616998141554), (12710, 0.31118170765771525)]
hashicorp/terraform 18421 : [(16933, 0.9232222466193474), (2615, 0.9154701351292726), (11853, 0.885794500351436), (2425, 0.883810474495086), (17744, 0.8756790219488526), (3846, 0.8683556696644805), (13432, 0.8396067137814086), (18357, 0.8318609067140277), (4323, 0.8236456026818486), (2683, 0.7918110323675709)]
hashicorp/terraform 18388 : [(17667, 0.9756551490930626), (17811, 0.9703381069473893), (17463, 0.9653388838856396), (16957, 0.5692125451676318), (990, 0.4418195581507175), (14139, 0.23412409401485682), (993, 0.22617911189685966), (986, 0.14340709589066244), (1104, 0.12265468393208497), (7127, 0.11623749493949245)]
hashicorp/terraform 18378 : [(17465, 0.8777733514825583), (10055, 0.48663157760931874), (16946, 0.42884786262226376), (13583, 0.38005745872913477), (942, 0.3651110339838539), (941, 0.3651110339838539), (16915, 0.34775677316341574), (17245, 0.3413208601633875), (17036, 0.3235620429452589), (17853, 0.3178303129444048)]
hashicorp/terraform 18377 : [(16549, 0.9972868895383337), (16522, 0.992879200131299), (18034, 0.9885768087328942), (9906, 0.8712571419715873), (11223, 0.8677140865366817), (8568, 0.8677140865366817), (4622, 0.8677140865366817), (8274, 0.7650063173267575), (16339, 0.726300473118454), (292, 0.7171032579025074)]
hashicorp/terraform 18357 : [(18421, 0.8318609067140277), (18017, 0.7346793623774605), (2425, 0.5198646267273874), (16933, 0.4529483385189932), (13432, 0.4429498078125369), (3846, 0.4092136232185107), (2615, 0.1878673343112808), (17744, 0.1811349862708844), (2408, 0.17372486804521908), (7903, 0.1691125333856732)]
hashicorp/terraform 18355 : [(292, 0.3695753712031562), (10743, 0.3474176742812227), (17853, 0.30396419499374416), (18187, 0.2950153905778249), (6869, 0.28460543239799285), (9663, 0.2740761140512787), (592, 0.2740761140512787), (4459, 0.2697922321604963), (18377, 0.2697368694565606), (16549, 0.26824635853930695)]
hashicorp/terraform 18347 : [(4688, 0.46706423810547737), (2458, 0.10276690491520406), (18253, 0.09636022821628029), (8859, 0.0959053273225421), (5860, 0.09545952314671018), (1046, 0.08974620974324436), (4247, 0.0858288754919275), (15421, 0.07680172299083687), (7794, 0.0753728249823644), (13217, 0.07505077983106315)]
hashicorp/terraform 18331 : [(17237, 0.9292516075471396), (5953, 0.8378670760956441), (5860, 0.8344440671408506), (832, 0.6900892149558662), (13962, 0.6408760614292233), (2022, 0.6311190420756156), (8200, 0.5963486290151752), (7266, 0.5624461493839814), (15652, 0.5260244343511659), (3783, 0.5069969237460247)]
hashicorp/terraform 18305 : [(18055, 0.5), (17685, 0.38239849945918575), (17686, 0.19226045002688646), (2819, 0.16516305258766317), (1690, 0.15401696702193346), (16965, 0.14423242590325885), (14386, 0.13449508855345066), (18247, 0.08709653935717021), (10676, 0.08177272012713291), (16921, 0.07780868488923297)]
hashicorp/terraform 18277 : [(13772, 0.897485405768165), (15506, 0.5260203670854535), (4247, 0.510536303752215), (11218, 0.41573826098077454), (17327, 0.39666974915555814), (8202, 0.3859669275182736), (17657, 0.3805168862601216), (5757, 0.3759367564735127), (7124, 0.36227501491209624), (5084, 0.3621442502182639)]
hashicorp/terraform 18245 : [(18038, 0.9884287470645569), (17259, 0.4345690200237746), (18062, 0.4310929209360193), (16940, 0.4026510862078497), (17207, 0.36324793467698124), (16339, 0.3615182326846593), (18034, 0.3607470428154322), (16675, 0.35910024415950853), (18035, 0.35513894771201876), (17138, 0.35510619520187836)]
hashicorp/terraform 18243 : [(15873, 0.9598912079000724), (17787, 0.46992356076698494), (17616, 0.46992356076698494), (2122, 0.46992356076698494), (17184, 0.295197900613472), (15748, 0.2503089933023526), (2045, 0.22181100740567697), (7954, 0.19798417331033216), (3606, 0.19798417331033216), (2127, 0.19798417331033216)]
hashicorp/terraform 18233 : [(14515, 0.27351019443003916), (4565, 0.26281211362128903), (7335, 0.19493899882430943), (1623, 0.1731754152494609), (15110, 0.1536550482854928), (1234, 0.14669394985893086), (9560, 0.12336333606887123), (15049, 0.11466522886296233), (546, 0.11456188672319702), (85, 0.10306105052429938)]
hashicorp/terraform 18225 : [(18267, 0.6692100622041532), (13183, 0.6692100622041532), (11354, 0.6692100622041532), (10430, 0.6692100622041532), (156, 0.6692100622041532), (17969, 0.6202130502473387), (16406, 0.5239737201745112), (17956, 0.5), (17852, 0.5), (17123, 0.5)]
hashicorp/terraform 18221 : [(163, 0.7816487102541435), (162, 0.7816487102541435), (6827, 0.7380651212225341), (13150, 0.6356546142922797), (1469, 0.6327940658380516), (17913, 0.38239849945918575), (6216, 0.3761214509263063), (17685, 0.3129216472551674), (18055, 0.3129216472551674), (13164, 0.3055782423434664)]
hashicorp/terraform 18210 : [(15322, 0.8447735377472153), (16647, 0.8236825964760893), (15871, 0.8139142977495832), (16985, 0.809258975347733), (15311, 0.7797217923624162), (14884, 0.701106150024763), (7528, 0.6547431859806407), (9692, 0.6464571333422086), (16192, 0.6005759192668046), (11704, 0.5841137815103213)]
hashicorp/terraform 18206 : [(4698, 0.6236831509400544), (17465, 0.6211437927454281), (884, 0.5613458054188007), (921, 0.44971695929298044), (999, 0.4472897307830367), (8652, 0.44584088934558563), (8648, 0.4449848786139554), (6119, 0.4411447188651609), (11973, 0.4396095753392981), (11526, 0.43569109970225567)]
hashicorp/terraform 18194 : [(17839, 0.36547501612250727), (16975, 0.3379455064270131), (16785, 0.33351589565190976), (4795, 0.22245012642838982), (7557, 0.19118897562577875), (618, 0.15752978975605647), (4209, 0.1400945976845692), (16780, 0.09532325366869854), (4873, 0.0724629444456895), (803, 0.05922838164584996)]
hashicorp/terraform 18187 : [(18287, 0.9410097386001111), (292, 0.7686031990594846), (10743, 0.7421255028276629), (17011, 0.7206934931515561), (4459, 0.6882628248642939), (6869, 0.6514072138996796), (9906, 0.6482335894919784), (9663, 0.6445762146819103), (592, 0.6445762146819103), (16549, 0.6388053175290112)]
hashicorp/terraform 18186 : [(18296, 0.9962877048778438), (5466, 0.8950800689888997), (3861, 0.8413117301256098), (6195, 0.7703184802936552), (14594, 0.621910388806037), (3436, 0.5662493057486959), (6235, 0.547896499497034), (17186, 0.545351225739555), (14123, 0.5362390909713539), (11583, 0.536117241573611)]
hashicorp/terraform 18185 : [(17890, 0.7415650711794916), (17787, 0.5369918332899265), (15314, 0.3530486408723795), (17218, 0.2690530189158159), (10189, 0.09781161056651583), (1529, 0.0918276506256823), (3626, 0.07675294526641144), (10765, 0.07422168145525926), (10140, 0.07299759004674526), (12970, 0.07044681457944947)]
hashicorp/terraform 18174 : [(17020, 0.9075167655787901), (16091, 0.7567525314220546), (18093, 0.6443780427324858), (17355, 0.47031880112480234), (17827, 0.34388874107758927), (12033, 0.3173370017263945), (2487, 0.2634606661190587), (2570, 0.2515826707185121), (7769, 0.2266020178895872), (2483, 0.19616650113680242)]
hashicorp/terraform 18134 : [(160, 0.0852706751731381), (18394, 0.08321326899606915), (15273, 0.08032605801942834), (15478, 0.07770047773517962), (15890, 0.0750665340927579), (18400, 0.07274384474465422), (71, 0.06981052032249074), (9846, 0.06222598316482379), (8864, 0.06048471494546617), (10219, 0.057155683366916135)]
hashicorp/terraform 18125 : [(12981, 0.9086968016230188), (1757, 0.7809091809095754), (15957, 0.7344178260322197), (4247, 0.7323776294741261), (1771, 0.6466001498863156), (6818, 0.4900728179424807), (31, 0.46702428278381736), (8233, 0.4515942256860323), (991, 0.4164828399012807), (16356, 0.38670832848387604)]
hashicorp/terraform 18106 : [(14233, 0.912437494103387), (1495, 0.8365628978197236), (7145, 0.8305976733591841), (2198, 0.8209735745516867), (7832, 0.8179127854971193), (16985, 0.7963018041255411), (7111, 0.78768271313967), (12870, 0.7628699856597176), (12597, 0.7396668683315938), (6019, 0.7383955567642713)]
