hashicorp/terraform 18448 : [(17195, 0.607476131826164), (18400, 0.4531222649762615), (17781, 0.4427508902943589), (16280, 0.22088526576135442), (8720, 0.17708127316391403), (1575, 0.10565115588117818), (16207, 0.10446955881420879), (1338, 0.10432346818636849), (11940, 0.10350990425886666), (17196, 0.10212509968157353)]
hashicorp/terraform 18446 : [(12173, 0.9339316518347283), (7127, 0.9041360774799803), (3164, 0.8242551109936441), (1185, 0.8148317493758326), (8647, 0.8017947722895549), (16558, 0.5459205499185085), (1629, 0.5314694688566842), (16543, 0.5), (7941, 0.4797987462817575), (17531, 0.3455548775070178)]
hashicorp/terraform 18431 : [(17465, 0.9451588958014453), (10055, 0.7488396616174297), (13262, 0.6102095999312732), (8586, 0.590261269237052), (12710, 0.5451473239188519), (13583, 0.5200683572628929), (942, 0.5081534031670272), (941, 0.5081534031670272), (15793, 0.5), (11787, 0.49265289866427503)]
hashicorp/terraform 18421 : [(2425, 0.9483801019039377), (16933, 0.9439139222799702), (3846, 0.9345059103354024), (17744, 0.8217340589853859), (4323, 0.8146479020309662), (2683, 0.8004770487870851), (18357, 0.7770269129741977), (13432, 0.77271517194732), (2615, 0.7545653462997343), (11853, 0.6741648941422649)]
hashicorp/terraform 18388 : [(17667, 0.9694699603385006), (17811, 0.9641020266064159), (17463, 0.9580206783727396), (990, 0.4323831119841288), (16957, 0.246190168222759), (14139, 0.23781680924579496), (993, 0.20719187362082872), (2413, 0.14180931374660025), (986, 0.1094866739943524), (13542, 0.10931481302350837)]
hashicorp/terraform 18378 : [(17465, 0.9004804549284893), (16946, 0.6850170390004559), (10055, 0.6709161588344731), (16915, 0.660473586706825), (17245, 0.5815300047516866), (13583, 0.5812641557973806), (17853, 0.5642529196174747), (16545, 0.5591996985868384), (942, 0.558979479261205), (941, 0.558979479261205)]
hashicorp/terraform 18377 : [(16549, 0.9999895599891876), (16522, 0.9950508859864126), (18034, 0.9896590603828309), (9906, 0.967682495070026), (11223, 0.9665271429736796), (8568, 0.9665271429736796), (4622, 0.9665271429736796), (8274, 0.9268710337286173), (292, 0.9009008460426376), (10743, 0.8841736464673217)]
hashicorp/terraform 18357 : [(18421, 0.7770269129741977), (18017, 0.6472959180271037), (2425, 0.5674471910956856), (16933, 0.4751136901152833), (13432, 0.418549618433117), (3846, 0.4078607267081789), (7903, 0.24767126260924976), (2408, 0.22843817320365098), (17744, 0.20769365296571765), (2684, 0.20753445930149564)]
hashicorp/terraform 18355 : [(292, 0.5895828943888536), (10743, 0.5570033227393042), (17853, 0.537360090367756), (18187, 0.48588293301273416), (6869, 0.47185331025673527), (9663, 0.4567388576398605), (592, 0.4567388576398605), (4459, 0.4517445970906549), (18377, 0.44372206711419), (16549, 0.44235252742334685)]
hashicorp/terraform 18347 : [(4688, 0.41117702643463616), (5860, 0.14327008058981378), (3164, 0.1397034129990654), (18253, 0.13885573042874505), (8859, 0.1360691881320639), (2458, 0.1318681989671575), (1046, 0.12890119152046212), (4247, 0.12634384934791834), (11686, 0.11804467117819907), (7794, 0.10755363823720653)]
hashicorp/terraform 18331 : [(17237, 0.9576458027699656), (5953, 0.8994978393019072), (5860, 0.8964723437798828), (832, 0.796258275242432), (2022, 0.7701076736416755), (13962, 0.7471881580317168), (7266, 0.7407031003538994), (8200, 0.725497086491535), (5527, 0.6963259556142211), (5004, 0.6382530104126942)]
hashicorp/terraform 18305 : [(18055, 0.484014605410249), (17685, 0.3597816433086623), (2819, 0.3035990324215683), (1690, 0.2786772813342701), (16965, 0.24612914629349658), (9295, 0.24131748718939416), (14386, 0.19136660267855785), (17686, 0.15651686067134543), (10676, 0.12808868233114543), (18247, 0.12143652505011535)]
hashicorp/terraform 18277 : [(13772, 0.911748052618669), (15506, 0.6276381885017401), (4247, 0.6072076700353385), (11218, 0.5163742674694033), (17327, 0.49326100106051174), (8202, 0.4796591839509441), (17657, 0.47925128188466287), (5757, 0.47323801600881843), (5084, 0.45401202142542424), (7124, 0.45136593172460276)]
hashicorp/terraform 18245 : [(18038, 0.9924873397528705), (17259, 0.5140902187472162), (18062, 0.511912407320311), (16940, 0.4824162496128452), (16339, 0.4536385558672638), (17207, 0.4529047796983845), (18034, 0.45282210528716066), (16675, 0.44926183698191147), (17138, 0.446912692927188), (18035, 0.44595191017590224)]
hashicorp/terraform 18243 : [(15873, 0.9684030932027954), (17787, 0.7060625495722798), (17616, 0.7060625495722798), (2122, 0.7060625495722798), (17184, 0.4866989067614461), (15748, 0.4021203736226851), (2045, 0.38250417783801494), (10415, 0.3312594695729183), (7954, 0.3283609413913411), (3606, 0.3283609413913411)]
hashicorp/terraform 18233 : [(14515, 0.4743881837028131), (4565, 0.45918105412655613), (7335, 0.35072216345858764), (1623, 0.31656316997277173), (15110, 0.27571420625379933), (1234, 0.2627263459064374), (9560, 0.2070934835201973), (15049, 0.19239188221719017), (546, 0.18835627824507697), (85, 0.16849061997873654)]
hashicorp/terraform 18225 : [(18267, 0.8755324110043716), (13183, 0.8755324110043716), (11354, 0.8755324110043716), (10430, 0.8755324110043716), (156, 0.8755324110043716), (17969, 0.8419804612908545), (17956, 0.7454927126893116), (17852, 0.7454927126893116), (17123, 0.7454927126893116), (16954, 0.7454927126893116)]
hashicorp/terraform 18221 : [(163, 0.9327453532028874), (162, 0.9327453532028874), (6827, 0.9148561576288456), (1469, 0.8534587425271454), (13150, 0.8526747533861385), (6216, 0.6199544685385089), (13164, 0.5152196162911118), (11559, 0.4855716691874665), (17434, 0.4560987587210118), (7921, 0.45603719765107803)]
hashicorp/terraform 18210 : [(16644, 0.967494665771928), (17456, 0.8716773778751822), (7832, 0.8550896348888505), (3814, 0.8512870774177201), (13351, 0.82814231006401), (13847, 0.8193084893803355), (7528, 0.8186939488084165), (7905, 0.8070404126389468), (16549, 0.7899459334421954), (13419, 0.7649548825283096)]
hashicorp/terraform 18206 : [(17465, 0.650586458174539), (4698, 0.6022438013449616), (884, 0.5349390751089177), (18431, 0.40816874901556177), (921, 0.3891252337085358), (999, 0.38707740222689546), (8652, 0.3850447937240292), (8648, 0.38331779139131117), (6119, 0.3799246324209406), (11973, 0.3767936296467782)]
hashicorp/terraform 18194 : [(17839, 0.4522457605465137), (16975, 0.42515759248334495), (16785, 0.4199348805254845), (4795, 0.4026477628711777), (7557, 0.35810582315538997), (618, 0.27668915973502656), (4209, 0.2540040910315132), (16780, 0.2481904841705382), (4873, 0.10566909169517896), (803, 0.0761325829839644)]
hashicorp/terraform 18187 : [(292, 0.9273130819053443), (10743, 0.9141433480536574), (17011, 0.9047089900634454), (4459, 0.887293687015553), (6869, 0.864735068800058), (9663, 0.8582858501146725), (592, 0.8582858501146725), (9906, 0.856914081797045), (16549, 0.8514061114284531), (5063, 0.8472550997073731)]
hashicorp/terraform 18186 : [(5466, 0.975435564047193), (3861, 0.9576877220588617), (6195, 0.9290452994118583), (14594, 0.8421297782879756), (3436, 0.8038037472063921), (6235, 0.7848500513128635), (14123, 0.7832384485629779), (17186, 0.782743260245839), (11583, 0.7754285983025754), (14384, 0.7608111308695977)]
hashicorp/terraform 18185 : [(17890, 0.830451305874388), (17787, 0.5332293336938811), (10189, 0.40598534326812474), (1529, 0.36696368171714067), (15314, 0.3180283285891601), (10765, 0.2768700313190786), (3626, 0.27268332118259453), (10140, 0.2649224695933841), (11609, 0.25503577372415515), (11608, 0.25503577372415515)]
hashicorp/terraform 18174 : [(17020, 0.9262691891348915), (17355, 0.5), (16091, 0.45750737838975797), (18093, 0.3914332225960139), (2570, 0.2491103744935451), (7769, 0.22525410823949735), (2483, 0.19913230216276517), (1878, 0.17021734542979247), (2624, 0.16161898742981098), (15271, 0.14232377466230484)]
hashicorp/terraform 18134 : [(18394, 0.13661889010316505), (160, 0.1354900658952913), (17359, 0.13374845406754016), (15273, 0.12335143195750192), (15478, 0.12006701171399674), (18400, 0.11160940126923555), (71, 0.10567267208219631), (15890, 0.09185259332509875), (9846, 0.09150981020256568), (8864, 0.08639649860755066)]
