kubernetes/kubernetes 63896 : [(41988, 0.7095653624014245), (24918, 0.36364148642917965), (45949, 0.36071650170815134), (46053, 0.34105456022485076), (48598, 0.3003701099830895), (55490, 0.22648824386449107), (52879, 0.21879870096800674), (60900, 0.19470490372795027), (12396, 0.1942908828008339), (50277, 0.19148177075800113)]
kubernetes/kubernetes 63895 : [(59281, 0.4665217120173535), (11202, 0.2875907209292525), (62422, 0.28670472983748735), (60332, 0.2818688613963139), (62243, 0.2699308129400993), (44952, 0.25107460841092666), (14493, 0.23332614682952524), (58851, 0.2312114299101277), (46417, 0.2226576806145915), (46268, 0.21409567912369584)]
kubernetes/kubernetes 63894 : [(63785, 0.869060739389893), (33988, 0.8572295126382175), (55851, 0.7885979897413481), (61542, 0.7791495795418133), (40292, 0.6609123735984319), (61262, 0.6128188792104436), (732, 0.6076706217264364), (46045, 0.5), (61818, 0.47734164055977174), (31117, 0.472591648742704)]
kubernetes/kubernetes 63893 : [(56775, 0.949200316838002), (55859, 0.9483889281268864), (61800, 0.9483255325694857), (38320, 0.9482505519564728), (55650, 0.947346803759496), (59844, 0.9437715892583545), (63635, 0.9404020971977868), (54849, 0.9384032442292861), (57142, 0.9376069850409189), (51468, 0.937215525450668)]
kubernetes/kubernetes 63892 : [(54769, 0.652557676222571), (51585, 0.48120976045458336), (47720, 0.4645083462357371), (57259, 0.45679773480535435), (58149, 0.4541428980601374), (55659, 0.4541428980601374), (61212, 0.4541428980601374), (5743, 0.45011535327448077), (43429, 0.4462506922795123), (52240, 0.4337868152918289)]
kubernetes/kubernetes 63891 : [(63495, 0.9621122950790659), (63444, 0.959419982256673), (62453, 0.958777135320017), (63723, 0.9584354003099694), (63737, 0.9571373824385454), (63170, 0.9568427852202425), (63450, 0.956424250219473), (44544, 0.9522161566733454), (63715, 0.9521488185228028), (54382, 0.9519251339087251)]
kubernetes/kubernetes 63890 : [(34914, 0.9835721670774467), (60565, 0.9670393755949062), (55116, 0.9573096614890009), (51595, 0.9410620573517422), (52465, 0.8609964473367359), (46936, 0.7885395190470146), (46762, 0.7543262509607858), (53127, 0.6517738142988626), (46849, 0.5651581547258874), (44903, 0.5460405489241971)]
kubernetes/kubernetes 63889 : [(60836, 0.5797027063147835), (62994, 0.1978751750390459), (42397, 0.15907365486829336), (56598, 0.15522000560176552), (3680, 0.1467389033297954), (8222, 0.14540927232643408), (17669, 0.1307426225147115), (50367, 0.12578703294614446), (7467, 0.11838927397982049), (13281, 0.1160783119015457)]
kubernetes/kubernetes 63887 : [(56072, 0.9467282772997563), (54124, 0.9457498181341207), (60059, 0.9438027905558499), (57661, 0.941315561691943), (62358, 0.9411435767917234), (53833, 0.9319717958516672), (40300, 0.9292562583815683), (56020, 0.925069426650165), (53553, 0.9131679412829604), (60041, 0.9094465764298609)]
kubernetes/kubernetes 63886 : [(54111, 0.9237360785485862), (58773, 0.7672815994375367), (58359, 0.6603813472197159), (56130, 0.5733332853648777), (55047, 0.5522596735681238), (3593, 0.5109697803124856), (58436, 0.4400069328386809), (58490, 0.3706029992100719), (59903, 0.36261337155282747), (60406, 0.3213853116052574)]
