mrdoob/three.js 14475 : [(4242, 0.9940804904134348), (3999, 0.9755734252346236), (4000, 0.9754484484456905), (4070, 0.9687203147414516), (11121, 0.9616685828338478), (5966, 0.9563032005209284), (13255, 0.9414901424778563), (3079, 0.9413512741134002), (3991, 0.9360035819699327), (12614, 0.9311524128760601)]
mrdoob/three.js 14471 : [(14015, 0.9999913242933856), (14163, 0.9865724165325774), (12877, 0.964623400525846), (14267, 0.9586923910949305), (12697, 0.9570107893678452), (12042, 0.9565384047211025), (13536, 0.9529873728666457), (13327, 0.9430520163385773), (12967, 0.9351136232051134), (13650, 0.9083354950921482)]
mrdoob/three.js 14470 : [(13831, 0.8767151566045166), (13596, 0.86838855129194), (13570, 0.8384411686799667), (13055, 0.7885040154767364), (13620, 0.7609336300817158), (13826, 0.726824932476939), (13820, 0.6447468993283569), (12216, 0.566615231167122), (14451, 0.5147999366075968), (13056, 0.5)]
mrdoob/three.js 14466 : [(4580, 0.993324555839921), (13023, 0.9702042796384812), (13121, 0.9594221725407847), (8797, 0.8291895358505629), (5595, 0.7046675746052893), (5594, 0.6843041641066674), (4188, 0.6639003390585583), (3737, 0.6555201313243095), (14349, 0.6361155628568723), (2920, 0.5548288627532943)]
mrdoob/three.js 14447 : [(4527, 0.8369394218345702), (9420, 0.5469581724266416), (13391, 0.5261919128175325), (13277, 0.5200225118004196), (7131, 0.4422643923085049), (13190, 0.4388255517475961), (10022, 0.4238809507307564), (4862, 0.4120628479512314), (9745, 0.41166330298663084), (9389, 0.4093623242609979)]
mrdoob/three.js 14444 : [(13023, 0.824443515142526), (8797, 0.8085056873641799), (5207, 0.7069224550558434), (8129, 0.624715675155094), (13121, 0.6236086967769352), (8178, 0.6095766962569766), (12685, 0.5994664758871974), (9163, 0.5816677350130615), (9158, 0.5791498437280446), (8603, 0.5679874668668273)]
mrdoob/three.js 14443 : [(8953, 0.9538655111301508), (8978, 0.8985090981137445), (6911, 0.8976132339219227), (2597, 0.7975225411932108), (3518, 0.6674910115231092), (9082, 0.6310562206516355), (10807, 0.6192811740982979), (5966, 0.6073360738134622), (12219, 0.5545190806173811), (7679, 0.5380330766010996)]
mrdoob/three.js 14442 : [(6342, 0.7235559576740168), (9164, 0.7231693169662382), (14231, 0.679857161040617), (2168, 0.6203918754161385), (6220, 0.5750992177009058), (10841, 0.5488738294152894), (6346, 0.5184398390163499), (5630, 0.5091586258554301), (7025, 0.5), (12301, 0.49134002070908517)]
mrdoob/three.js 14436 : [(12317, 0.9854544426008642), (12446, 0.95622746020494), (12004, 0.9550592105192107), (12308, 0.9423438512788299), (12943, 0.9323995826192117), (12479, 0.9050327192380808), (10317, 0.9017176177118689), (12694, 0.8999464524480002), (11771, 0.8948106187707653), (11339, 0.8839664440532311)]
mrdoob/three.js 14427 : [(14330, 0.06198270937372723), (14237, 0.0598328446542599), (14149, 0.05603803954531871), (3174, 0.05052544157030912), (13826, 0.04464474443488957), (13637, 0.04430278606348169), (11524, 0.044076958013572566), (9994, 0.04244117597782294), (4177, 0.04165013230834607), (6503, 0.03995179411441389)]
mrdoob/three.js 14418 : [(13636, 0.9625839920447491), (13787, 0.9383871416342222), (13842, 0.9205681847479291), (13803, 0.9056888199406656), (13771, 0.8908555577006695), (13843, 0.883786578191527), (13878, 0.867764665933345), (13919, 0.8033083986029792), (13774, 0.7940028166639646), (13772, 0.7880559310571459)]
mrdoob/three.js 14413 : [(12629, 0.7747352502013228), (11925, 0.6894404715039048), (14243, 0.6597780881864408), (11376, 0.4736717609983694), (11083, 0.4509831605668037), (10679, 0.37986434501725314), (8047, 0.304343081107684), (12112, 0.2928117079067041), (12401, 0.2738874718853439), (9655, 0.26531029950946533)]
mrdoob/three.js 14408 : [(10487, 0.9912572941759423), (12887, 0.9445535091906708), (10465, 0.7977669442473426), (14024, 0.7150795509994552), (12472, 0.7064145075552463), (10851, 0.6606188226111191), (14030, 0.639692843997481), (12500, 0.5626539821018872), (13905, 0.5576175776901096), (13495, 0.5)]
mrdoob/three.js 14403 : [(13801, 0.6739169605075037), (425, 0.1891165208922566), (4167, 0.09665042130114442), (5929, 0.08657496363943151), (10621, 0.07953174879869358), (3484, 0.07635744974211156), (6176, 0.07518783900540085), (6509, 0.07297403530650838), (5335, 0.07263933980555526), (7897, 0.07055819025317567)]
