pydata/pandas 21973 : [(21787, 0.8204750351417304), (21788, 0.8073130785572565), (21967, 0.7804110670410503), (21442, 0.646029770900193), (21772, 0.6135017022338696), (21957, 0.5093372424108339), (21893, 0.4602039647056005), (21683, 0.40266345027489325), (18732, 0.1956491399065796), (21387, 0.1715486899066854)]
pydata/pandas 21962 : [(5721, 0.36019095260281914), (4840, 0.3152798719500794), (5624, 0.24137209535819854), (13052, 0.19626598756287655), (2135, 0.18281510049136118), (13801, 0.16194944439480677), (9189, 0.16158152965326608), (6021, 0.14764054712603214), (4167, 0.1448089684259268), (18648, 0.14258448952906458)]
pydata/pandas 21960 : [(18163, 0.17253076457321728), (1098, 0.16169927573011908), (17507, 0.15813767311212149), (19628, 0.15194618105573535), (7934, 0.13303718446058296), (18461, 0.12884305752786596), (15934, 0.09258522196153217), (6530, 0.09134476963773558), (7130, 0.08556950531069034), (14645, 0.08285270274586462)]
pydata/pandas 21957 : [(18167, 0.877308941262084), (21966, 0.5130083957518978), (21973, 0.5093372424108339), (21893, 0.481515768111787), (11709, 0.3346523274496356), (21788, 0.2928330030905513), (11025, 0.20605326105488694), (21887, 0.19067588047170508), (13270, 0.16431686263908354), (10874, 0.15740295614846214)]
pydata/pandas 21954 : [(21930, 0.7961690976919996), (17865, 0.7922064751344344), (21614, 0.5492210601301006), (16575, 0.49385254325844263), (17201, 0.47271156965885813), (16523, 0.46205070093526657), (21332, 0.4381911702707065), (18459, 0.3798647901453451), (17820, 0.3676426550350491), (13360, 0.3413056227696251)]
pydata/pandas 21947 : [(15509, 0.9924434079600299), (10913, 0.763080451381831), (15004, 0.7384944669883916), (20165, 0.72448062535481), (12442, 0.6998875626268252), (12395, 0.6687699140008305), (7417, 0.6625677594474958), (19836, 0.6573234308268264), (17665, 0.6386826463814387), (21579, 0.596019577744615)]
pydata/pandas 21943 : [(15062, 0.7929290135180851), (20081, 0.6046229396967563), (18203, 0.4593147102371541), (16651, 0.3908777152772312), (17950, 0.30649904421553226), (18097, 0.3038232071769595), (21573, 0.29742812727638634), (20959, 0.294743691524387), (19766, 0.2931480454555113), (20098, 0.2896706991441263)]
pydata/pandas 21941 : [(15573, 0.8835766401659181), (3760, 0.883554025507283), (9826, 0.7143441337077806), (14868, 0.6695294631411173), (18788, 0.6467333813655466), (14667, 0.6445730640452931), (20858, 0.6411712912197544), (20227, 0.6386907614781846), (21735, 0.6318717603286115), (16487, 0.630848572529648)]
pydata/pandas 21933 : [(21851, 0.7451368617809667), (17827, 0.6795396655223273), (21394, 0.6737251716293814), (21680, 0.6471490636735977), (21874, 0.5751232501374854), (21613, 0.5643330493795512), (21865, 0.5546433148861727), (21314, 0.550591500354981), (20046, 0.5446923808238244), (17900, 0.5)]
pydata/pandas 21930 : [(21614, 0.9999925114430164), (18800, 0.9927359414231742), (21613, 0.9522769947898181), (18572, 0.9414754023230768), (18477, 0.935112885175915), (18458, 0.9111275895135216), (11135, 0.855406725509429), (18347, 0.8029092810277269), (21954, 0.7961690976919996), (19216, 0.6230958388224468)]
pydata/pandas 21928 : [(6167, 0.18178306972574124), (18106, 0.1268470391471005), (18081, 0.1268470391471005), (17873, 0.08655993896488867), (18033, 0.08038242350019967), (20028, 0.07920766822954468), (15567, 0.06795205128355851), (21674, 0.0665537055566036), (19561, 0.06611549528629206), (13986, 0.06562332703792462)]
pydata/pandas 21926 : [(21261, 0.388953457050157), (21503, 0.2964664048640179), (20465, 0.19596652738199713), (20793, 0.17473892890131112), (20223, 0.14958286079772895), (20322, 0.14782117111492785), (20321, 0.14782117111492785), (1226, 0.13394334055971152), (20707, 0.11419087878276844), (21935, 0.11308439553082915)]
pydata/pandas 21924 : [(13766, 0.6387820729382352), (13533, 0.5748135911042399), (20137, 0.5399486209388443), (4461, 0.4102456535207902), (6767, 0.3497053948017504), (14494, 0.330343179479009), (20526, 0.2731828720511738), (11980, 0.2606935320089223), (15029, 0.2521591594218183), (10628, 0.2514609063505781)]
pydata/pandas 21922 : [(20799, 0.7249339960699251), (20840, 0.5665113419914338), (21512, 0.5), (19119, 0.4801051772406714), (21185, 0.46359610483096514), (21191, 0.4595221295386045), (11705, 0.22469976743403913), (6391, 0.17614281224902617), (20790, 0.14785302675221737), (18665, 0.14628869885799461)]
