servo/servo 21210 : [(19820, 0.9877931393298734), (19855, 0.8908464225946405), (19875, 0.6361406478354079), (19204, 0.6025689502654121), (7438, 0.5719508397704169), (19323, 0.44912441737998465), (19207, 0.4190381412738289), (13091, 0.41194963267384893), (9693, 0.39551402027643745), (19523, 0.3737913205733369)]
servo/servo 21199 : [(16995, 0.7912816318012863), (7811, 0.7667906074069863), (9857, 0.7311419279629491), (7810, 0.7300866397101688), (19573, 0.6348366172752022), (14253, 0.5825684549782033), (9339, 0.5790312658822669), (19612, 0.5632606594138884), (14482, 0.5380165449328543), (14889, 0.48452289997221765)]
servo/servo 21158 : [(20277, 0.7203396374567196), (6292, 0.6990581257875962), (15865, 0.46933925053665826), (12722, 0.46892847785094544), (9659, 0.45589593375347237), (11337, 0.4554181937001216), (15796, 0.4451611324658328), (9838, 0.422015449891231), (6038, 0.41537384063033755), (4370, 0.38330771683240367)]
servo/servo 21111 : [(19274, 0.8226094493111216), (17808, 0.7841995210635226), (11434, 0.7538109542484583), (12684, 0.6433432200447671), (12296, 0.6401451634338031), (21084, 0.572722763454358), (4967, 0.5548242887781606), (3714, 0.5534997660396633), (20075, 0.5503284796565215), (12277, 0.5479061853505668)]
servo/servo 21104 : [(12870, 0.9619149189614389), (5122, 0.9477390831742498), (5678, 0.917077024149429), (10442, 0.8857647317635751), (16687, 0.8507797434922173), (16639, 0.8412956582407869), (15875, 0.827942412371485), (17575, 0.82628402899585), (12900, 0.798970314428141), (3894, 0.7229842979969638)]
servo/servo 21084 : [(17808, 0.7784791691600332), (20177, 0.6190492292720189), (21111, 0.572722763454358), (15666, 0.5518169951173268), (16875, 0.5261168143849672), (12863, 0.5), (11434, 0.5), (16873, 0.47018838620505077), (13345, 0.46869393161704526), (20036, 0.45224510903623477)]
servo/servo 21048 : [(21032, 0.9292465365274983), (20426, 0.7775887980605403), (13580, 0.726781753637306), (17258, 0.7031670780281744), (11893, 0.6041770736277069), (11690, 0.5757003629657457), (15794, 0.5), (20780, 0.49327236102464084), (15026, 0.46789294105815626), (16761, 0.4589458535590772)]
servo/servo 21044 : [(11410, 0.7352788315705249), (9787, 0.6910748094663411), (17808, 0.650445818012931), (9701, 0.5756225357520613), (7191, 0.5364655727174736), (11443, 0.4878518657953391), (7661, 0.44997857199305474), (20181, 0.4449971461565045), (19307, 0.4354723698508512), (19288, 0.41668156099654163)]
servo/servo 21029 : [(6433, 0.9226394682730423), (17935, 0.655807782395507), (20421, 0.6089995868942875), (20895, 0.5909397091028231), (20246, 0.5613369435670448), (13110, 0.5238067149862133), (15026, 0.4867621981837026), (16593, 0.48590568281171975), (4401, 0.480027494288242), (12668, 0.47695694311070425)]
servo/servo 20912 : [(14482, 0.8124345915501336), (15773, 0.7124227048725583), (8288, 0.6541279767950047), (16772, 0.60733778958923), (15609, 0.578719502874471), (11687, 0.574477456037993), (904, 0.5505216653261567), (1445, 0.5422661470075724), (14172, 0.539792010154319), (18680, 0.5302104296624037)]
servo/servo 20885 : [(7248, 0.9216160142672609), (6155, 0.8963111131041149), (6139, 0.8537957894512713), (17927, 0.8327298811403916), (20122, 0.8259131639094041), (17483, 0.7998062426551246), (12971, 0.7987377673873289), (6232, 0.7763784131148019), (17115, 0.7297859282779309), (15996, 0.7126205056212338)]
servo/servo 20757 : [(6889, 0.8842521027835738), (15900, 0.7313131276136441), (8029, 0.721056608407673), (6456, 0.721056608407673), (6894, 0.6597508273786492), (8670, 0.6335999766270234), (11834, 0.6027973207177905), (16863, 0.5819237958374699), (1023, 0.5793048653336194), (4588, 0.5738447363102316)]
servo/servo 20755 : [(5070, 0.9668793616285889), (5723, 0.958428119341827), (9811, 0.9412207745925072), (14387, 0.9014296990293228), (20329, 0.8568785931164387), (10393, 0.7964048309006622), (12296, 0.7715100650353827), (18612, 0.7194106522945646), (10805, 0.714496745722064), (11308, 0.6903425096460994)]
servo/servo 20727 : [(21087, 0.689512400723683), (14816, 0.48758523383846625), (10590, 0.4479762025348447), (429, 0.35413461901043447), (19542, 0.18815823602918189), (12606, 0.18703816404427134), (18332, 0.17189360790947442), (18353, 0.16059111129791231), (18157, 0.15984672148615064), (12347, 0.1596874124368597)]
servo/servo 20678 : [(12536, 0.6040529315949229), (16920, 0.5526493679319026), (11465, 0.5272026821890698), (21045, 0.5094908591874816), (11214, 0.45705695941654806), (12598, 0.44233362170303203), (13056, 0.4386198373808262), (13972, 0.43473711000643434), (12606, 0.4177372340344039), (15831, 0.4171000529573327)]
servo/servo 20628 : [(21103, 0.849055650705), (10122, 0.6662079611921208), (11616, 0.3709755017747192), (10355, 0.33962091365002106), (17735, 0.3390378441382532), (17339, 0.2754059853875744), (10186, 0.2489475821415717), (878, 0.24608914626786677), (14212, 0.24546239864801644), (17229, 0.23759592938155455)]
servo/servo 20618 : [(16772, 0.728235367456512), (19883, 0.6112352169705193), (14651, 0.55608509552725), (9591, 0.5460379111161339), (15565, 0.5446066542772819), (16468, 0.5385801174901946), (15284, 0.47212357706224806), (9657, 0.4614442806550596), (11623, 0.4503308042481504), (20260, 0.38848020136544137)]
servo/servo 20617 : [(20260, 0.8180677570299536), (20147, 0.6742245077871231), (15284, 0.6619914965498812), (19883, 0.6236497910126307), (14831, 0.5661540110620127), (18907, 0.5368914786993662), (14651, 0.4943733819641449), (16772, 0.4889395613291734), (19082, 0.48753548749351205), (16468, 0.4599037706001491)]
servo/servo 20459 : [(18065, 0.7228085621585977), (11796, 0.719991459712761), (20391, 0.6628913266290771), (18400, 0.6335207469339956), (18568, 0.6303304692226156), (17115, 0.6293151891335723), (21051, 0.6142261437003202), (18375, 0.5958660361029333), (20426, 0.5889085591316368), (19012, 0.5816833139320439)]
servo/servo 20424 : [(13070, 0.5682281190460736), (4817, 0.5537372642542376), (11595, 0.5), (17945, 0.40763050103566323), (14096, 0.3929245129083061), (13333, 0.3840616087074307), (10445, 0.3788998649519108), (10710, 0.375744336675495), (2331, 0.3441897046588917), (11101, 0.32819847963544935)]
servo/servo 20318 : [(20399, 0.5532699951552122), (13453, 0.40821201244406013), (13110, 0.3940164277951634), (12668, 0.39212054910847716), (12571, 0.3572526400344173), (20419, 0.34245000545438303), (10291, 0.3312032014581068), (20267, 0.32123021011270053), (8938, 0.31027652780773235), (11122, 0.30937168889038497)]
servo/servo 20269 : [(17239, 0.9094241358168289), (17364, 0.8506517458438272), (17326, 0.8380496041159887), (17150, 0.7606580983884417), (19256, 0.713442369501494), (17779, 0.7094975733710748), (17810, 0.683380561048666), (17546, 0.6797186518256156), (12310, 0.42600705383733056), (11738, 0.4234275667848922)]
