spring-projects/spring-framework 1829 : [(1369, 0.8617629684406174), (1517, 0.8577561836172796), (1534, 0.546433307419817), (1594, 0.43013311892429457), (1462, 0.17825818204008595), (1363, 0.11505269294300335), (1178, 0.09590434331945925), (590, 0.08851998027905841), (1783, 0.08490016334779368), (150, 0.07477757460533306)]
spring-projects/spring-framework 1827 : [(758, 0.9927210767445582), (1636, 0.9642260644593098), (801, 0.8819171788314294), (1615, 0.29477444468460423), (273, 0.09600644935431417), (64, 0.08016690417414236), (878, 0.070980379160793), (1104, 0.06891948067431977), (745, 0.048081612920897084), (782, 0.04741965639544755)]
spring-projects/spring-framework 1825 : [(1003, 0.05162900507374227), (1725, 0.043682387913497885), (174, 0.043353440395381915), (1028, 0.04225558371561494), (666, 0.0381430620917724), (466, 0.038021366999397885), (1525, 0.037855976616195386), (1645, 0.036493874748210205), (667, 0.03600021439476333), (884, 0.033796296450832514)]
spring-projects/spring-framework 1823 : [(1402, 0.9931349335104003), (1345, 0.3471761978219495), (1132, 0.3333873370053134), (1215, 0.16753637384422665), (1025, 0.05439527323781157), (644, 0.04997477179497855), (1612, 0.041475925923197626), (91, 0.03994429962832645), (876, 0.03187706087393745), (1773, 0.029113625520493194)]
spring-projects/spring-framework 1822 : [(1372, 0.33970560448438464), (82, 0.044359704005161364), (374, 0.04241207611940084), (695, 0.04180136364095337), (747, 0.040929301188059715), (1278, 0.03836547975686282), (75, 0.037958746658651676), (1577, 0.03641625279865468), (301, 0.03575917857460394), (1523, 0.034795836534276335)]
spring-projects/spring-framework 1807 : [(1045, 0.592949026870154), (1043, 0.314491899621017), (922, 0.07163673955975923), (1171, 0.06912751266581722), (366, 0.06442365616724481), (290, 0.06045841506383974), (103, 0.056963261157181456), (1408, 0.0567458431932382), (1020, 0.05665336030076092), (937, 0.054102575121932076)]
spring-projects/spring-framework 1798 : [(747, 0.9762399004824983), (899, 0.8823425042799545), (272, 0.25010470741539803), (1345, 0.0988490477725078), (886, 0.08666844069174591), (753, 0.06921404015696225), (885, 0.06870200096406079), (113, 0.06639944107042493), (1621, 0.06314895847890753), (1307, 0.06046493962618113)]
spring-projects/spring-framework 1797 : [(1369, 0.12016391404322718), (802, 0.06960963450660003), (573, 0.06081546238113767), (1675, 0.05206852714172558), (335, 0.051451073234080665), (1350, 0.048357738677065776), (401, 0.048357738677065776), (1178, 0.0474002195426575), (1649, 0.04663805610486584), (999, 0.04662564419536319)]
spring-projects/spring-framework 1794 : [(573, 0.38773294705505634), (999, 0.1592697547747365), (802, 0.14267067071115302), (1649, 0.10008282859145706), (1675, 0.09685339966184754), (1174, 0.08251498341139306), (386, 0.0702812204308156), (1714, 0.06349514627894906), (634, 0.05995037493053292), (633, 0.05995037493053292)]
spring-projects/spring-framework 1790 : [(439, 0.674072399568386), (628, 0.5972806759709718), (1586, 0.3391042584645926), (1583, 0.3391042584645926), (1584, 0.3101413617035626), (309, 0.30502368406180463), (892, 0.15279285227272707), (1366, 0.09857875932486286), (832, 0.06544277567855789), (833, 0.06544277567855789)]
spring-projects/spring-framework 1783 : [(1517, 0.3873180138911623), (1369, 0.36990421259757383), (1305, 0.2152176153240298), (312, 0.13281590913512553), (1303, 0.12701791509918223), (750, 0.09373628152553647), (396, 0.08865189319238484), (416, 0.08730222147143195), (1829, 0.08490016334779368), (1602, 0.0781239453298664)]
spring-projects/spring-framework 1778 : [(809, 0.5744275336393259), (587, 0.13914097109897175), (337, 0.06071004441289342), (357, 0.06019076449375304), (1045, 0.05828942517660624), (581, 0.05736906284748611), (166, 0.04576049307449078), (658, 0.043940954435172534), (692, 0.04212075869234995), (526, 0.03958773477013677)]
