tensorflow/tensorflow 21161 : [(10628, 0.9940022796589191), (10117, 0.9940022796589191), (10116, 0.9940022796589191), (2611, 0.9940022796589191), (16530, 0.9933377531489115), (16529, 0.9933377531489115), (13088, 0.9922696369519376), (6312, 0.9871526700010068), (12702, 0.9825719431398543), (12703, 0.9816117466226182)]
tensorflow/tensorflow 21155 : [(21106, 0.5545644651945297), (14418, 0.5258157973855536), (3861, 0.4828136021245308), (3779, 0.3615051296490979), (1020, 0.3597816433086623), (21098, 0.3153933980952936), (19037, 0.29797473944445596), (8600, 0.28547137616337054), (1709, 0.2501824510281972), (16482, 0.24684737903340864)]
tensorflow/tensorflow 21151 : [(8357, 0.6007671336299408), (1039, 0.3182619664936714), (19590, 0.31227023240710244), (16140, 0.31227023240710244), (9361, 0.31227023240710244), (987, 0.31227023240710244), (3547, 0.31015192539235165), (16618, 0.30848396371052583), (12814, 0.3077535924910702), (14838, 0.30419672672617537)]
tensorflow/tensorflow 21149 : [(8538, 0.7286790404577079), (1754, 0.48689423146527067), (4983, 0.48687223860051343), (8763, 0.43777541773291867), (1005, 0.4199348805254845), (19011, 0.2060495585910967), (12200, 0.17651307924396098), (17180, 0.16565088131666905), (17392, 0.16014903494709673), (1080, 0.13620763109838213)]
tensorflow/tensorflow 21148 : [(12303, 0.10099246297853216), (8728, 0.09111713805348715), (9376, 0.0890757074569257), (8954, 0.08632753867343426), (12768, 0.0697816267740775), (14836, 0.06808078277825749), (7310, 0.06269271619606696), (20753, 0.0496775639899147), (16272, 0.04928198077345566), (1466, 0.04868849434069398)]
tensorflow/tensorflow 21147 : [(1447, 0.9454683305912194), (13280, 0.8900190582356566), (18745, 0.85878207000668), (10538, 0.853533893495522), (1072, 0.6346791122070745), (815, 0.5434403547301861), (19099, 0.44256454963986347), (10536, 0.4199348805254845), (1051, 0.334888154618709), (7438, 0.2606836554119416)]
tensorflow/tensorflow 21146 : [(1719, 0.5220308184227769), (1710, 0.4671738968791791), (20753, 0.45901848957094915), (15680, 0.4518654014231497), (16272, 0.43755332461177215), (1020, 0.42115865555536264), (19050, 0.41047674596494793), (13557, 0.4067990395755704), (13935, 0.3968758583535316), (113, 0.39160951227871954)]
tensorflow/tensorflow 21144 : [(14901, 0.33190584310425214), (19601, 0.13668540228758413), (19590, 0.13668540228758413), (17329, 0.13668540228758413), (16618, 0.13668540228758413), (16140, 0.13668540228758413), (16070, 0.13668540228758413), (14839, 0.13668540228758413), (14838, 0.13668540228758413), (12814, 0.13668540228758413)]
tensorflow/tensorflow 21143 : [(14865, 0.3857693338944352), (19392, 0.25331081428620617), (882, 0.19765993522377046), (18378, 0.17512570281038958), (20657, 0.1562811554734511), (6133, 0.13164728661499941), (6129, 0.13163229058908724), (14874, 0.1293047161145858), (10082, 0.12763302797566964), (17780, 0.1239735727320327)]
tensorflow/tensorflow 21140 : [(20066, 0.5530414013110109), (19332, 0.5), (21102, 0.44447641732201243), (19808, 0.3388734484571434), (21011, 0.3210897572393377), (19400, 0.2883004389060787), (19403, 0.2296095668196887), (17392, 0.22309879446647946), (11259, 0.1977699119377488), (11258, 0.1977699119377488)]
tensorflow/tensorflow 21139 : [(7670, 0.1385062321239792), (19099, 0.10500171045950041), (7598, 0.08557049899785492), (18215, 0.08370286642082088), (3997, 0.07500865171407595), (5410, 0.07238520717663353), (13877, 0.07201135074424053), (697, 0.07101661542693209), (1466, 0.06482587890223032), (7254, 0.0637142355738456)]
tensorflow/tensorflow 21138 : [(14727, 0.2525544699007025), (20318, 0.06808920054373152), (20971, 0.06306586994963477), (21100, 0.059384956166379954), (17953, 0.05369546502812919), (18197, 0.04785394498551501), (20650, 0.023892896543507475), (20623, 0.021692057663912478), (17355, 0.021575816492506065), (18991, 0.020896990468366076)]
tensorflow/tensorflow 21133 : [(15117, 0.15982594202789352), (17637, 0.15719705465184117), (18321, 0.1440561199960736), (21105, 0.1171491347419319), (2638, 0.1023889350476474), (19730, 0.10202956680429444), (19346, 0.10070386560564572), (19736, 0.09603858865969223), (16430, 0.0942079007365879), (21082, 0.09014931700385276)]
tensorflow/tensorflow 21132 : [(11719, 0.27515421852681093), (2601, 0.1727528377349227), (4520, 0.16065452740843186), (1994, 0.1469711312741443), (4302, 0.1167632855030934), (1613, 0.10948824764361698), (11907, 0.09844413061298964), (21140, 0.0688092547747423), (20708, 0.02502028949443017), (17862, 0.024391002523008756)]
tensorflow/tensorflow 21131 : [(2249, 0.13515469238754713), (7589, 0.08575885518106875), (1719, 0.06981559442148823), (10578, 0.06881352888124011), (10575, 0.06881352888124011), (6140, 0.06434350912860279), (15427, 0.0638715035026829), (6764, 0.0603940572958597), (16296, 0.05980535206441977), (15984, 0.0491591005457584)]
tensorflow/tensorflow 21122 : [(11175, 0.34216807765321844), (14395, 0.22806522324804687), (20166, 0.20660561269122996), (5210, 0.13859945384865388), (19095, 0.13230767629227383), (19094, 0.13230767629227383), (4741, 0.12016303386696793), (13472, 0.11766124816150908), (6609, 0.1062548236704477), (6547, 0.09888511418245437)]
tensorflow/tensorflow 21119 : [(1721, 0.8797654462469452), (5053, 0.8454037085999285), (5076, 0.7562915531094314), (16210, 0.642018981456093), (14463, 0.6358299448645063), (18312, 0.6109298864619926), (2409, 0.19905807597692637), (16878, 0.195379295321443), (17716, 0.18719787161118487), (1017, 0.18719787161118487)]
tensorflow/tensorflow 21114 : [(14043, 0.3151327391141892), (21113, 0.1731378284930848), (9995, 0.13892988380649748), (4569, 0.11610600102461349), (12228, 0.10331258409133633), (7101, 0.0959895069065231), (16897, 0.09110979593631333), (12670, 0.08971495847518406), (2058, 0.0827187415664233), (13309, 0.0811139970694184)]
tensorflow/tensorflow 21113 : [(6208, 0.6147754875982138), (2183, 0.5332293336938811), (15224, 0.42932092446711656), (6227, 0.2776341690785682), (20476, 0.24874231267395), (16897, 0.23780172070269984), (2592, 0.19649019671948517), (13022, 0.1845081503369826), (21114, 0.1731378284930848), (10593, 0.12671196689227374)]
tensorflow/tensorflow 21109 : [(6244, 0.4632242318252937), (17392, 0.43046837284866946), (17430, 0.42759335617309435), (21072, 0.420828756518215), (20549, 0.4007273931521742), (19157, 0.3937968882818416), (17692, 0.3853092261286563), (20540, 0.38123161911158665), (584, 0.38106969390014434), (12786, 0.37852358230824246)]
tensorflow/tensorflow 21107 : [(20792, 0.9999925142345786), (20572, 0.49416066105943135), (20716, 0.4312569323148569), (1681, 0.3781805362333649), (832, 0.3417011492518505), (13948, 0.3154331713942349), (21011, 0.19926070843511498), (16724, 0.17318171443011987), (5384, 0.15651686067134543), (18100, 0.1522216598705205)]
tensorflow/tensorflow 21106 : [(20935, 0.914939973412042), (20897, 0.8848372285428181), (14418, 0.8621085794460427), (3861, 0.8499875753769705), (21101, 0.7078612475419354), (15281, 0.6621167869497931), (16625, 0.5863990953233081), (21155, 0.5545644651945297), (3779, 0.5171586704099426), (14727, 0.4940872136480578)]
tensorflow/tensorflow 21105 : [(17073, 0.9341818945499422), (17637, 0.35182556133039705), (19736, 0.30798218045984765), (828, 0.2591599497095212), (19346, 0.243082583565454), (19730, 0.2094175561891078), (20646, 0.16712225754673107), (17326, 0.14677262563236956), (14631, 0.13203649225389055), (19928, 0.1300639084985276)]
tensorflow/tensorflow 21102 : [(20066, 0.799242283732029), (19011, 0.5673616713437509), (17180, 0.5303269057813729), (20578, 0.5259417921042719), (21140, 0.44447641732201243), (18745, 0.31104966840819476), (19400, 0.28313135967965514), (17078, 0.27348257504294377), (11212, 0.24272452876717768), (19403, 0.2330854938415821)]
tensorflow/tensorflow 21101 : [(1649, 0.8026830049791456), (21106, 0.7078612475419354), (3602, 0.703382622522644), (16420, 0.6732913265643379), (2519, 0.4199348805254845), (1601, 0.4199348805254845), (18623, 0.227481135559652), (20935, 0.1687806196283648), (20854, 0.14736895198376998), (1011, 0.11445214793785832)]
tensorflow/tensorflow 21100 : [(14727, 0.21724837811534634), (11209, 0.1358886087657102), (19920, 0.07090009512150096), (8736, 0.06673206494677152), (21138, 0.059384956166379954), (1466, 0.05229105152698152), (14531, 0.046062146923146655), (3229, 0.04467629748484311), (15608, 0.04402456040351825), (18231, 0.0435817543523527)]
tensorflow/tensorflow 21098 : [(16021, 0.9999997361548082), (18801, 0.9999967307804167), (6114, 0.9173918244856248), (17523, 0.6781817510440118), (17797, 0.44423083699572075), (11274, 0.3581631897477515), (11222, 0.3581631897477515), (16992, 0.3530432238561194), (11924, 0.3187135413129626), (11505, 0.3187135413129626)]
tensorflow/tensorflow 21097 : [(17491, 0.9232413756926815), (20540, 0.9062947979676304), (19665, 0.8246779294376355), (20004, 0.6255716297455783), (16511, 0.5403165602129061), (16077, 0.5101359913369202), (12034, 0.45258140920673656), (15705, 0.45034663470276165), (19660, 0.43893614531493547), (1673, 0.43252184599706855)]
tensorflow/tensorflow 21092 : [(19213, 0.2447957465248858), (6358, 0.18385204139945924), (7730, 0.17463382371608588), (6528, 0.16248701754979156), (10593, 0.13926214677341509), (8400, 0.1192810525377044), (16897, 0.10903501169746668), (16413, 0.10604339152482987), (16416, 0.09805672913672894), (6986, 0.09013167959488574)]
tensorflow/tensorflow 21086 : [(16618, 0.9777923499849388), (21080, 0.9747074110615668), (19590, 0.9747074110615668), (16140, 0.9747074110615668), (9361, 0.9747074110615668), (987, 0.9747074110615668), (12814, 0.971863615079736), (14838, 0.9693611031883306), (14839, 0.9687913584351483), (1039, 0.967859997570906)]
tensorflow/tensorflow 21082 : [(16430, 0.5), (15535, 0.4364811860243573), (18631, 0.36306247984354234), (18321, 0.3439863968163814), (18910, 0.31418024217810925), (15117, 0.2077829325822182), (2638, 0.1527900575902346), (20646, 0.11976446275922743), (21133, 0.09014931700385276), (5173, 0.08743438602363726)]
tensorflow/tensorflow 21078 : [(5471, 0.45094749273618717), (18249, 0.30205305529172827), (5107, 0.24426842443608665), (13284, 0.17642414792338942), (13608, 0.15867559587852717), (573, 0.15066785486782128), (14880, 0.1446367068472925), (15287, 0.13338926878569674), (8965, 0.10111078184366103), (756, 0.08627325411286942)]
tensorflow/tensorflow 21075 : [(18803, 0.0264843253518978), (17953, 0.026307759358201944), (17607, 0.0246512944114286), (20318, 0.024304569436729585), (15595, 0.02360917620687079), (2752, 0.022723198521083177), (9120, 0.022242034998663673), (16849, 0.022002946117560516), (14408, 0.02133057936459651), (19332, 0.021285304179907802)]
tensorflow/tensorflow 21073 : [(20648, 0.3177537477429859), (21071, 0.08699117900739395), (20650, 0.07281659404134594), (5599, 0.06586123210977313), (17109, 0.06367728397951235), (20011, 0.05819821330458709), (1428, 0.056927455693986335), (9933, 0.052759425336608365), (9899, 0.052758623536074495), (2861, 0.051728838022117585)]
tensorflow/tensorflow 21072 : [(17692, 0.44235479013572726), (21109, 0.420828756518215), (20549, 0.41301239809365003), (21097, 0.40111239732623694), (20394, 0.39718419552553746), (17430, 0.39144649606351617), (16511, 0.3877493314840863), (19665, 0.384090122363598), (17392, 0.38186261530630833), (20432, 0.37769035395023975)]
tensorflow/tensorflow 21071 : [(20650, 0.9849187811057165), (20902, 0.2854245852459157), (10309, 0.22660752139100862), (10400, 0.17444905937081973), (7105, 0.14373874441893822), (5274, 0.13767022666363218), (5273, 0.13767022666363218), (2817, 0.13195136439640104), (18667, 0.12675943812777432), (20907, 0.11978108530055194)]
