,,,,,,title,desc,code,file_list,location,pattern,,
elastic/elasticsearch,980,419,0.0724,,N/A,0.1819,0.1416,0,0,0,0,https://www.github.com/elastic/elasticsearch/pull/980,https://www.github.com/elastic/elasticsearch/pull/419
elastic/elasticsearch,2324,1775,0.98,,N,0.9984,-0.0078,0,0,0,0,https://www.github.com/elastic/elasticsearch/pull/2324,https://www.github.com/elastic/elasticsearch/pull/1775
elastic/elasticsearch,2830,2667,0.9814,,Y(?),0.3517,0.3763,0.5994,0.0286,0.8451,0,https://www.github.com/elastic/elasticsearch/pull/2830,https://www.github.com/elastic/elasticsearch/pull/2667
elastic/elasticsearch,3029,2381,0.3323,,N/A,0.154,0,0.2947,0.2857,0,-1,https://www.github.com/elastic/elasticsearch/pull/3029,https://www.github.com/elastic/elasticsearch/pull/2381
elastic/elasticsearch,3156,1040,0.8525,,N/A,0.7209,0.0044,0,0,0,0,https://www.github.com/elastic/elasticsearch/pull/3156,https://www.github.com/elastic/elasticsearch/pull/1040
elastic/elasticsearch,3289,1775,0.4635,,N/A,0.4952,0.0084,0,0,0,0,https://www.github.com/elastic/elasticsearch/pull/3289,https://www.github.com/elastic/elasticsearch/pull/1775
elastic/elasticsearch,3665,3398,0.8117,,N/A,0.1347,0.0461,0.8165,0.0769,0,0,https://www.github.com/elastic/elasticsearch/pull/3665,https://www.github.com/elastic/elasticsearch/pull/3398
elastic/elasticsearch,3980,1576,0.6535,,N/A,0.0758,0.1203,0.5164,0.5,0,0,https://www.github.com/elastic/elasticsearch/pull/3980,https://www.github.com/elastic/elasticsearch/pull/1576
elastic/elasticsearch,4531,1811,0.3457,,N/A,0.3509,0.3432,0,0,0,0,https://www.github.com/elastic/elasticsearch/pull/4531,https://www.github.com/elastic/elasticsearch/pull/1811
elastic/elasticsearch,4659,3603,0.2262,,N/A,0.3265,0.1787,0,0,0,0,https://www.github.com/elastic/elasticsearch/pull/4659,https://www.github.com/elastic/elasticsearch/pull/3603
elastic/elasticsearch,5400,5241,0.978,,N/A,0.4671,0.3468,0,0.5,0.8444,0,https://www.github.com/elastic/elasticsearch/pull/5400,https://www.github.com/elastic/elasticsearch/pull/5241
elastic/elasticsearch,5676,4904,1,,C(continue),0.3697,0.0172,1,1,1,0,https://www.github.com/elastic/elasticsearch/pull/5676,https://www.github.com/elastic/elasticsearch/pull/4904
elastic/elasticsearch,5869,5015,0.642,,N/A,0.4077,0.0007,0.1193,0.0909,0.4096,-1,https://www.github.com/elastic/elasticsearch/pull/5869,https://www.github.com/elastic/elasticsearch/pull/5015
elastic/elasticsearch,6453,5983,0.8347,,N/A,0.003,0.0015,0.8366,0.0004,1,0,https://www.github.com/elastic/elasticsearch/pull/6453,https://www.github.com/elastic/elasticsearch/pull/5983
elastic/elasticsearch,6703,5881,0.7479,,N/A,0.3017,0.2391,0.4082,0.1053,0,0,https://www.github.com/elastic/elasticsearch/pull/6703,https://www.github.com/elastic/elasticsearch/pull/5881
