,,,,,,title,desc,code,file_list,location,pattern,,
facebook/react,1702,1548,1,1,Y(mention),0.5471,0.3418,0.651,1,1,-1,https://www.github.com/facebook/react/pull/1702,https://www.github.com/facebook/react/pull/1548
facebook/react,3003,2995,1,1,Y(mention),0.6063,0,1,0.9859,1,1,https://www.github.com/facebook/react/pull/3003,https://www.github.com/facebook/react/pull/2995
facebook/react,3969,3807,1,1,C(continue),0.9538,0.2955,0.3469,0.0192,1,0,https://www.github.com/facebook/react/pull/3969,https://www.github.com/facebook/react/pull/3807
facebook/react,5028,2511,1,1,Y(?),0.7452,0.4036,0.0286,1,0.7066,0,https://www.github.com/facebook/react/pull/5028,https://www.github.com/facebook/react/pull/2511
facebook/react,8522,4817,1,1,Y(?),0.7456,-0.0127,0.6462,0.3333,0.7436,0,https://www.github.com/facebook/react/pull/8522,https://www.github.com/facebook/react/pull/4817
facebook/react,10115,6928,1,1,N,0.5655,0.0823,0.5,0.5,1,0,https://www.github.com/facebook/react/pull/10115,https://www.github.com/facebook/react/pull/6928
facebook/react,10255,6673,1,1,N(no meaning pr),0.6763,0.0316,0.7416,1,1,0,https://www.github.com/facebook/react/pull/10255,https://www.github.com/facebook/react/pull/6673
facebook/react,11489,11186,1,1,Y,0.5744,0.5145,0.75,1,1,0,https://www.github.com/facebook/react/pull/11489,https://www.github.com/facebook/react/pull/11186
facebook/react,11638,11371,1,1,Y,0.9578,0.3578,0.998,1,0.7333,0,https://www.github.com/facebook/react/pull/11638,https://www.github.com/facebook/react/pull/11371
facebook/react,11868,4426,1,1,N(fix typo),1,0,0,1,0,0,https://www.github.com/facebook/react/pull/11868,https://www.github.com/facebook/react/pull/4426
facebook/react,12488,10255,1,1,N(log),0.6073,0.252,0.7688,1,1,0,https://www.github.com/facebook/react/pull/12488,https://www.github.com/facebook/react/pull/10255
facebook/react,12621,10255,1,1,N(log),0.6228,0.2298,0.7214,1,1,0,https://www.github.com/facebook/react/pull/12621,https://www.github.com/facebook/react/pull/10255
facebook/react,1664,1026,0.9971,1,N,0.5947,-0.0018,0.4274,0.5,0.9247,0,https://www.github.com/facebook/react/pull/1664,https://www.github.com/facebook/react/pull/1026
facebook/react,2084,2065,0.9971,1,Y(?),0.6422,0.4518,0.4121,0.6667,0.3307,-1,https://www.github.com/facebook/react/pull/2084,https://www.github.com/facebook/react/pull/2065
facebook/react,7870,5512,0.9966,1,N/A,0.6622,0.5268,0.5016,0.2857,0.5105,-1,https://www.github.com/facebook/react/pull/7870,https://www.github.com/facebook/react/pull/5512
facebook/react,8464,2511,0.9951,1,N/A,0.677,0.1774,0,1,0.3276,0,https://www.github.com/facebook/react/pull/8464,https://www.github.com/facebook/react/pull/2511
facebook/react,6287,5264,0.993,1,N/A,0.6142,0.2667,0.3447,0.3333,0.7042,-1,https://www.github.com/facebook/react/pull/6287,https://www.github.com/facebook/react/pull/5264
facebook/react,10787,9730,0.993,1,N/A,0.6396,0.1725,0.229,1,0,0,https://www.github.com/facebook/react/pull/10787,https://www.github.com/facebook/react/pull/9730
