,,,,,title,desc,code,file_list,location,pattern,,
laravel/framework,1592,959,1,N,0.6814,0.1944,0.556,1,0,0,https://www.github.com/laravel/framework/pull/1592,https://www.github.com/laravel/framework/pull/959
laravel/framework,2600,1663,1,N(?),0.7567,0,0.248,0.8889,0.5604,0,https://www.github.com/laravel/framework/pull/2600,https://www.github.com/laravel/framework/pull/1663
laravel/framework,2883,2380,1,N,0.2853,0.1556,0.8281,1,0.6,0,https://www.github.com/laravel/framework/pull/2883,https://www.github.com/laravel/framework/pull/2380
laravel/framework,4138,2678,1,Y,0.1958,0.541,0.5453,1,0.9174,0,https://www.github.com/laravel/framework/pull/4138,https://www.github.com/laravel/framework/pull/2678
laravel/framework,4366,2969,1,Y,0.9553,0.1236,0.9535,1,1,0,https://www.github.com/laravel/framework/pull/4366,https://www.github.com/laravel/framework/pull/2969
laravel/framework,4758,1146,1,N(improve),0.5026,0.0009,0.701,1,0.2357,0,https://www.github.com/laravel/framework/pull/4758,https://www.github.com/laravel/framework/pull/1146
laravel/framework,5077,4462,1,N,0.7222,0,0.7599,1,0,0,https://www.github.com/laravel/framework/pull/5077,https://www.github.com/laravel/framework/pull/4462
laravel/framework,9203,5077,1,N ,0.5783,0,0.4656,1,0.7444,0,https://www.github.com/laravel/framework/pull/9203,https://www.github.com/laravel/framework/pull/5077
laravel/framework,9323,8211,1,N,0.4602,0.0287,0.866,0.5,0.7143,0,https://www.github.com/laravel/framework/pull/9323,https://www.github.com/laravel/framework/pull/8211
laravel/framework,9736,9434,1,Y,0.9317,0.302,0.4573,1,0,0,https://www.github.com/laravel/framework/pull/9736,https://www.github.com/laravel/framework/pull/9434
laravel/framework,10256,1532,1,N,0.6492,0.2802,1,0.0065,0,0,https://www.github.com/laravel/framework/pull/10256,https://www.github.com/laravel/framework/pull/1532
laravel/framework,10444,10442,1,Y,0.6568,0.4266,0.2682,1,1,-1,https://www.github.com/laravel/framework/pull/10444,https://www.github.com/laravel/framework/pull/10442
laravel/framework,13897,9264,1,Y,0.7233,0.2813,0.7413,0.25,1,0,https://www.github.com/laravel/framework/pull/13897,https://www.github.com/laravel/framework/pull/9264
laravel/framework,15003,13223,1,N(?),0.7121,0,0,1,0.6667,0,https://www.github.com/laravel/framework/pull/15003,https://www.github.com/laravel/framework/pull/13223
laravel/framework,15171,11485,1,Y(remove code same),1,0,0,1,1,0,https://www.github.com/laravel/framework/pull/15171,https://www.github.com/laravel/framework/pull/11485
laravel/framework,15959,13213,1,Y(?),0.7572,0.2622,0.5641,0.5,0.6627,0,https://www.github.com/laravel/framework/pull/15959,https://www.github.com/laravel/framework/pull/13213
laravel/framework,16125,8506,1,Y,0.6445,0.2086,0.8967,1,1,0,https://www.github.com/laravel/framework/pull/16125,https://www.github.com/laravel/framework/pull/8506
laravel/framework,16171,11139,1,Y,0.6968,0.2164,0.8395,0.3333,0,0,https://www.github.com/laravel/framework/pull/16171,https://www.github.com/laravel/framework/pull/11139
laravel/framework,16879,4628,1,N,0.6677,0.162,0.9161,1,0,0,https://www.github.com/laravel/framework/pull/16879,https://www.github.com/laravel/framework/pull/4628
laravel/framework,17369,13225,1,Y,0.179,0,0.8255,1,1,0,https://www.github.com/laravel/framework/pull/17369,https://www.github.com/laravel/framework/pull/13225
laravel/framework,17417,10776,1,Y(?),0.8159,0.5508,0.8858,0.0179,0.9213,0,https://www.github.com/laravel/framework/pull/17417,https://www.github.com/laravel/framework/pull/10776
laravel/framework,17908,12810,1,N,0.8852,0,0.6773,1,0,0,https://www.github.com/laravel/framework/pull/17908,https://www.github.com/laravel/framework/pull/12810
laravel/framework,18540,7883,1,N(improve),0.6618,0.6121,0.5963,0.2,0.5769,0,https://www.github.com/laravel/framework/pull/18540,https://www.github.com/laravel/framework/pull/7883
laravel/framework,18705,17589,1,Y,0.902,0,0.7641,1,0,0,https://www.github.com/laravel/framework/pull/18705,https://www.github.com/laravel/framework/pull/17589
laravel/framework,18723,9780,1,Y,0.5695,0,0.8374,1,0.5172,0,https://www.github.com/laravel/framework/pull/18723,https://www.github.com/laravel/framework/pull/9780
laravel/framework,19022,8801,1,N,0.6426,0.3852,0.5906,1,0,0,https://www.github.com/laravel/framework/pull/19022,https://www.github.com/laravel/framework/pull/8801
laravel/framework,20043,19240,1,N,0.7543,0.1131,0.4472,0.1429,1,0,https://www.github.com/laravel/framework/pull/20043,https://www.github.com/laravel/framework/pull/19240
