dotnet/corefx	26824	26820	Y	0.64	1.00	0.00	1.00	1.00	1.00	2.00	1.00	1.00	1.00	1.00
django/django	5662	2585	Y	0.62	0.71	0.00	1.00	1.00	0.53	8.00	0.79	0.99	1.00	0.17
django/django	6272	6099	Y	0.63	0.80	0.09	0.96	0.96	1.00	11.00	0.91	0.91	1.00	0.79
cocos2d/cocos2d-x	16238	16232	Y	0.63	0.47	0.81	1.00	1.00	1.00	1.00	1.00	1.00	1.00	0.47
rails/rails	22137	13605	Y	0.63	0.62	0.57	1.00	1.00	1.00	1.00	1.00	1.00	1.00	0.67
cocos2d/cocos2d-x	12981	12977	Y	0.61	1.00	0.00	1.00	1.00	0.89	16.00	0.94	1.00	0.00	0.99
rails/rails	25514	25513	Y	0.63	0.63	0.02	1.00	1.00	1.00	1.00	1.00	1.00	1.00	0.56
hashicorp/terraform	8990	8806	Y	0.63	0.84	0.02	1.00	1.00	1.00	1.00	1.00	1.00	1.00	0.48
joomla/joomla-cms	6219	4761	Y	0.62	0.44	0.23	0.99	0.99	1.00	1.00	1.00	1.00	1.00	0.12
django/django	6279	5035	Y	0.61	1.00	0.18	0.93	0.93	1.00	4.00	0.72	0.72	1.00	0.61
dotnet/corefx	14667	14549	N	0.61	0.92	0.00	1.00	1.00	1.00	1.00	1.00	1.00	0.00	0.72
angular/angular.js	7352	7333	Y	0.61	0.65	0.00	1.00	1.00	1.00	1.00	1.00	1.00	0.00	0.61
cocos2d/cocos2d-x	1870	1757	Y	0.61	1.00	0.00	1.00	1.00	0.50	1.00	0.83	1.00	0.00	0.93
cocos2d/cocos2d-x	2346	2178	Y	0.60	0.33	0.00	1.00	1.00	1.00	14.00	1.00	1.00	0.00	0.94
hashicorp/terraform	295	164	Y	0.60	0.86	0.12	0.92	0.92	0.38	3.00	0.86	0.97	0.00	0.86
ceph/ceph	17999	17801	Y	0.61	0.60	0.49	1.00	1.00	1.00	1.00	1.00	1.00	0.00	0.32
django/django	8974	8332	Y	0.61	0.74	0.96	0.92	1.00	0.33	1.00	0.58	1.00	1.00	0.50
docker/docker	5225	5222	Y	0.60	0.72	0.06	1.00	1.00	1.00	1.00	1.00	1.00	0.00	1.00
ansible/ansible	8657	8388	Y	0.59	0.44	0.20	1.00	1.00	1.00	2.00	1.00	1.00	0.00	0.95
angular/angular.js	16335	15412	Y	0.63	0.73	0.69	0.77	0.77	1.00	3.00	0.80	0.80	1.00	0.66
hashicorp/terraform	11812	4736	Y	0.60	0.32	0.71	0.95	0.95	1.00	1.00	1.00	1.00	0.00	0.54
angular/angular.js	15251	15228	N	0.59	0.39	0.02	1.00	1.00	1.00	2.00	1.00	1.00	0.00	0.96
emberjs/ember.js	9327	5582	Y	0.59	1.00	0.04	0.90	0.97	0.25	1.00	0.17	0.31	1.00	0.32
cocos2d/cocos2d-x	4789	4350	Y	0.58	0.97	0.00	1.00	1.00	0.50	1.00	0.54	0.56	0.00	0.81
rails/rails	19105	16935	N(followup)	0.58	0.68	0.32	0.93	0.93	1.00	3.00	0.54	0.54	0.00	0.67
