JuliaLang/julia 12819 13582 [4573, 7008, 10893, 10328, 4444, 3919, 12819, 10994, 5677, 12109, 4303, 2957, 13492, 7557, 3360, 12702, 11095, 9952, 7210, 5594, 5168, 4699, 4553, 4455, 4454, 3303, 3302, 686, 4281, 6300]
JuliaLang/julia 11751 11820 [1091, 9461, 10623, 10358, 2706, 7353, 9255, 7518, 7805, 6889, 2298, 7559, 8890, 10724, 9984, 9931, 10735, 9125, 3351, 2715, 1477, 9069, 11253, 3199, 548, 10547, 9106, 11776, 9266, 8964]
JuliaLang/julia 14310 14378 [13058, 7237, 13622, 13308, 11091, 2320, 13108, 13102, 13046, 10061, 5641, 12114, 7973, 10483, 13374, 5645, 12986, 10481, 9878, 9853, 9428, 2466, 2280, 13045, 11421, 11124, 10515, 10494, 10492, 8694]
JuliaLang/julia 12503 14264 [12503, 12480, 12929, 13661, 10827, 13182, 14215, 12266, 4650, 9266, 10419, 10090, 8892, 8791, 5913, 2238, 1831, 8588, 13281, 5379, 13084, 10885, 3226, 12237, 3384, 14139, 14129, 10552, 8495, 5568]
JuliaLang/julia 5565 5706 [5519, 1139, 1478, 4230, 2014, 1764, 4038, 1450, 1748, 2548, 894, 3439, 5419, 5516, 2185, 1406, 4872, 2055, 4166, 4870, 1443, 3702, 4803, 2556, 1144, 1467, 4948, 2558, 1592, 2227]
JuliaLang/julia 5572 8791 [3358, 6223, 4532, 3931, 5572, 3120, 8495, 7448, 4210, 5127, 4031, 3117, 8384, 5101, 6974, 7490, 5699, 6696, 5328, 4038, 2595, 3140, 3449, 2099, 5012, 7568, 7531, 7055, 5518, 3519]
JuliaLang/julia 11721 12014 [5045, 11488, 10328, 11563, 2317, 10168, 7008, 11293, 2380, 10827, 10214, 1166, 10815, 3199, 8754, 11962, 11959, 10364, 10065, 4762, 10994, 10832, 10623, 11721, 10808, 10870, 3078, 11640, 10248, 9420]
JuliaLang/julia 12776 12835 [8122, 3996, 6924, 8766, 7928, 7997, 11019, 4177, 6596, 12692, 12001, 10200, 10199, 9050, 8457, 8150, 7588, 5439, 10436, 10044, 8709, 4613, 11793, 9188, 6047, 1991, 7929, 5956, 10669, 7518]
JuliaLang/julia 16917 16942 [4735, 10934, 16261, 14829, 14956, 16342, 10623, 16848, 10269, 14190, 13787, 10932, 8890, 9642, 6186, 1831, 16418, 11430, 14083, 16539, 7935, 9534, 12301, 5926, 16843, 16917, 8809, 14699, 15476, 7559]
JuliaLang/julia 11888 17231 [15178, 13148, 13147, 13084, 15951, 11888, 16580, 13178, 8223, 13199, 3617, 17190, 15638, 14194, 8867, 12830, 3912, 6667, 9783, 11014, 11430, 12113, 8890, 7559, 3199, 16258, 15476, 10332, 11071, 13107]
JuliaLang/julia 11547 13084 [3925, 3792, 3724, 7487, 3912, 9349, 4650, 3633, 10049, 4036, 7952, 4112, 3226, 13038, 7518, 9255, 7832, 6601, 3164, 2987, 2950, 2465, 2459, 2370, 9140, 9798, 10893, 9867, 3949, 7322]
JuliaLang/julia 22169 22233 [22169, 17950, 17607, 12218, 5810, 9332, 10153, 6474, 6472, 12297, 19906, 20268, 14731, 18286, 16010, 18870, 20022, 21558, 12283, 19305, 17921, 11259, 6192, 15258, 14402, 12030, 9901, 6121, 14964, 2878]
JuliaLang/julia 12904 14098 [12904, 14045, 13852, 14060, 13970, 7559, 13787, 10703, 6889, 9125, 3351, 13410, 10623, 10469, 4799, 1206, 581, 10622, 8793, 584, 10735, 553, 548, 3981, 1947, 5657, 7899, 736, 10724, 10103]
JuliaLang/julia 11242 12058 [9235, 5164, 11544, 11194, 10269, 11996, 8890, 10911, 11008, 7172, 7935, 5848, 1831, 11430, 7980, 3870, 8297, 10011, 11055, 5379, 7474, 10691, 5433, 3076, 11432, 1680, 11741, 8656, 3229, 8223]
JuliaLang/julia 14784 14792 [11005, 13355, 12828, 5404, 4388, 10691, 6692, 13525, 11148, 4175, 5012, 7474, 8008, 1162, 11600, 13439, 3796, 12483, 8448, 12645, 11432, 9291, 6421, 7287, 12551, 14503, 13553, 14745, 7075, 6677]
