facebook/react 91 : [(36, 0.4238192122000216), (66, 0.41978407657870703)]
facebook/react 109 : [(105, 0.5244260769617246), (59, 0.5160222361805896), (81, 0.49975200969455025), (97, 0.4669729155139386), (57, 0.43177050861332295), (103, 0.42512978750846825), (107, 0.42457380541871087), (72, 0.41462152554832726)]
facebook/react 141 : [(85, 0.50653124318689), (112, 0.43188406764804194)]
facebook/react 338 : [(320, 0.5607629366633671), (270, 0.47631942223988916), (201, 0.44837443888310763), (230, 0.4365940911199891), (225, 0.42950972903617524), (324, 0.42767328285838657), (321, 0.42541789509451294), (236, 0.42512978750846825), (274, 0.42472965114700506)]
facebook/react 644 : [(320, 0.5156894417216445), (443, 0.5095509690786719), (141, 0.5031984970946625), (243, 0.49752775229042473), (462, 0.4914594785810808), (357, 0.475167982272871), (585, 0.474593080989562), (435, 0.4561965515716565), (270, 0.4516605810511947), (464, 0.4409754138594111), (479, 0.4362809711600343), (477, 0.4328319703964953), (246, 0.4322262983625414), (263, 0.42849628283889846), (282, 0.42737171963716286), (73, 0.4216357906878157), (620, 0.42123357029165626), (637, 0.41856143493556935), (627, 0.41765250811113014), (433, 0.41765250811113014), (501, 0.41725329415401946), (500, 0.4146155286887931)]
facebook/react 1223 : [(1183, 0.5408149722030979), (1198, 0.5127924403387225), (357, 0.492937784902513), (1208, 0.49196157972091464), (197, 0.48544719759827304), (435, 0.4810174608153043), (1215, 0.47838847517965166), (621, 0.47631942223988916), (912, 0.4715462967091517), (877, 0.46695504922943915), (141, 0.46654612136491397), (919, 0.46207113517946347), (202, 0.44837443888310763), (989, 0.44726482812678525), (420, 0.44726482812678525), (1032, 0.44271053242629055), (760, 0.43740882006506937), (1072, 0.43656359698465186), (1217, 0.4362809711600343), (913, 0.4362809711600343), (582, 0.4362809711600343), (947, 0.43332295012322924), (866, 0.4328319703964953), (296, 0.4328319703964953), (270, 0.4328319703964953), (1186, 0.4298795013663345), (993, 0.4298795013663345), (553, 0.4298795013663345), (501, 0.42950972903617524), (902, 0.4288198057520378)]
facebook/react 1318 : [(1237, 0.5135932284956847), (347, 0.4702876620529482), (831, 0.4619787946899384), (873, 0.44837443888310763), (230, 0.44837443888310763), (201, 0.44837443888310763), (1293, 0.4452432017243822), (306, 0.4452432017243822), (1303, 0.44424283367200323), (1294, 0.44424283367200323), (1276, 0.44424283367200323), (1273, 0.44424283367200323), (1256, 0.44424283367200323), (1175, 0.44424283367200323), (1073, 0.44424283367200323), (1052, 0.44424283367200323), (1041, 0.44424283367200323), (993, 0.44424283367200323), (960, 0.44424283367200323), (930, 0.44424283367200323), (926, 0.44424283367200323), (891, 0.44424283367200323), (870, 0.44424283367200323), (866, 0.44424283367200323), (711, 0.44424283367200323), (710, 0.44424283367200323), (520, 0.44424283367200323), (422, 0.44424283367200323), (372, 0.44424283367200323), (321, 0.44424283367200323)]
facebook/react 1339 : [(938, 0.5684572195711696), (1264, 0.5371604046575562), (1032, 0.5322405675402226), (1306, 0.5065331477386174), (1183, 0.5022901312394614), (830, 0.49729908081176616), (868, 0.4897919610658376), (689, 0.48935450582523726), (443, 0.48664972272395834), (735, 0.4855928132263201), (1223, 0.4748870186404897), (1172, 0.46783215543743223), (333, 0.4617347217472489), (933, 0.4614303649408862), (1249, 0.4564993588765016), (417, 0.4511656705766448), (1072, 0.4464561535292022), (435, 0.44469534908101116), (57, 0.4425718129703261), (1206, 0.4376039697912617), (1309, 0.4362809711600343), (866, 0.4362809711600343), (582, 0.4362809711600343), (270, 0.4362809711600343), (1186, 0.4347902334449081), (172, 0.4336051336571414), (160, 0.4336051336571414), (553, 0.43332295012322924), (1321, 0.4330399888172026), (1244, 0.4329410753757382)]
facebook/react 1464 : [(1446, 0.5004313274575496), (723, 0.47093082441919415), (936, 0.4572535661651221), (63, 0.45397572780076734), (1221, 0.44498645245123153), (1032, 0.4262745703370707), (402, 0.42541789509451294), (1256, 0.42512978750846825), (168, 0.42512978750846825), (1435, 0.42247832782233513), (1268, 0.4123853729005166), (382, 0.41193080075398536), (1195, 0.3869045541035387), (1434, 0.3818802244281337)]
facebook/react 1645 : [(1339, 0.5514997776605728), (1557, 0.5407100732860033), (1009, 0.5108950706171893), (868, 0.4985391959325037), (938, 0.4955075927060474), (689, 0.48935450582523726), (830, 0.48911207522582706), (1539, 0.46832232646198346), (333, 0.46832232646198346), (1548, 0.46511705798233005), (1526, 0.45978007529328335), (760, 0.4590806564703115), (1335, 0.4569610450505246), (877, 0.4569610450505246), (1264, 0.4552218484803347), (1437, 0.45397572780076734), (1389, 0.45397572780076734), (1221, 0.4514232652110781), (913, 0.44837443888310763), (1072, 0.44797400940330423), (682, 0.44766967358261905), (1240, 0.44726482812678525), (464, 0.4453992078552018), (1590, 0.44498645245123153), (1525, 0.44469534908101116), (1249, 0.44469534908101116), (969, 0.4443571078068613), (1271, 0.44424283367200323), (1233, 0.44424283367200323), (1172, 0.44282472646616705)]
facebook/react 1882 : [(1821, 0.5737645338655876), (1799, 0.4707504129792555), (403, 0.46664303187884965), (891, 0.4590806564703115), (943, 0.4517151901605756), (926, 0.44837443888310763), (1793, 0.4464561535292022), (553, 0.4453992078552018), (304, 0.4452777391467801), (286, 0.4452777391467801), (1347, 0.44469534908101116), (1822, 0.44424283367200323), (1271, 0.44424283367200323), (582, 0.44424283367200323), (1290, 0.4426279045973648), (604, 0.4405684943066922), (1498, 0.4388329451511144), (1867, 0.43689925623874115), (1812, 0.4362809711600343), (1630, 0.4362809711600343), (1175, 0.4362809711600343), (296, 0.4362809711600343), (35, 0.4362809711600343), (314, 0.4362127574147854), (57, 0.4358709999916645), (463, 0.43323048724249186), (1233, 0.43294559589658166), (849, 0.4328319703964953), (1194, 0.43188406764804194), (969, 0.43106626786074187)]
facebook/react 1965 : [(1809, 0.5291431086485392), (1542, 0.5051137687034167), (1922, 0.5021656036462668), (1570, 0.49867247329213615), (962, 0.49760112946376683), (1446, 0.4942891127037867), (1294, 0.4898903718364473), (1550, 0.48950630917881105), (1543, 0.48902013970545294), (1934, 0.4863531759380096), (993, 0.46416212275839436), (1434, 0.4594873062333933), (464, 0.4583609116873087), (1293, 0.45121333120666274), (889, 0.4454879549473244), (1630, 0.4426279045973648), (296, 0.4396604132730047), (1601, 0.4391203874474125), (1237, 0.4380813738250041), (1598, 0.4367079437922426), (1127, 0.4363087932941689), (888, 0.4363087932941689), (479, 0.4362809711600343), (477, 0.4362809711600343), (1568, 0.43500680966907757), (1640, 0.4347078032655394), (1852, 0.43323048724249186), (1217, 0.4328319703964953), (620, 0.43043343170620824), (1515, 0.4301444702642003)]
facebook/react 2000 : [(252, 0.4638437445167527), (1404, 0.4594873062333933), (926, 0.44837443888310763), (582, 0.44837443888310763), (553, 0.44837443888310763), (403, 0.44837443888310763), (1347, 0.44796115332494246), (1052, 0.44766967358261905), (1948, 0.44424283367200323), (1271, 0.44424283367200323), (930, 0.44424283367200323), (907, 0.44424283367200323), (588, 0.4365940911199891), (1066, 0.4362809711600343), (409, 0.4362809711600343), (1565, 0.4328319703964953), (769, 0.4327660802044327), (660, 0.43177050861332295), (1085, 0.43008223750859226), (428, 0.42950972903617524), (1568, 0.42922092039318394), (1301, 0.42922092039318394), (562, 0.42922092039318394), (434, 0.42922092039318394), (1941, 0.42767328285838657), (920, 0.42541789509451294), (629, 0.42541789509451294), (991, 0.42178109057052027), (1980, 0.42149363920418825), (1561, 0.41753994088020624)]
facebook/react 2028 : [(1985, 0.49236268707617403), (1984, 0.49236268707617403), (1981, 0.49236268707617403), (1961, 0.49236268707617403), (1859, 0.49236268707617403), (214, 0.49236268707617403), (1822, 0.47885833197914185), (1175, 0.47885833197914185), (831, 0.4669729155139386), (347, 0.4669729155139386), (1294, 0.44837443888310763), (1052, 0.44837443888310763), (926, 0.44837443888310763), (891, 0.44837443888310763), (873, 0.44837443888310763), (520, 0.44837443888310763), (321, 0.44837443888310763), (320, 0.44837443888310763), (230, 0.44837443888310763), (225, 0.44837443888310763), (201, 0.44837443888310763), (2014, 0.44424283367200323), (1958, 0.44424283367200323), (1956, 0.44424283367200323), (1820, 0.44424283367200323), (1674, 0.44424283367200323), (1637, 0.44424283367200323), (1621, 0.44424283367200323), (1548, 0.44424283367200323), (1443, 0.44424283367200323)]
facebook/react 2101 : [(1981, 0.4832342326497609), (1859, 0.4832342326497609), (891, 0.4832342326497609), (1984, 0.47885833197914185), (1078, 0.47885833197914185), (214, 0.47885833197914185), (1265, 0.4669729155139386), (243, 0.4669729155139386), (1963, 0.4619787946899384), (1822, 0.4619787946899384), (1175, 0.4619787946899384), (873, 0.44837443888310763), (831, 0.44837443888310763), (347, 0.44837443888310763), (2014, 0.44424283367200323), (1674, 0.44424283367200323), (1637, 0.44424283367200323), (1424, 0.44424283367200323), (1294, 0.44424283367200323), (1052, 0.44424283367200323), (926, 0.44424283367200323), (870, 0.44424283367200323), (801, 0.44424283367200323), (711, 0.44424283367200323), (696, 0.44424283367200323), (520, 0.44424283367200323), (321, 0.44424283367200323), (230, 0.44424283367200323), (225, 0.44424283367200323), (201, 0.44424283367200323)]
