facebook/react 91 : [(36, 0.4214352321895797), (66, 0.414987955643132)]
facebook/react 109 : [(105, 0.4924888375695823), (107, 0.4924888375695823), (59, 0.48468221721849686), (81, 0.47909356333155195), (97, 0.4598016668659923), (57, 0.42280365769601896), (103, 0.42147577374732637), (72, 0.40868593591699365)]
facebook/react 141 : [(85, 0.47339433327354524), (112, 0.42059391970647914)]
facebook/react 338 : [(320, 0.5301044710373645), (270, 0.4683645625940962), (201, 0.44102340155530895), (230, 0.428775246190732), (324, 0.4231859486074619), (321, 0.42280365769601896), (225, 0.42280365769601896), (236, 0.42147577374732637), (274, 0.42059391970647914)]
facebook/react 644 : [(357, 0.5279034848179496), (479, 0.4891679289726293), (477, 0.48762864659326566), (243, 0.48651263081997353), (320, 0.4810680000395987), (443, 0.4810680000395987), (464, 0.48001566718630695), (73, 0.47407258550904136), (620, 0.47339433327354524), (501, 0.4692778710036405), (637, 0.46914310808086845), (462, 0.4679869813645027), (627, 0.4679869813645027), (282, 0.4679869813645027), (433, 0.4679869813645027), (500, 0.4679869813645027), (141, 0.46684332587645777), (246, 0.46645348928388713), (263, 0.4650989811836509), (585, 0.4650989811836509), (270, 0.44102340155530895), (435, 0.44096438061588616)]
facebook/react 1223 : [(1195, 0.5290166291390171), (1183, 0.5251383519239464), (1198, 0.502045551503857), (1032, 0.49662497698042474), (993, 0.4844181558883742), (357, 0.476770111245989), (1197, 0.476770111245989), (433, 0.4750217221703934), (1208, 0.4739760675946069), (870, 0.47253686411010076), (1181, 0.4692778710036405), (197, 0.4692778710036405), (912, 0.4683769744980864), (621, 0.4683645625940962), (1215, 0.4679869813645027), (1127, 0.4679869813645027), (435, 0.46645348928388713), (888, 0.46645348928388713), (948, 0.46348760345470147), (877, 0.4621014297844074), (991, 0.4615150575983205), (919, 0.4564248254740083), (141, 0.45637257500521483), (202, 0.44102340155530895), (420, 0.4391857698991257), (989, 0.43880002066690127), (913, 0.43273909845561315), (582, 0.43273909845561315), (270, 0.43122748684943185), (296, 0.43122748684943185)]
facebook/react 1318 : [(1256, 0.5041313479145635), (1293, 0.5018778474290126), (1305, 0.49823438190776637), (664, 0.49764761285063275), (1310, 0.49764761285063275), (479, 0.49764761285063275), (1294, 0.49758491991678644), (992, 0.4961075613360984), (477, 0.49571287973814027), (888, 0.49361687209795313), (936, 0.4916885994221314), (464, 0.49114417896409607), (1237, 0.49114417896409607), (433, 0.48921010731239933), (912, 0.4891679289726293), (282, 0.4891679289726293), (962, 0.4891679289726293), (620, 0.4891679289726293), (1127, 0.48762864659326566), (357, 0.48707286600082333), (443, 0.48266883714213055), (994, 0.48266883714213055), (347, 0.4655409996057275), (831, 0.4508214300195356), (306, 0.4452608162367882), (320, 0.44102340155530895), (321, 0.44102340155530895), (270, 0.44102340155530895), (1175, 0.44102340155530895), (1041, 0.44102340155530895)]
facebook/react 1339 : [(938, 0.5422104487555387), (1306, 0.5393752183827343), (830, 0.5224258274929682), (868, 0.5128628838145246), (1032, 0.5117100658978017), (1264, 0.49939410048314065), (1309, 0.48762864659326566), (1183, 0.4844181558883742), (689, 0.4790376054339934), (667, 0.4781718303228282), (735, 0.47407258550904136), (1327, 0.4689304803802236), (489, 0.4679869813645027), (1223, 0.46645348928388713), (1224, 0.46645348928388713), (1172, 0.4658329100727274), (443, 0.4650989811836509), (459, 0.4650989811836509), (1325, 0.4641572488676935), (970, 0.46016252188149553), (1240, 0.46016252188149553), (333, 0.45463399239200986), (933, 0.4506132228784873), (1249, 0.45043031278061263), (1195, 0.4486471300098696), (1072, 0.4428081832574603), (435, 0.43745997405959464), (417, 0.43450158264126504), (270, 0.43273909845561315), (582, 0.43273909845561315)]
facebook/react 1464 : [(1446, 0.4666319147897335), (723, 0.45842030710309034), (936, 0.44992445599613934), (63, 0.4459502783586794), (1195, 0.44358583740927754), (1221, 0.43880002066690127), (1435, 0.43880002066690127), (402, 0.42280365769601896), (168, 0.42147577374732637), (1256, 0.42147577374732637), (1032, 0.41888661279174233), (1268, 0.4083074715974598), (382, 0.40168392589232593), (1434, 0.38371066054222097)]
facebook/react 1645 : [(1339, 0.511344256553263), (1557, 0.5091211048593485), (1548, 0.5052278096688977), (868, 0.48910965221652203), (830, 0.483164099708686), (938, 0.47969225464728876), (689, 0.4790376054339934), (1223, 0.47637939189914214), (1009, 0.47468143094082105), (1195, 0.4692778710036405), (735, 0.4666319147897335), (333, 0.46204908185108906), (1327, 0.4615150575983205), (1539, 0.45931246261918945), (1526, 0.45603624731773157), (760, 0.45378937442103434), (1335, 0.44857759168197514), (877, 0.44857759168197514), (1389, 0.4459502783586794), (1437, 0.4459502783586794), (1072, 0.4454265189228737), (1264, 0.44210498148819777), (913, 0.44102340155530895), (1271, 0.44102340155530895), (682, 0.44007699772651476), (1240, 0.4391857698991257), (1590, 0.43880002066690127), (1092, 0.4384051564622142), (969, 0.4384051564622142), (464, 0.4384051564622142)]
facebook/react 1882 : [(1821, 0.5399099673680994), (891, 0.45946090667152817), (1799, 0.4571631161741699), (943, 0.4517579708823898), (1793, 0.4414634005278219), (1822, 0.44102340155530895), (582, 0.44102340155530895), (926, 0.44102340155530895), (1290, 0.4396409227323607), (304, 0.4391857698991257), (286, 0.4391857698991257), (403, 0.4384051564622142), (553, 0.4384051564622142), (1271, 0.4384051564622142), (1812, 0.43273909845561315), (604, 0.43273909845561315), (1630, 0.43273909845561315), (1175, 0.43273909845561315), (849, 0.43122748684943185), (35, 0.4301321897999106), (296, 0.4301321897999106), (1233, 0.4280780872918488), (1051, 0.42776408190191206), (969, 0.4275061811835035), (57, 0.42701848082130894), (1637, 0.42566839682254276), (1498, 0.42558189772506544), (920, 0.4255091087877874), (1182, 0.42280365769601896), (428, 0.42280365769601896)]
facebook/react 1965 : [(1570, 0.5308541993329339), (1809, 0.5072061818831844), (1542, 0.5013236051363356), (1934, 0.4997651145481763), (993, 0.49962517347412877), (1568, 0.49801266134503275), (464, 0.49492819931453585), (477, 0.4891679289726293), (479, 0.4891679289726293), (1293, 0.4885065001892906), (1550, 0.4870424754232724), (992, 0.4797254443561653), (889, 0.4797254443561653), (1598, 0.476770111245989), (1922, 0.47637939189914214), (888, 0.47529608848064886), (433, 0.47508426045705326), (1237, 0.4750217221703934), (1601, 0.4750217221703934), (1543, 0.4749802587681186), (1127, 0.4737848196024196), (1727, 0.4690993235881517), (912, 0.4683769744980864), (1201, 0.4683769744980864), (1294, 0.4683769744980864), (1640, 0.4683769744980864), (1446, 0.4679869813645027), (936, 0.4679869813645027), (962, 0.4679869813645027), (357, 0.4679869813645027)]
facebook/react 2000 : [(252, 0.4572702421746271), (1404, 0.4530624369862291), (1347, 0.4414187703949255), (907, 0.44102340155530895), (403, 0.44102340155530895), (1948, 0.44102340155530895), (930, 0.44102340155530895), (553, 0.44102340155530895), (926, 0.44102340155530895), (582, 0.44102340155530895), (1271, 0.44102340155530895), (1052, 0.44007699772651476), (1066, 0.43273909845561315), (409, 0.43122748684943185), (1565, 0.43122748684943185), (1085, 0.43036747716670143), (588, 0.42607961009541495), (660, 0.4231859486074619), (1941, 0.4231859486074619), (769, 0.42280365769601896), (920, 0.42280365769601896), (428, 0.42280365769601896), (629, 0.42280365769601896), (1568, 0.42147577374732637), (434, 0.42147577374732637), (562, 0.42147577374732637), (1301, 0.42147577374732637), (991, 0.4146077473139889), (1980, 0.4132871730436183), (1621, 0.4132871730436183)]
facebook/react 2028 : [(1972, 0.5049481600209924), (993, 0.49758491991678644), (1961, 0.48169037726806696), (1981, 0.48169037726806696), (1984, 0.48169037726806696), (1985, 0.48169037726806696), (1859, 0.48169037726806696), (214, 0.48169037726806696), (1175, 0.4745107642924841), (1822, 0.4745107642924841), (831, 0.4598016668659923), (347, 0.4598016668659923), (960, 0.44102340155530895), (230, 0.44102340155530895), (321, 0.44102340155530895), (520, 0.44102340155530895), (1674, 0.44102340155530895), (1303, 0.44102340155530895), (1548, 0.44102340155530895), (1294, 0.44102340155530895), (320, 0.44102340155530895), (1041, 0.44102340155530895), (1820, 0.44102340155530895), (930, 0.44102340155530895), (1443, 0.44102340155530895), (1956, 0.44102340155530895), (422, 0.44102340155530895), (682, 0.44102340155530895), (1073, 0.44102340155530895), (270, 0.44102340155530895)]
facebook/react 2101 : [(1078, 0.5469691611792874), (1550, 0.48266883714213055), (1859, 0.47710888771778076), (1981, 0.47710888771778076), (891, 0.47710888771778076), (1984, 0.4745107642924841), (214, 0.4745107642924841), (1175, 0.4598016668659923), (1963, 0.4598016668659923), (1265, 0.4598016668659923), (243, 0.4598016668659923), (1822, 0.4508214300195356), (201, 0.44102340155530895), (831, 0.44102340155530895), (1674, 0.44102340155530895), (230, 0.44102340155530895), (1424, 0.44102340155530895), (520, 0.44102340155530895), (801, 0.44102340155530895), (696, 0.44102340155530895), (926, 0.44102340155530895), (321, 0.44102340155530895), (711, 0.44102340155530895), (1294, 0.44102340155530895), (347, 0.44102340155530895), (2014, 0.44102340155530895), (1637, 0.44102340155530895), (870, 0.44102340155530895), (873, 0.44102340155530895), (225, 0.44102340155530895)]
