facebook/react 91 : [(36, 0.4241946610244058), (66, 0.41512268037578826)]
facebook/react 109 : [(105, 0.5310552493586153), (59, 0.5235301411813759), (81, 0.504932543310294), (107, 0.4657258097091793), (97, 0.4605206447316721), (57, 0.4247665847291674), (103, 0.4234360076669438), (72, 0.40990854134735366)]
facebook/react 141 : [(85, 0.49868967791907215), (112, 0.4248122938025293)]
facebook/react 338 : [(320, 0.5567141002910533), (270, 0.468993673021905), (201, 0.4415938102413832), (230, 0.42917478194504327), (321, 0.4247665847291674), (324, 0.4247665847291674), (225, 0.4247665847291674), (274, 0.4230991638549667), (236, 0.4224251559558524)]
facebook/react 644 : [(320, 0.5118441370440913), (443, 0.507388534862795), (243, 0.5051204082471092), (141, 0.49310071290009966), (462, 0.4879879154313292), (585, 0.48462302113689776), (357, 0.47866743299830244), (479, 0.4714574452853036), (477, 0.469458976536713), (464, 0.4644009248170738), (620, 0.45794050394887004), (73, 0.4571938324696917), (627, 0.4544646822684649), (433, 0.4544646822684649), (637, 0.4539654333842854), (501, 0.45306800001585357), (246, 0.4529381676989134), (282, 0.45272609320653273), (500, 0.45272609320653273), (435, 0.4510122105667092), (263, 0.45010192429884627), (270, 0.4415938102413832)]
facebook/react 1223 : [(1183, 0.5442374018639863), (1198, 0.527912146146509), (1208, 0.49873720006126077), (357, 0.4978835990301075), (435, 0.4904385775549874), (1215, 0.4879879154313292), (197, 0.48729785241276025), (1032, 0.4819476006418937), (912, 0.4780808205988369), (621, 0.468993673021905), (993, 0.4667252837873925), (1197, 0.462552703545758), (1195, 0.46239640693198536), (141, 0.46205515428704913), (433, 0.46119866177870356), (877, 0.46099602381827515), (919, 0.4565223783862324), (870, 0.45566580775824916), (1181, 0.45306800001585357), (1127, 0.45272609320653273), (888, 0.4512005884628541), (948, 0.45096076295336274), (991, 0.4474009353270313), (420, 0.44186055594450513), (989, 0.44186055594450513), (202, 0.4415938102413832), (1072, 0.43389800308031196), (913, 0.4318546798524281), (582, 0.4318546798524281), (1217, 0.43034420133795687)]
facebook/react 1318 : [(1237, 0.516682629361667), (1293, 0.48537300708405273), (1294, 0.481333043344146), (1256, 0.481333043344146), (664, 0.4754369890527018), (1310, 0.4754369890527018), (479, 0.4754369890527018), (1305, 0.47509464884143865), (936, 0.47509464884143865), (992, 0.4734367615487006), (912, 0.4714574452853036), (282, 0.4714574452853036), (962, 0.4714574452853036), (477, 0.4714574452853036), (620, 0.4714574452853036), (464, 0.4700741484373063), (1127, 0.469458976536713), (347, 0.468993673021905), (357, 0.46842503284954895), (888, 0.46842503284954895), (433, 0.466099607567795), (443, 0.466099607567795), (994, 0.466099607567795), (831, 0.44811072643525046), (306, 0.4455867778300559), (320, 0.4415938102413832), (321, 0.4415938102413832), (270, 0.4415938102413832), (1175, 0.4415938102413832), (1041, 0.4415938102413832)]
facebook/react 1339 : [(938, 0.5580551176119677), (1032, 0.5283400483231454), (1264, 0.5252809982857091), (1306, 0.521194968387333), (830, 0.51186349457724), (1183, 0.5075242608253393), (868, 0.5032777135552841), (735, 0.49249048854069233), (443, 0.4905327195360811), (1223, 0.4859838044762637), (689, 0.48015931586190386), (1309, 0.4699230196611571), (1172, 0.46906207296249275), (667, 0.46809421706220805), (333, 0.45793064446223947), (1327, 0.4545701690058126), (933, 0.45384073305822037), (1249, 0.4534783557249623), (489, 0.45272609320653273), (1224, 0.45073931249891963), (459, 0.4498519628710792), (1325, 0.44908957442148617), (970, 0.44605443597703726), (1240, 0.44605443597703726), (1072, 0.4446827401637977), (417, 0.44257444780124716), (1244, 0.44080447555565455), (435, 0.4405174385901439), (270, 0.4318546798524281), (582, 0.4318546798524281)]
facebook/react 1464 : [(1446, 0.49283511017739784), (723, 0.4675335899453597), (936, 0.4519674317355569), (63, 0.44892869284607), (1221, 0.44186055594450513), (1435, 0.44186055594450513), (402, 0.4247665847291674), (168, 0.4224251559558524), (1256, 0.4224251559558524), (1032, 0.4207602033075854), (1195, 0.4183633578065045), (1268, 0.40990854134735366), (382, 0.3971959971399325), (1434, 0.3764025686150028)]
facebook/react 1645 : [(1339, 0.5412470612461097), (1557, 0.53032321890199), (1009, 0.5016749534068554), (868, 0.4928379321293776), (830, 0.48765698825247966), (938, 0.4869246796196609), (1548, 0.4851961118566615), (689, 0.48015931586190386), (333, 0.46479105108740115), (1539, 0.46388834809335705), (1223, 0.462552703545758), (1526, 0.4565223783862324), (760, 0.45482886495420843), (735, 0.4520882079642353), (1195, 0.4520418705507533), (1335, 0.4495932540097638), (877, 0.4495932540097638), (1437, 0.44892869284607), (1072, 0.44827014119682007), (1389, 0.44790426080347207), (1327, 0.4474009353270313), (1264, 0.4471452827975787), (1221, 0.4431442544956152), (1590, 0.44186055594450513), (1240, 0.44186055594450513), (969, 0.44163993985321415), (913, 0.4415938102413832), (1271, 0.4415938102413832), (1172, 0.4412256372891313), (682, 0.44117951675906497)]
facebook/react 1882 : [(1821, 0.592015766847447), (943, 0.4667315643851774), (891, 0.4592999399701733), (1799, 0.4588248210550681), (1793, 0.44731907438789065), (403, 0.44253690983507926), (304, 0.44186055594450513), (286, 0.44186055594450513), (1822, 0.4415938102413832), (582, 0.4415938102413832), (926, 0.4415938102413832), (1290, 0.44101660009925947), (553, 0.4399108499931513), (1271, 0.4399108499931513), (1812, 0.4318546798524281), (604, 0.4318546798524281), (1630, 0.4318546798524281), (1175, 0.4318546798524281), (57, 0.4312728255036885), (35, 0.43018024268788274), (296, 0.43018024268788274), (849, 0.429887545372207), (1051, 0.429454367340554), (920, 0.4282393539639109), (1498, 0.42753467613788393), (1233, 0.4271987367627547), (969, 0.4265836617232265), (1637, 0.4263771424363189), (314, 0.4248122938025293), (463, 0.4248122938025293)]
facebook/react 1965 : [(1809, 0.5361635002383219), (1542, 0.5149210447941867), (1550, 0.5022774760873809), (1570, 0.5016219435633912), (1543, 0.49905200848059633), (1934, 0.49429722132101245), (962, 0.4924434595093428), (1922, 0.49152236744499284), (1446, 0.48974074022200825), (993, 0.48912463593674255), (1294, 0.4879879154313292), (464, 0.47962871714717326), (1293, 0.4742496580695388), (1568, 0.4741383000677625), (477, 0.4714574452853036), (479, 0.4714574452853036), (889, 0.4678774529779776), (992, 0.46613139539878873), (1598, 0.46429701420879516), (1237, 0.4629422645865922), (1601, 0.4601696111032496), (1127, 0.45794050394887004), (888, 0.45779907225449346), (433, 0.4570729628769656), (620, 0.45536645681590693), (1201, 0.4544646822684649), (1640, 0.4544646822684649), (1599, 0.4544646822684649), (1434, 0.45414410149677575), (1520, 0.45311435563542773)]
facebook/react 2000 : [(252, 0.4606548424977533), (1404, 0.45517103902279316), (1347, 0.44354506826295864), (1052, 0.4422008872846874), (907, 0.4415938102413832), (403, 0.4415938102413832), (1948, 0.4415938102413832), (930, 0.4415938102413832), (553, 0.4415938102413832), (926, 0.4415938102413832), (582, 0.4415938102413832), (1271, 0.4415938102413832), (1066, 0.4318546798524281), (1085, 0.43112811681428553), (409, 0.43034420133795687), (1565, 0.429887545372207), (588, 0.4282858981708119), (769, 0.4247665847291674), (660, 0.4247665847291674), (1941, 0.4247665847291674), (920, 0.4247665847291674), (428, 0.4247665847291674), (629, 0.4247665847291674), (434, 0.4234360076669438), (1301, 0.4234360076669438), (1568, 0.4224251559558524), (562, 0.4224251559558524), (991, 0.41512268037578826), (1621, 0.4138005812537283), (1520, 0.4138005812537283)]
facebook/react 2028 : [(1961, 0.4818637815818593), (1981, 0.4818637815818593), (1984, 0.4818637815818593), (1985, 0.4818637815818593), (1859, 0.4818637815818593), (214, 0.4818637815818593), (993, 0.481333043344146), (1972, 0.4783162470420163), (1175, 0.473571933592615), (1822, 0.473571933592615), (347, 0.46617253621876775), (831, 0.4605206447316721), (960, 0.4415938102413832), (230, 0.4415938102413832), (321, 0.4415938102413832), (520, 0.4415938102413832), (1674, 0.4415938102413832), (1303, 0.4415938102413832), (1548, 0.4415938102413832), (1294, 0.4415938102413832), (320, 0.4415938102413832), (1041, 0.4415938102413832), (1820, 0.4415938102413832), (930, 0.4415938102413832), (1443, 0.4415938102413832), (1956, 0.4415938102413832), (422, 0.4415938102413832), (682, 0.4415938102413832), (1073, 0.4415938102413832), (270, 0.4415938102413832)]
facebook/react 2101 : [(1078, 0.5204105924628845), (1859, 0.47908248920364177), (1981, 0.47908248920364177), (891, 0.47908248920364177), (1984, 0.473571933592615), (214, 0.473571933592615), (1550, 0.466099607567795), (1175, 0.4605206447316721), (1963, 0.4605206447316721), (1265, 0.4605206447316721), (243, 0.4605206447316721), (1822, 0.44811072643525046), (201, 0.4415938102413832), (831, 0.4415938102413832), (1674, 0.4415938102413832), (230, 0.4415938102413832), (1424, 0.4415938102413832), (520, 0.4415938102413832), (801, 0.4415938102413832), (696, 0.4415938102413832), (926, 0.4415938102413832), (321, 0.4415938102413832), (711, 0.4415938102413832), (1294, 0.4415938102413832), (347, 0.4415938102413832), (2014, 0.4415938102413832), (1637, 0.4415938102413832), (870, 0.4415938102413832), (873, 0.4415938102413832), (225, 0.4415938102413832)]
