facebook/react 91 : [(36, 0.42128350137391124), (66, 0.41462206147582353)]
facebook/react 109 : [(105, 0.5287033954693534), (59, 0.5217890363671047), (81, 0.5054565004668741), (107, 0.46429838277115215), (97, 0.4600980231019912), (57, 0.4231598575448136), (103, 0.4218753630121134), (72, 0.40882500319115594)]
facebook/react 141 : [(85, 0.4972200708470108), (112, 0.4217278165639225)]
facebook/react 338 : [(320, 0.5543037300104721), (270, 0.46857002934773734), (201, 0.44117435366760804), (230, 0.4282135513090996), (324, 0.4235113128348077), (321, 0.4231598575448136), (225, 0.4231598575448136), (236, 0.4218753630121134), (274, 0.4217278165639225)]
facebook/react 644 : [(320, 0.5066417028053722), (243, 0.5053553898898221), (443, 0.502176641810902), (141, 0.49152138828934555), (462, 0.4870040743163671), (585, 0.4842081082167206), (357, 0.4798168875742184), (479, 0.4718223090500388), (477, 0.4703450753001322), (464, 0.464043683843819), (73, 0.4568859450825568), (620, 0.4553765571831195), (637, 0.45371134142423025), (501, 0.45226767447872424), (435, 0.4521138378546117), (627, 0.45176121979116063), (282, 0.45176121979116063), (433, 0.45176121979116063), (500, 0.45176121979116063), (246, 0.45072138115200805), (263, 0.44899049856904627), (270, 0.44117435366760804)]
facebook/react 1223 : [(1183, 0.5438266675965526), (1198, 0.5248550095109586), (1208, 0.4993874819223264), (357, 0.49648981796572295), (435, 0.48998573164732917), (197, 0.4875149051564568), (1215, 0.4870040743163671), (1032, 0.480372992275383), (912, 0.4786583704459069), (621, 0.46857002934773734), (993, 0.4678852698233093), (1195, 0.462995633321327), (1197, 0.4611776241930449), (877, 0.45988863278238346), (433, 0.45951215099396264), (141, 0.45789186888528466), (870, 0.4558441184967721), (919, 0.4551154216375743), (1181, 0.45226767447872424), (1127, 0.45176121979116063), (888, 0.45072138115200805), (948, 0.44925563920136924), (991, 0.4458403839017627), (202, 0.44117435366760804), (420, 0.44047482840639435), (989, 0.4401200431131023), (913, 0.432192306086883), (582, 0.432192306086883), (1217, 0.4311620863257955), (1072, 0.4309872755556558)]
facebook/react 1318 : [(1237, 0.5178199645569739), (1293, 0.485354495935211), (1294, 0.4809303731764728), (1256, 0.4809303731764728), (664, 0.4757474778681005), (1310, 0.4757474778681005), (479, 0.4757474778681005), (1305, 0.47509685160995996), (936, 0.47509685160995996), (992, 0.4742689897994725), (912, 0.4718223090500388), (282, 0.4718223090500388), (962, 0.4718223090500388), (477, 0.4718223090500388), (620, 0.4718223090500388), (1127, 0.4703450753001322), (464, 0.4697816537158551), (357, 0.46970541376778674), (888, 0.46970541376778674), (347, 0.46857002934773734), (433, 0.46586196709139677), (443, 0.46586196709139677), (994, 0.46586196709139677), (831, 0.44769004251577704), (306, 0.44554667458724223), (320, 0.44117435366760804), (321, 0.44117435366760804), (270, 0.44117435366760804), (1175, 0.44117435366760804), (1041, 0.44117435366760804)]
facebook/react 1339 : [(938, 0.5555518674260668), (1032, 0.5260647708966796), (1264, 0.5241262198477306), (1306, 0.5177870903815665), (1183, 0.509802271606891), (830, 0.5091359177112229), (868, 0.5013633176823384), (735, 0.49216968672599193), (443, 0.4912082240813552), (1223, 0.4855230019055652), (689, 0.47984806538129526), (1309, 0.4707759460925365), (1172, 0.4661711694991851), (667, 0.4644802301764045), (333, 0.456228214584278), (1327, 0.4534147855339853), (933, 0.4524776785915338), (489, 0.45176121979116063), (1249, 0.4516426137918411), (1224, 0.4502932478524835), (459, 0.44941840589179166), (1325, 0.44764691464703904), (970, 0.44454009924880467), (1240, 0.44454009924880467), (1072, 0.4424185830523382), (435, 0.43882323072142937), (417, 0.43773310916069497), (1244, 0.4349491561478577), (270, 0.432192306086883), (582, 0.432192306086883)]
facebook/react 1464 : [(1446, 0.4901517580501619), (723, 0.4602586952068207), (936, 0.4503383649536123), (63, 0.4472279944226505), (1221, 0.4401200431131023), (1435, 0.4401200431131023), (402, 0.4231598575448136), (168, 0.4218753630121134), (1256, 0.4218753630121134), (1032, 0.4200937357404011), (1195, 0.41954128518344236), (1268, 0.4084770998458572), (382, 0.39533418825422273), (1434, 0.37648986499484)]
facebook/react 1645 : [(1339, 0.5391945543104502), (1557, 0.5268811121478489), (1009, 0.49874114316716517), (868, 0.48908865805201995), (1548, 0.48384434304471224), (830, 0.4837258580707501), (938, 0.48183410325279635), (689, 0.47984806538129526), (333, 0.4626694736817145), (1539, 0.4614953437556935), (1223, 0.4608198972277774), (1526, 0.4547584283039435), (760, 0.4533034860939887), (1195, 0.45226767447872424), (735, 0.45045770371418925), (1335, 0.44903559176562363), (877, 0.44903559176562363), (1389, 0.4472279944226505), (1437, 0.4472279944226505), (1327, 0.4458403839017627), (1072, 0.4452199539136595), (1264, 0.44405351107677477), (913, 0.44117435366760804), (1271, 0.44117435366760804), (682, 0.44062393608480754), (1240, 0.44047482840639435), (1590, 0.4401200431131023), (1221, 0.439982219374316), (1092, 0.4393731657404439), (969, 0.4393731657404439)]
facebook/react 1882 : [(1821, 0.5873332807076113), (943, 0.46077007637916584), (1799, 0.45828293473996506), (891, 0.45807366961699175), (1793, 0.44144553325589003), (1822, 0.44117435366760804), (582, 0.44117435366760804), (926, 0.44117435366760804), (403, 0.440532466647382), (304, 0.44047482840639435), (286, 0.44047482840639435), (553, 0.4393731657404439), (1271, 0.4393731657404439), (1290, 0.4392789484433566), (1812, 0.432192306086883), (604, 0.432192306086883), (1630, 0.432192306086883), (1175, 0.432192306086883), (849, 0.4307379626043373), (35, 0.43039954570486777), (296, 0.43039954570486777), (1051, 0.4293759690312466), (1233, 0.42831778793869163), (57, 0.4281763589598285), (969, 0.42632850124741506), (1637, 0.4262022918555095), (1498, 0.4259252311895922), (920, 0.42493740920556), (1182, 0.4231598575448136), (428, 0.4231598575448136)]
facebook/react 1965 : [(1809, 0.5333415048996925), (1542, 0.5127393350443985), (1570, 0.5016002697907341), (1550, 0.5012990020664063), (1543, 0.4942072141898555), (1934, 0.49287110358180475), (962, 0.49146741290755086), (1922, 0.4909719663551188), (1294, 0.48736375468678933), (1446, 0.4870040743163671), (993, 0.48514504096840455), (464, 0.47910603047605277), (1568, 0.47399495359983523), (477, 0.4718223090500388), (479, 0.4718223090500388), (1293, 0.46959168270054136), (992, 0.4647847872976457), (889, 0.4647847872976457), (1598, 0.4611776241930449), (1237, 0.45951215099396264), (1601, 0.45951215099396264), (888, 0.4561460538435134), (1127, 0.45573363017504287), (433, 0.45435803166661315), (1434, 0.4534534170385417), (620, 0.45292679994699947), (1727, 0.45253153894568526), (912, 0.45211781127120315), (1201, 0.45211781127120315), (1640, 0.45211781127120315)]
facebook/react 2000 : [(252, 0.4580420459324274), (1404, 0.4534534170385417), (1347, 0.44192187933092913), (907, 0.44117435366760804), (403, 0.44117435366760804), (1948, 0.44117435366760804), (930, 0.44117435366760804), (553, 0.44117435366760804), (926, 0.44117435366760804), (582, 0.44117435366760804), (1271, 0.44117435366760804), (1052, 0.44062393608480754), (1066, 0.432192306086883), (1085, 0.4311676932233109), (409, 0.4311620863257955), (1565, 0.4307379626043373), (588, 0.4270573661366256), (660, 0.4235113128348077), (1941, 0.4235113128348077), (769, 0.4231598575448136), (920, 0.4231598575448136), (428, 0.4231598575448136), (629, 0.4231598575448136), (1568, 0.4218753630121134), (434, 0.4218753630121134), (562, 0.4218753630121134), (1301, 0.4218753630121134), (991, 0.41427268192685335), (1561, 0.41325408894986043), (333, 0.41325408894986043)]
facebook/react 2028 : [(1961, 0.4816726208330606), (1981, 0.4816726208330606), (1984, 0.4816726208330606), (1985, 0.4816726208330606), (1859, 0.4816726208330606), (214, 0.4816726208330606), (993, 0.4809303731764728), (1972, 0.47743939999983626), (1175, 0.47301504515283155), (1822, 0.47301504515283155), (347, 0.46574920571889195), (831, 0.4600980231019912), (960, 0.44117435366760804), (230, 0.44117435366760804), (321, 0.44117435366760804), (520, 0.44117435366760804), (1674, 0.44117435366760804), (1303, 0.44117435366760804), (1548, 0.44117435366760804), (1294, 0.44117435366760804), (320, 0.44117435366760804), (1041, 0.44117435366760804), (1820, 0.44117435366760804), (930, 0.44117435366760804), (1443, 0.44117435366760804), (1956, 0.44117435366760804), (422, 0.44117435366760804), (682, 0.44117435366760804), (1073, 0.44117435366760804), (270, 0.44117435366760804)]
facebook/react 2101 : [(1078, 0.5186322761384714), (1859, 0.47762863495643826), (1981, 0.47762863495643826), (891, 0.47762863495643826), (1984, 0.47301504515283155), (214, 0.47301504515283155), (1550, 0.46586196709139677), (1175, 0.4600980231019912), (1963, 0.4600980231019912), (1265, 0.4600980231019912), (243, 0.4600980231019912), (1822, 0.44769004251577704), (201, 0.44117435366760804), (831, 0.44117435366760804), (1674, 0.44117435366760804), (230, 0.44117435366760804), (1424, 0.44117435366760804), (520, 0.44117435366760804), (801, 0.44117435366760804), (696, 0.44117435366760804), (926, 0.44117435366760804), (321, 0.44117435366760804), (711, 0.44117435366760804), (1294, 0.44117435366760804), (347, 0.44117435366760804), (2014, 0.44117435366760804), (1637, 0.44117435366760804), (870, 0.44117435366760804), (873, 0.44117435366760804), (225, 0.44117435366760804)]
