JuliaLang/julia 22233 : [(22169, 0.5485865730000556), (14165, 0.4619787946899392), (21874, 0.4572015167511658), (14968, 0.45549075967291625), (5535, 0.45267793515199195), (14696, 0.4476696735826196), (21858, 0.4476696735826196), (1427, 0.4430013730323306), (22223, 0.44271053242629116), (13981, 0.44271053242629116), (2651, 0.44271053242629116), (13983, 0.44271053242629116), (13362, 0.4412562953503631), (1432, 0.43883294515111504), (18541, 0.4362809711600346), (11821, 0.4362809711600346), (3581, 0.4362809711600346), (2423, 0.4362809711600346), (20833, 0.4362809711600346), (12519, 0.43627367244882054), (19342, 0.43599756441483234), (22154, 0.4328319703964961), (9014, 0.4328319703964961), (14979, 0.4327354477699557), (21629, 0.4310662678607423), (19644, 0.4310662678607423), (13524, 0.42923266917921143), (14504, 0.42922092039318455), (17633, 0.4270341842136285), (22166, 0.42663775769909984)]
angular/angular.js 10711 : [(10327, 0.5733980181902688), (7124, 0.5208118983606741), (6876, 0.5157991674801135), (1028, 0.5069779521077021), (3658, 0.5028177971657983), (4779, 0.5018813013327869), (2561, 0.4917674275712892), (2897, 0.48983320462173874), (8913, 0.48657516774868786), (666, 0.48323423264976084), (6369, 0.48254096763017346), (6489, 0.4822259922264359), (8687, 0.4817584109087103), (5640, 0.48109851957386746), (1121, 0.48109851957386746), (2129, 0.48063473928321404), (4788, 0.4804395421332258), (7094, 0.4775953892131), (656, 0.47631942223988966), (5423, 0.47504586516619896), (5543, 0.4747519180858555), (4797, 0.4734247856535232), (9002, 0.472624609320551), (9193, 0.47214577677264763), (6945, 0.4690780845430589), (4553, 0.46777939446765143), (1077, 0.467409613891294), (10678, 0.4669729155139393), (43, 0.4669729155139393), (602, 0.46575119319393626)]
angular/angular.js 1851 : [(1701, 0.5855506276723191), (1676, 0.5547024455934187), (929, 0.5094178758373467), (1364, 0.4903191889013652), (1230, 0.4801166580347133), (1395, 0.46397807562807436), (1209, 0.46385932743689967), (1047, 0.4609483662777405), (1836, 0.45942313597450746), (1643, 0.4579364670992176), (700, 0.4509633245634331), (1046, 0.44653057578154653), (1623, 0.44170473949278494), (1066, 0.44170473949278494), (728, 0.4412730871354583), (1361, 0.4400333545985588), (509, 0.43974292419323335), (1757, 0.4383715654923794), (1455, 0.43808137382500467), (999, 0.4362809711600346), (874, 0.4362809711600346), (863, 0.4362809711600346), (650, 0.4362809711600346), (1498, 0.43332295012323), (1043, 0.43332295012323), (1028, 0.43332295012323), (666, 0.43332295012323), (664, 0.43332295012323), (663, 0.43332295012323), (577, 0.43332295012323)]
angular/angular.js 2273 : [(1084, 0.6706050473966295), (2205, 0.519580128981547), (1758, 0.5181937082734762), (2141, 0.4806897529708668), (1108, 0.4803061117420263), (1115, 0.4759157097188534), (1196, 0.4733178677046989), (2252, 0.4669729155139393), (819, 0.4620711351794635), (1155, 0.45731638132956637), (2223, 0.45655474256857614), (1552, 0.4542679365170033), (1566, 0.45133045549525497), (1849, 0.45024724496630664), (656, 0.4479909973945224), (1887, 0.447984865943331), (972, 0.4479740094033058), (485, 0.44539920785520304), (477, 0.44498645245123253), (1498, 0.44435710780686233), (2032, 0.44311558244187854), (1560, 0.44070486320422586), (1559, 0.44070486320422586), (1253, 0.4400333545985588), (1470, 0.43883294515111504), (1147, 0.43689925623874226), (986, 0.4362809711600346), (863, 0.4362809711600346), (1524, 0.4344490454671478), (2026, 0.433230487242493)]
angular/angular.js 2488 : [(2381, 0.6081185134217753), (2396, 0.574082754371568), (2405, 0.529860979097621), (2292, 0.46289779365396294), (1552, 0.44969742756302056), (2415, 0.44539920785520304), (1196, 0.44539920785520304), (485, 0.44539920785520304), (2223, 0.44469534908101227), (2331, 0.44442093786185427), (2298, 0.44271053242629116), (2273, 0.4423065803286051), (1084, 0.43974292419323335), (1938, 0.4336355801858391), (2482, 0.4333156628594269), (1932, 0.4317705086133237), (1871, 0.4317705086133237), (1155, 0.4317705086133237), (972, 0.4306848546490631), (1108, 0.4296297205507595), (2032, 0.42952486087026526), (1253, 0.42952486087026526), (1866, 0.4293343155191485), (1254, 0.4293343155191485), (2358, 0.42922092039318455), (1470, 0.42922092039318455), (1140, 0.42922092039318455), (2413, 0.42884112481305225), (2026, 0.4271439054645147), (2359, 0.4265628780701179)]
angular/angular.js 4308 : [(3848, 0.5639647805884602), (1617, 0.5398452886828515), (4284, 0.5043094470423234), (4270, 0.4986724732921368), (3681, 0.4958123238247149), (3043, 0.4863832296234651), (1710, 0.48072320239939687), (2971, 0.47964098233674796), (4176, 0.47951259112478556), (1115, 0.4780943434709933), (1108, 0.4780943434709933), (1528, 0.4651170579823308), (2040, 0.45908065647031193), (2345, 0.45898840368063903), (786, 0.45898840368063903), (2793, 0.45606547901915717), (728, 0.4525070437635329), (1446, 0.45212377933040354), (1151, 0.44837443888310835), (7, 0.44837443888310835), (2550, 0.44796115332494313), (3824, 0.4472648281267864), (1783, 0.44539920785520304), (663, 0.44539920785520304), (3565, 0.4452432017243826), (2978, 0.4452432017243826), (2061, 0.44498645245123253), (1849, 0.44498645245123253), (1676, 0.44469534908101227), (4242, 0.4442428336720037)]
angular/angular.js 4530 : [(4410, 0.5720634309796082), (2429, 0.4923626870761742), (1185, 0.4923626870761742), (4351, 0.47631942223988966), (3280, 0.47323497132373915), (4188, 0.47028766205294875), (275, 0.4664309310493755), (3832, 0.4638437445167525), (3014, 0.4619787946899392), (3831, 0.4594873062333931), (1106, 0.4572535661651224), (4415, 0.45696104505052504), (4063, 0.45696104505052504), (1353, 0.45696104505052504), (907, 0.45696104505052504), (4399, 0.45166058105119544), (2978, 0.45166058105119544), (4400, 0.44837443888310835), (4384, 0.44837443888310835), (1334, 0.4462491583676604), (982, 0.4452432017243826), (2443, 0.4442428336720037), (1946, 0.4442428336720037), (1300, 0.4442428336720037), (4390, 0.44271053242629116), (4191, 0.44271053242629116), (3635, 0.44271053242629116), (4263, 0.44262790459736506), (3706, 0.44262790459736506), (3662, 0.44262790459736506)]
angular/angular.js 6807 : [(6801, 0.6511814249445586), (4616, 0.5116701507291097), (1028, 0.5062966294798151), (6598, 0.49606230291242787), (6501, 0.49458376599342835), (4779, 0.4924783705807672), (5163, 0.4917506852279081), (4589, 0.490132098216432), (966, 0.4893545058252378), (957, 0.4893545058252378), (949, 0.4893545058252378), (6781, 0.48845650517610656), (2738, 0.4820742120531357), (3437, 0.4801345743048431), (4649, 0.4801166580347133), (44, 0.4788583319791419), (6181, 0.47825558430229065), (3489, 0.47631942223988966), (4217, 0.4744594832964059), (6242, 0.47038303008356747), (2061, 0.47038303008356747), (4667, 0.47028766205294875), (2882, 0.46777939446765143), (5639, 0.4669729155139393), (4360, 0.4669550492294392), (3927, 0.4651170579823308), (1793, 0.46453813439173264), (1359, 0.4644787654568231), (4149, 0.46354428231335665), (5609, 0.4633424153458741)]
angular/angular.js 9905 : [(7905, 0.5396465488411096), (7778, 0.5296674637202013), (4204, 0.5256802044597997), (8005, 0.5155862432371714), (8558, 0.5147524520766121), (8785, 0.5095509690786721), (2631, 0.5088075643780287), (3544, 0.5067400458812767), (9513, 0.5053030182216771), (8788, 0.5039491978120031), (2270, 0.49943550547319543), (7564, 0.49831223817588927), (5279, 0.4982445092049187), (6507, 0.49730644732987284), (6335, 0.49730644732987284), (9071, 0.4969297164815741), (8638, 0.49642736190650627), (5507, 0.48768871886245463), (8828, 0.48765733396291105), (5760, 0.4871470640170053), (5056, 0.48452241135235363), (8963, 0.48323423264976084), (1631, 0.4829998910822088), (8125, 0.48072320239939687), (4234, 0.47897383632603374), (6784, 0.47888656271698543), (8635, 0.4788583319791419), (7800, 0.4788583319791419), (4625, 0.47699613229961846), (4682, 0.4764721947893308)]
ansible/ansible 10258 : [(9565, 0.5705723994887449), (6569, 0.4923626870761742), (6481, 0.4923626870761742), (5866, 0.49025901324657095), (9044, 0.48323423264976084), (7104, 0.48323423264976084), (2915, 0.48323423264976084), (2908, 0.48323423264976084), (9619, 0.4788583319791419), (8435, 0.4788583319791419), (6937, 0.4788583319791419), (79, 0.4788583319791419), (7065, 0.47631942223988966), (6359, 0.47631942223988966), (4308, 0.47631942223988966), (8607, 0.47028766205294875), (8168, 0.47028766205294875), (7659, 0.47028766205294875), (10141, 0.4669729155139393), (9002, 0.4669729155139393), (8150, 0.4669729155139393), (7748, 0.4669729155139393), (7196, 0.4669729155139393), (6578, 0.4669729155139393), (5896, 0.4669729155139393), (5599, 0.4669729155139393), (4784, 0.4669729155139393), (2759, 0.4669729155139393), (2528, 0.4669729155139393), (553, 0.4669729155139393)]
