JuliaLang/julia 22233 : [(22169, 0.5659731330934534), (6121, 0.4747619005313134), (21771, 0.46676286876278933), (9270, 0.46328392629075144), (22220, 0.4242796570285206), (22154, 0.4242796570285206), (21629, 0.4242796570285206), (20808, 0.4242796570285206), (20624, 0.4242796570285206), (19644, 0.4242796570285206), (19492, 0.4242796570285206), (18281, 0.4242796570285206), (16143, 0.4242796570285206), (15746, 0.4242796570285206), (15725, 0.4242796570285206), (15403, 0.4242796570285206), (14792, 0.4242796570285206), (14745, 0.4242796570285206), (13276, 0.4242796570285206), (12713, 0.4242796570285206), (12519, 0.4242796570285206), (12006, 0.4242796570285206), (11821, 0.4242796570285206), (11547, 0.4242796570285206), (11525, 0.4242796570285206), (11467, 0.4242796570285206), (9365, 0.4242796570285206), (9014, 0.4242796570285206), (8871, 0.4242796570285206), (8685, 0.4242796570285206)]
angular/angular.js 10711 : [(10327, 0.5626642189769854), (9002, 0.5198513411740068), (5640, 0.5196631737433289), (8687, 0.518480779146916), (7124, 0.5149889443730511), (6876, 0.5149889443730511), (3658, 0.5149889443730511), (2897, 0.5149889443730511), (6002, 0.5129957122283582), (7094, 0.5105214252434208), (2561, 0.5105214252434208), (6489, 0.5069663347679394), (1121, 0.502496306616672), (1028, 0.502496306616672), (8987, 0.50022272859855), (4779, 0.49809361667658747), (2988, 0.49521197925033533), (7866, 0.4925881963865039), (3135, 0.4860651011283098), (10168, 0.4838963463734619), (10104, 0.4838963463734619), (9997, 0.4838963463734619), (9928, 0.4838963463734619), (9898, 0.4838963463734619), (9891, 0.4838963463734619), (9874, 0.4838963463734619), (9870, 0.4838963463734619), (9702, 0.4838963463734619), (9604, 0.4838963463734619), (9264, 0.4838963463734619)]
angular/angular.js 1851 : [(1676, 0.5554157378137727), (1701, 0.5540596091664151), (1364, 0.5198513411740068), (1209, 0.5055672799427725), (1643, 0.5020142798906911), (929, 0.49938632946752404), (1066, 0.4925881963865039), (1454, 0.4838963463734619), (1836, 0.48344336748976396), (1623, 0.48344336748976396), (1757, 0.4703724624648646), (1455, 0.4703724624648646), (1230, 0.46775833390329696), (1710, 0.4623822810322007), (1043, 0.4623822810322007), (1028, 0.4623822810322007), (717, 0.4623822810322007), (1047, 0.45977400925836226), (1046, 0.45977400925836226), (1408, 0.4485216477858399), (891, 0.4485216477858399), (1456, 0.4396233971463491), (1834, 0.4242796570285206), (1810, 0.4242796570285206), (1790, 0.4242796570285206), (1787, 0.4242796570285206), (1768, 0.4242796570285206), (1756, 0.4242796570285206), (1722, 0.4242796570285206), (1694, 0.4242796570285206)]
angular/angular.js 2273 : [(1084, 0.6760603540671785), (2205, 0.502496306616672), (2141, 0.49809361667658747), (1758, 0.49809361667658747), (1115, 0.49809361667658747), (1108, 0.49809361667658747), (656, 0.4396233971463491), (2085, 0.4353772313490155), (2026, 0.4353772313490155), (2252, 0.4242796570285206), (2189, 0.4242796570285206), (1965, 0.4242796570285206), (1951, 0.4242796570285206), (1787, 0.4242796570285206), (1768, 0.4242796570285206), (1470, 0.4242796570285206), (1385, 0.4242796570285206), (1209, 0.4242796570285206), (1140, 0.4242796570285206), (986, 0.4242796570285206), (863, 0.4242796570285206), (819, 0.4242796570285206), (2223, 0.41998374995474297), (2216, 0.41998374995474297), (2203, 0.41998374995474297), (2108, 0.41998374995474297), (2073, 0.41998374995474297), (2032, 0.41998374995474297), (1992, 0.41998374995474297), (1990, 0.41998374995474297)]
angular/angular.js 2488 : [(2396, 0.5987695242669588), (2381, 0.559681683887357), (2405, 0.5561567181095947), (2292, 0.5085396221496534), (2331, 0.48235576235192384), (2298, 0.4747619005313134), (2415, 0.4703724624648646), (2311, 0.4703724624648646), (1115, 0.4623822810322007), (1108, 0.4623822810322007), (2413, 0.4353772313490155), (2358, 0.4242796570285206), (1932, 0.4242796570285206), (1871, 0.4242796570285206), (1787, 0.4242796570285206), (1470, 0.4242796570285206), (1155, 0.4242796570285206), (1140, 0.4242796570285206), (2482, 0.41998374995474297), (2359, 0.41998374995474297), (2288, 0.41998374995474297), (2284, 0.41998374995474297), (2273, 0.41998374995474297), (2223, 0.41998374995474297), (2203, 0.41998374995474297), (2032, 0.41998374995474297), (2026, 0.41998374995474297), (1938, 0.41998374995474297), (1930, 0.41998374995474297), (1906, 0.41998374995474297)]
angular/angular.js 4308 : [(3848, 0.5285166723593845), (3043, 0.5152658538213784), (4284, 0.511772359261405), (3681, 0.511772359261405), (1617, 0.511772359261405), (4270, 0.5026241699352022), (1710, 0.5025640431915165), (2971, 0.49809361667658747), (1115, 0.49809361667658747), (4176, 0.49551883802597796), (1108, 0.4945977529929885), (2509, 0.4794995540060384), (2001, 0.4794995540060384), (4175, 0.4760104236089634), (3689, 0.4760104236089634), (3685, 0.4760104236089634), (3605, 0.4760104236089634), (2854, 0.4760104236089634), (2482, 0.4760104236089634), (2172, 0.4760104236089634), (4286, 0.4747619005313134), (3460, 0.4703724624648646), (2793, 0.4668901725751632), (1528, 0.4668901725751632), (991, 0.4668901725751632), (2612, 0.46676286876278933), (2202, 0.46676286876278933), (870, 0.46676286876278933), (717, 0.46676286876278933), (3566, 0.4623822810322007)]
angular/angular.js 4530 : [(4410, 0.5538690089220605), (4390, 0.4838963463734619), (4283, 0.4838963463734619), (4254, 0.4838963463734619), (4252, 0.4838963463734619), (4251, 0.4838963463734619), (4247, 0.4838963463734619), (3749, 0.4838963463734619), (3641, 0.4838963463734619), (2976, 0.4838963463734619), (1174, 0.4838963463734619), (1458, 0.4747619005313134), (1176, 0.4747619005313134), (1175, 0.4747619005313134), (1173, 0.4747619005313134), (1172, 0.4747619005313134), (4415, 0.46676286876278933), (1421, 0.46676286876278933), (1145, 0.46676286876278933), (4512, 0.4242796570285206), (4502, 0.4242796570285206), (4468, 0.4242796570285206), (4457, 0.4242796570285206), (4451, 0.4242796570285206), (4420, 0.4242796570285206), (4412, 0.4242796570285206), (4411, 0.4242796570285206), (4409, 0.4242796570285206), (4405, 0.4242796570285206), (4400, 0.4242796570285206)]
angular/angular.js 6807 : [(6801, 0.6613904648694955), (5163, 0.5198513411740068), (4589, 0.5196631737433289), (6781, 0.5039713732318652), (4616, 0.5026241699352022), (6598, 0.5010041657093731), (6501, 0.49809361667658747), (4540, 0.4958903570330987), (1359, 0.4932664921323319), (1028, 0.48873740383420367), (5479, 0.4860651011283098), (2738, 0.4860651011283098), (6759, 0.4838963463734619), (6110, 0.4838963463734619), (5639, 0.4838963463734619), (5599, 0.4838963463734619), (5350, 0.4838963463734619), (5310, 0.4838963463734619), (5135, 0.4838963463734619), (5133, 0.4838963463734619), (4187, 0.4838963463734619), (3995, 0.4838963463734619), (3937, 0.4838963463734619), (3489, 0.4838963463734619), (3468, 0.4838963463734619), (3392, 0.4838963463734619), (3362, 0.4838963463734619), (2279, 0.4838963463734619), (1931, 0.4838963463734619), (4882, 0.48040475140396066)]
angular/angular.js 9905 : [(7905, 0.5428325529894643), (8788, 0.5383196061642551), (8785, 0.535706051350329), (7778, 0.5332741528613834), (5066, 0.5204122892973857), (2631, 0.5204122892973857), (8558, 0.5149889443730511), (2270, 0.5079935883560273), (6335, 0.5070941761600603), (8828, 0.5061199530561954), (3544, 0.5061199530561954), (9810, 0.5055672799427725), (5760, 0.5055672799427725), (4204, 0.5053698835531466), (8125, 0.5025640431915165), (5056, 0.5025640431915165), (5279, 0.5018128958963985), (1631, 0.49918872509185547), (6507, 0.49906800207243013), (9513, 0.49809361667658747), (8005, 0.4978449752385175), (9079, 0.49754087859650864), (9071, 0.4945977529929885), (6908, 0.49404507567531725), (7564, 0.493987929288543), (7489, 0.4913605378503889), (8736, 0.4860651011283098), (9587, 0.4852437201948176), (9326, 0.4852437201948176), (8405, 0.48257248945685316)]
ansible/ansible 10258 : [(9565, 0.6065632181226785), (9883, 0.4838963463734619), (9423, 0.4838963463734619), (7546, 0.4838963463734619), (6496, 0.4838963463734619), (4966, 0.4838963463734619), (10035, 0.48040475140396066), (9878, 0.48040475140396066), (9591, 0.48040475140396066), (8679, 0.48040475140396066), (8364, 0.48040475140396066), (7748, 0.48040475140396066), (7196, 0.48040475140396066), (6958, 0.48040475140396066), (10089, 0.4747619005313134), (9379, 0.4747619005313134), (9233, 0.4747619005313134), (6492, 0.4747619005313134), (6481, 0.4747619005313134), (6336, 0.4747619005313134), (9636, 0.4712760303905754), (6537, 0.4712760303905754), (5552, 0.4712760303905754), (9143, 0.46676286876278933), (8215, 0.46676286876278933), (7831, 0.46676286876278933), (7668, 0.46676286876278933), (7359, 0.46676286876278933), (7002, 0.46676286876278933), (6572, 0.46676286876278933)]
