JuliaLang/julia 22233 : [(22169, 0.5570803119236235), (6121, 0.4616948223950742), (14165, 0.4600980231019912), (21771, 0.4535721052356646), (9270, 0.45122762956319123), (5535, 0.45000778154876875), (21874, 0.44702599864398374), (14968, 0.4439668450661913), (13524, 0.4435685691372956), (1427, 0.4419218793309288), (21858, 0.4406239360848076), (14696, 0.4406239360848076), (22223, 0.4406239360848076), (13362, 0.4339460304008256), (11821, 0.432192306086883), (2423, 0.432192306086883), (20833, 0.432192306086883), (3581, 0.432192306086883), (18541, 0.43116208632579556), (9014, 0.43073796260433733), (22154, 0.43073796260433733), (2651, 0.42961402906961277), (13981, 0.4283244904210746), (13983, 0.4283244904210746), (21629, 0.4263285012474153), (19644, 0.4263285012474153), (1432, 0.4262772859694051), (17633, 0.42544304609051936), (14979, 0.4247898501813121), (19342, 0.4247898501813121)]
angular/angular.js 10711 : [(10327, 0.5526753959882774), (7124, 0.5258078462684262), (6876, 0.5169363202612386), (6369, 0.5124317643165297), (4788, 0.5124317643165297), (1028, 0.5104651359632846), (4797, 0.5083828237882304), (9193, 0.5083828237882304), (3658, 0.5075898613089417), (4779, 0.5053553898898221), (8687, 0.5053035318600007), (1077, 0.5048841244797085), (4553, 0.5037586491693031), (8913, 0.5031716828563434), (2561, 0.5022530171479773), (2085, 0.5009940930044231), (3284, 0.49981317238930695), (5346, 0.49646546052848545), (9002, 0.49397557846660267), (2897, 0.4936541051406952), (6243, 0.4931504667135789), (5640, 0.4931443877470413), (3251, 0.4907839551770764), (5780, 0.4907839551770764), (8250, 0.48960348803723813), (8979, 0.48960348803723813), (4734, 0.489384195013346), (5872, 0.489384195013346), (1121, 0.487514905156457), (6489, 0.4873129214924547)]
angular/angular.js 1851 : [(1701, 0.5779472932269408), (1676, 0.548683247193695), (929, 0.5257597456196414), (1364, 0.5191206967923433), (1230, 0.5007505344321393), (1209, 0.4936981290489604), (1643, 0.4921140758738926), (1047, 0.48502411991116656), (1836, 0.47972303227609353), (1028, 0.46895532230267484), (1043, 0.46895532230267484), (1066, 0.4687425726678717), (1046, 0.46596004464686674), (1757, 0.4647340715413066), (1623, 0.4645949360095753), (1395, 0.46393098031978347), (1455, 0.4634247646349069), (1454, 0.45785376942399425), (717, 0.45064963307417566), (1710, 0.45045770371418903), (700, 0.44903559176562374), (1361, 0.44012004311310166), (728, 0.43937316574044355), (509, 0.4388232307214291), (863, 0.432192306086883), (874, 0.432192306086883), (650, 0.432192306086883), (999, 0.43116208632579556), (577, 0.4303995457048675), (664, 0.4303995457048675)]
angular/angular.js 2273 : [(1084, 0.6614350993667333), (2205, 0.5278908458822107), (1758, 0.5012977404690486), (2141, 0.487363754686789), (1108, 0.48588262446253305), (1115, 0.4810266114587761), (1196, 0.46675041261083566), (2252, 0.4600980231019912), (1155, 0.45924189361909457), (819, 0.45511542163757435), (2223, 0.44888592183255055), (1552, 0.44852979259195497), (1566, 0.4481994542551976), (1887, 0.4472279944226503), (656, 0.4429694671623248), (2032, 0.44012004311310166), (477, 0.44012004311310166), (1498, 0.43937316574044355), (485, 0.43937316574044355), (972, 0.4328914992465268), (1849, 0.4328914992465268), (863, 0.432192306086883), (986, 0.43116208632579556), (1559, 0.4291957354064332), (1560, 0.4291957354064332), (1253, 0.4278239053301843), (1524, 0.42642490041467507), (1470, 0.4262772859694051), (1147, 0.42526995274228707), (2026, 0.42493740920555995)]
angular/angular.js 2488 : [(2381, 0.5937156066089664), (2396, 0.5654855390876243), (2405, 0.5250923830708828), (2292, 0.4875742668542577), (2298, 0.484304069959041), (2415, 0.48303637807251504), (2331, 0.4695916827005413), (2311, 0.4546221034505446), (1108, 0.4517612197911599), (1115, 0.4458403839017625), (2223, 0.4444282046682448), (1196, 0.43937316574044355), (485, 0.43937316574044355), (1552, 0.4388232307214291), (2273, 0.4278239053301843), (2482, 0.42653572181096966), (1084, 0.42653572181096966), (1938, 0.42526995274228707), (1155, 0.42351131283480753), (1932, 0.42315985754481333), (2358, 0.42187536301211354), (1140, 0.42187536301211354), (1470, 0.42187536301211354), (1871, 0.42172781656392205), (1675, 0.42137675950182474), (671, 0.42137675950182474), (2359, 0.42137675950182474), (891, 0.42137675950182474), (1230, 0.42137675950182474), (989, 0.42137675950182474)]
angular/angular.js 4308 : [(3848, 0.5540164364278221), (1617, 0.5345023473807876), (4284, 0.5004453918184836), (3043, 0.49449583465197205), (4270, 0.4934423174549769), (3681, 0.49263332841252544), (1528, 0.48983155772186066), (1710, 0.48867023171226176), (1108, 0.48568895618595814), (1115, 0.48568895618595814), (2793, 0.4837934274759547), (2971, 0.483566806140491), (3566, 0.4791060304760526), (4176, 0.4748466638791285), (2202, 0.47182230905003886), (3685, 0.4667799839508085), (3689, 0.4664216730678898), (2172, 0.4664216730678898), (2854, 0.4664216730678898), (870, 0.4658619670913972), (2482, 0.46511174301401265), (4286, 0.46332965224629485), (1328, 0.4608198972277767), (786, 0.4582829347399648), (4175, 0.4573462824829353), (2001, 0.4573462824829353), (3605, 0.4560400562726506), (2141, 0.45501647700097697), (2040, 0.45330348609398835), (717, 0.4522676744787243)]
angular/angular.js 4530 : [(4410, 0.5740285631406173), (4415, 0.4888802791315592), (1185, 0.4816726208330606), (2429, 0.4816726208330606), (1174, 0.47531998262726183), (1176, 0.47470023355143964), (1172, 0.4742689897994729), (1175, 0.4742689897994729), (4390, 0.4735043323147272), (4188, 0.46857002934773745), (4351, 0.46857002934773745), (3280, 0.46337567066760743), (1421, 0.46072486041284627), (3014, 0.4600980231019912), (275, 0.4597067227649954), (3832, 0.45804204593242714), (3749, 0.45785376942399425), (1145, 0.4567505604376589), (3831, 0.453453417038542), (1106, 0.44903559176562374), (907, 0.44903559176562374), (1353, 0.44903559176562374), (4063, 0.44903559176562374), (982, 0.4455466745872422), (4283, 0.4415122330002406), (3641, 0.4415122330002406), (1300, 0.4411743536676082), (4384, 0.4411743536676082), (4399, 0.4411743536676082), (4400, 0.4411743536676082)]
angular/angular.js 6807 : [(6801, 0.6328690590106695), (1028, 0.5218832511409265), (4616, 0.5195281624248308), (3489, 0.5141768416169817), (5163, 0.5123272364698179), (6781, 0.512162702699179), (5639, 0.5056648567786344), (3437, 0.5038885993531752), (4589, 0.5020257725636444), (4649, 0.5019314473224261), (2738, 0.5011179913392805), (6598, 0.49648981796572267), (4217, 0.49629033770357567), (3514, 0.49629033770357567), (4149, 0.49435908752835345), (6064, 0.493999219468771), (5310, 0.4931504667135789), (3921, 0.4923548564529437), (6242, 0.4923038994994322), (1860, 0.48983155772186066), (1022, 0.4894717950539288), (2617, 0.48895744409875436), (3927, 0.48895744409875436), (2061, 0.48836938096904947), (5479, 0.4877968906274568), (5135, 0.4876730662927119), (5133, 0.48731337464607444), (6501, 0.4863146599480715), (5698, 0.4858470865314094), (3540, 0.48496854546585594)]
angular/angular.js 9905 : [(7564, 0.5365821347543306), (5279, 0.527762700843677), (7905, 0.5268575360079283), (7778, 0.5237162639056143), (4204, 0.5218004387695366), (8558, 0.5207650420334807), (8785, 0.5184121258065063), (8963, 0.5176268407104525), (8005, 0.5174914343358096), (8788, 0.5167796269484027), (8638, 0.5158016216035072), (2631, 0.5137514829131424), (8635, 0.5130063243174922), (7800, 0.5130063243174922), (4234, 0.5111801322320902), (5760, 0.5092069763405618), (8577, 0.502014306854897), (1415, 0.5015031504501182), (5507, 0.5013633176823382), (1247, 0.5009482696397279), (8190, 0.4997831386946999), (9513, 0.49937194509853083), (9071, 0.49929053664801176), (5261, 0.4979636113477962), (4730, 0.4979636113477962), (1904, 0.4979636113477962), (4492, 0.4978123681281727), (4682, 0.4978123681281727), (4905, 0.4974524593594145), (7445, 0.4974524593594145)]
ansible/ansible 10258 : [(9565, 0.5913285609062614), (6481, 0.5216712804565121), (7196, 0.5113456416903567), (7748, 0.5113456416903567), (4784, 0.5057156918103216), (6496, 0.48655600886204825), (7668, 0.485354495935211), (9379, 0.4848617560279891), (6537, 0.4848617560279891), (9636, 0.4848617560279891), (5866, 0.4816726208330606), (6569, 0.4816726208330606), (9233, 0.4809303731764729), (6572, 0.4809303731764729), (7002, 0.4809303731764729), (9143, 0.4809303731764729), (9591, 0.4807174455066235), (5650, 0.47901057281309856), (10053, 0.47901057281309856), (9044, 0.477628634956438), (2908, 0.477628634956438), (2915, 0.477628634956438), (7104, 0.477628634956438), (7546, 0.4774393999998364), (8679, 0.4774393999998364), (9878, 0.4763918156741343), (6336, 0.47574747786810073), (6492, 0.47574747786810073), (79, 0.4730150451528319), (8435, 0.4730150451528319)]
ansible/ansible 11461 : [(11459, 0.6240187343401331), (11265, 0.4996256769747901), (5830, 0.46206688712140537), (11452, 0.4600980231019912), (11232, 0.4584517583300937), (5072, 0.45804204593242714), (6752, 0.453453417038542), (8737, 0.4529467325724649), (8127, 0.4522676744787243), (9127, 0.44903559176562374), (9930, 0.4453395330830473), (8072, 0.4439668450661913), (10428, 0.4411743536676082), (9361, 0.4411743536676082), (9042, 0.4411743536676082), (8674, 0.4411743536676082), (3600, 0.4406239360848076), (7063, 0.43927894844335647), (981, 0.43927894844335647), (3359, 0.43927894844335647), (5476, 0.43927894844335647), (11306, 0.43541854577449346), (11445, 0.43541854577449346), (11408, 0.43541854577449346), (4799, 0.43541854577449346), (4427, 0.43541854577449346), (5605, 0.43541854577449346), (5606, 0.43541854577449346), (6450, 0.43468671816258136), (9780, 0.432192306086883)]
ansible/ansible 12764 : [(7285, 0.5215215700919272), (9271, 0.5085481607805172), (9654, 0.4998227109217485), (7174, 0.4953625785333655), (10011, 0.4953625785333655), (7134, 0.49252994845625286), (9038, 0.4730150451528319), (11754, 0.46857002934773745), (7842, 0.4629943786258813), (7253, 0.46263645240581347), (7629, 0.4613279618213825), (9701, 0.4613279618213825), (12702, 0.4600980231019912), (3393, 0.45988863278238323), (8602, 0.45988863278238323), (8110, 0.45988863278238323), (6628, 0.45988863278238323), (9959, 0.4593491640834703), (7242, 0.4584517583300937), (6662, 0.4575275516192838), (10876, 0.45546035875595625), (9676, 0.45546035875595625), (12032, 0.45546035875595625), (10048, 0.45546035875595625), (5343, 0.45489007861484987), (8472, 0.4547584283039433), (9186, 0.4547584283039433), (9716, 0.4547584283039433), (2873, 0.4542890561877589), (2874, 0.4542890561877589)]
ansible/ansible 19167 : [(19143, 0.492868717815178), (19147, 0.49110573562761206), (16664, 0.49024879136128807), (19145, 0.48542643604800206), (16954, 0.4815602671477225), (18888, 0.4811279225091843), (19027, 0.4811279225091843), (19144, 0.47856458646792954), (18458, 0.47791946938528584), (18958, 0.47791946938528584), (15641, 0.47494538054052204), (18330, 0.47494538054052204), (13352, 0.47338641246554325), (18339, 0.4700717159966303), (12319, 0.46857002934773745), (18606, 0.4664592818188465), (19146, 0.4664592818188465), (18329, 0.4664592818188465), (6729, 0.4644870388939439), (7279, 0.4600980231019912), (5548, 0.4600980231019912), (4103, 0.45988863278238323), (18962, 0.45988863278238323), (5269, 0.45988863278238323), (2495, 0.45807366961699114), (7576, 0.45804204593242714), (2056, 0.45546035875595625), (18884, 0.45546035875595625), (8044, 0.45511542163757435), (8946, 0.4547584283039433)]
ansible/ansible 21926 : [(21920, 0.5837011387671789), (15850, 0.5512498179985899), (16169, 0.5407541822995657), (17116, 0.5141262064154646), (17824, 0.5054541433303542), (13907, 0.4924791182652568), (21679, 0.48419789150253034), (21024, 0.47974345514931555), (21675, 0.47974345514931555), (3393, 0.47974345514931555), (20417, 0.47974345514931555), (21505, 0.47856458646792954), (21695, 0.4769157314792163), (18857, 0.47124857109879037), (21517, 0.46610100192358533), (17592, 0.4644870388939439), (6044, 0.4644870388939439), (8110, 0.4644870388939439), (9570, 0.4600980231019912), (14835, 0.45988863278238323), (10048, 0.45988863278238323), (20849, 0.45879541656791656), (8472, 0.45804204593242714), (7028, 0.45664283921888266), (5764, 0.4562743200510355), (8602, 0.45546035875595625), (20522, 0.45546035875595625), (13206, 0.45546035875595625), (12032, 0.45546035875595625), (5251, 0.4522504463359851)]
ansible/ansible 24804 : [(24368, 0.5570030953617802), (24722, 0.5288933923381731), (23882, 0.5012977404690486), (20334, 0.500779048375966), (22884, 0.49720176768834046), (24042, 0.4900714384477523), (10846, 0.4811279225091843), (4278, 0.4811279225091843), (22594, 0.48035422243111664), (22252, 0.4782995407305125), (8188, 0.4768223118872219), (23107, 0.4767952090324083), (24738, 0.4753312268809492), (23112, 0.47454093132096575), (23127, 0.4739006691140905), (23227, 0.4714535651311425), (23782, 0.4704119638991225), (23117, 0.47005332274332223), (23862, 0.47005332274332223), (15451, 0.46922650272042854), (8910, 0.46857002934773745), (24616, 0.46825140598008663), (16735, 0.46783988675449045), (18033, 0.46783988675449045), (9933, 0.4674814755654523), (24347, 0.46731723231162337), (23865, 0.46610100192358533), (24759, 0.46586486368791863), (24636, 0.4650942494094759), (24261, 0.4647724823988925)]
ansible/ansible 3025 : [(3024, 0.5256461634874982), (1344, 0.4816726208330606), (1659, 0.46857002934773745), (2975, 0.465749205718892), (1362, 0.45804204593242714), (2598, 0.45546035875595625), (2942, 0.4542890561877589), (1215, 0.4542890561877589), (3022, 0.44903559176562374), (1739, 0.4419218793309288), (2170, 0.432192306086883), (533, 0.432192306086883), (2546, 0.432192306086883), (398, 0.43073796260433733), (2168, 0.4263285012474153), (2709, 0.4263285012474153), (2898, 0.42223544198928803), (2049, 0.42016404406201), (1079, 0.4200005554556074), (2665, 0.4200005554556074), (2494, 0.4174635028118971), (3006, 0.41738610118254654), (2544, 0.41738610118254654), (282, 0.4161838240649706), (561, 0.4158931230451986), (911, 0.4158931230451986), (1947, 0.4158931230451986), (2399, 0.4150053350528528), (171, 0.41487336787808105), (3007, 0.41463299812007065)]
