"travis_id";"ght_id";"watchers";"slug";"lang";"created_at";"last_build_finished_at";"order";"project_found";"log_found";"travis_present";"first_t_commit";"last_t_commit";"active";"last_build_duration";"yml_contribs";"yml_commits";"job_count";"repo_id";"build_id";"last_build";"commits";"contribs";"last_commit";"build_count";"first_build";"yml_deleted";"travis_abandoned";"builds_period";"travis_period";"pushes";"PRs";"project_age";"abandoned";"commit_time_after_last_build";"abandoned_and_alive"
393;314458;1142;"benjaminoakes/maid";"Ruby";2011-05-21;"2016-10-27";3193;1;1;1;"2011-06-07";"2016-10-26";1;257;3;32;4;393;170966306;2016-10-27;767;23;2016-10-26;436;2011-06-08;0;0;1968;1968;432;4;2488;0;-1;FALSE
397;248888;66;"sferik/mtgox";"Ruby";2011-06-07;"2014-08-21";28197;1;1;1;"2011-06-08";"2014-08-21";0;537;1;26;7;397;33205259;2014-08-21;293;18;2014-10-09;214;2011-06-08;0;1;1170;1170;171;43;2471;1;49;TRUE
403;244400;13;"Nerds/NerdPursuit";"Shell";2011-05-14;"2013-02-26";64630;1;1;1;"2011-06-08";"2011-06-08";1;20;1;1;1;403;5064613;2013-02-26;263;43;2013-02-26;93;2011-06-09;0;0;628;0;92;1;2495;0;0;FALSE
406;215094;78;"russ/lacquer";"Ruby";2010-06-11;"2015-06-01";25536;1;1;1;"2011-12-05";"2011-12-05";1;36;1;1;2;406;64986286;2015-06-01;181;14;2015-04-08;49;2011-06-09;0;0;1453;0;40;9;2832;0;-54;FALSE
579;840577;5;"alsemyonov/vk";"Ruby";2011-05-02;"2016-09-30";96912;1;1;1;"2014-11-24";"2016-01-10";1;273;1;3;1;579;164065642;2016-09-30;98;3;2016-09-30;109;2013-01-15;0;0;1354;412;77;32;2507;0;0;FALSE
905;175601;58;"bcardarella/valid_attribute";"Ruby";2011-04-04;"2014-11-19";30545;1;1;1;"2011-07-21";"2014-08-09";1;60;2;11;2;905;41498845;2014-11-19;126;10;2014-11-19;56;2011-07-22;0;0;1216;1115;50;6;2535;0;0;FALSE
914;5190737;61;"fs/rails-base";"Ruby";2010-07-27;"2013-07-12";29609;1;1;0;"2011-12-19";"2013-07-12";0;381;2;12;1;914;8998111;2013-07-12;1294;64;2017-03-03;209;2011-07-22;1;1;721;571;187;22;2786;1;1330;TRUE
916;108094;16;"citrus/spree_essentials";"Ruby";2011-03-30;"2013-10-17";59740;1;1;1;"2011-07-22";"2011-12-30";1;759;1;8;4;916;12680234;2013-10-17;215;5;2012-05-01;68;2011-07-22;0;0;818;161;50;18;2540;0;-534;FALSE
923;152117;108;"svenfuchs/hashr";"Ruby";2011-07-23;"2016-12-02";20848;1;1;1;"2011-07-23";"2015-10-04";1;444;2;4;4;923;180631727;2016-12-02;79;4;2015-10-31;81;2011-07-23;0;0;1959;1534;71;10;2425;0;-398;FALSE
2197;36264;1408;"cyu/rack-cors";"JavaScript";2010-06-02;"2017-02-15";2606;1;1;1;"2016-03-09";"2016-08-07";1;143;2;3;3;2197;201725857;2017-02-15;172;40;2017-02-14;145;2012-04-26;0;0;1756;151;95;50;2841;0;-1;FALSE
2328;695151;28;"brianmario/fast_xs";"Ruby";2010-06-10;"2014-11-14";44665;1;1;1;"2011-09-20";"2012-11-12";1;415;2;3;6;2328;41016309;2014-11-14;74;7;2014-11-14;9;2012-09-04;0;0;801;419;6;3;2833;0;0;FALSE
2412;969002;10;"dmathieu/cylon";"Ruby";2011-01-15;"2014-09-09";72633;1;1;1;"2013-11-20";"2013-11-20";1;299;1;3;5;2412;34818355;2014-09-09;14;2;2014-09-09;7;2011-09-24;0;0;1081;0;7;0;2614;0;0;FALSE
2415;104126;11;"jarib/ffi-xattr";"Ruby";2011-09-23;"2014-01-30";69573;1;1;0;"2011-09-24";"2014-01-30";0;45;1;6;1;2415;17901477;2014-01-30;55;4;2014-05-12;25;2011-09-24;1;1;859;859;22;3;2363;1;102;TRUE
2417;167864;60;"alanpeabody/resque-job-stats";"Ruby";2011-07-09;"2016-11-11";29816;1;1;1;"2011-11-07";"2016-10-17";1;254;2;3;5;2417;174953677;2016-11-11;100;8;2016-10-25;80;2011-09-24;0;0;1875;1806;42;38;2439;0;-17;FALSE
